am_long,am_short,date,dealer_long,dealer_short,lev_long,lev_short,mm_long,mm_net,mm_short,oi,other_long,other_net,other_short,pm_long,pm_net,pm_short,sd_long,sd_net,sd_short
357,0,2006-06-13 00:00:00,3914,6807,7030,4600,7387,2787,4600,22546,0,-137,137,3914,-2893,6807,7030,2430,4600
877,240,2006-07-11 00:00:00,6375,5962,4329,5032,5206,-66,5272,14081,0,-675,675,6375,413,5962,4329,-703,5032
1130,0,2006-07-18 00:00:00,4178,6920,6929,4470,8059,3589,4470,14948,275,-719,994,4178,-2742,6920,6929,2459,4470
1155,0,2006-07-25 00:00:00,3861,7768,9103,5875,10258,4383,5875,16341,0,-727,727,3861,-3907,7768,9103,3228,5875
1177,0,2006-08-01 00:00:00,3540,10019,10955,5620,12132,6512,5620,18160,0,-463,463,3540,-6479,10019,10955,5335,5620
1228,176,2006-08-08 00:00:00,3971,10170,9302,4876,10530,5478,5052,17327,173,-8,181,3971,-6199,10170,9302,4426,4876
1222,176,2006-08-15 00:00:00,2810,14351,13333,3284,14555,11095,3460,19536,129,-500,629,2810,-11541,14351,13333,10049,3284
1229,176,2006-08-22 00:00:00,3032,14219,11787,3563,13016,9277,3739,19886,1032,743,289,3032,-11187,14219,11787,8224,3563
1218,171,2006-08-29 00:00:00,2661,13752,10687,2419,11905,9315,2590,18099,786,575,211,2661,-11091,13752,10687,8268,2419
1431,0,2006-09-05 00:00:00,3179,14151,11218,3164,12649,9485,3164,18852,434,142,292,3179,-10972,14151,11218,8054,3164
1625,0,2006-09-12 00:00:00,3952,13847,9420,1684,11045,9361,1684,19320,289,-127,416,3952,-9895,13847,9420,7736,1684
1912,0,2006-09-19 00:00:00,534,14336,13039,1585,14951,13366,1585,17608,225,-332,557,534,-13802,14336,13039,11454,1585
1588,0,2006-09-26 00:00:00,541,13608,12830,2335,14418,12083,2335,17727,202,-353,555,541,-13067,13608,12830,10495,2335
1628,0,2006-10-03 00:00:00,677,10996,8421,0,10049,10049,0,13426,243,-485,728,677,-10319,10996,8421,8421,0
1201,0,2006-10-10 00:00:00,1016,12405,11479,1235,12680,11445,1235,15750,163,-947,1110,1016,-11389,12405,11479,10244,1235
1261,0,2006-10-17 00:00:00,1029,15645,14898,1746,16159,14413,1746,19759,151,-725,876,1029,-14616,15645,14898,13152,1746
