date,mm_long,mm_net,mm_short,oi,other_long,other_net,other_short,pm_long,pm_net,pm_short,sd_long,sd_net,sd_short
2006-06-13 00:00:00,10294,9817,477,48861,3430,2794,636,9068,-19789,28857,3530,3530,0
2006-06-20 00:00:00,10274,9947,327,44353,3313,2607,706,7731,-20161,27892,2945,2945,0
2006-06-27 00:00:00,11626,11433,193,47601,4208,3021,1187,8193,-22771,30964,3059,3059,0
2006-07-03 00:00:00,12347,12240,107,48267,4395,3550,845,7724,-24429,32153,3064,3064,0
2006-07-11 00:00:00,9219,8835,384,44976,3987,3110,877,8706,-19874,28580,3066,3066,0
2006-07-18 00:00:00,7845,6560,1285,44145,2944,1796,1148,10236,-16058,26294,3116,3116,0
2006-07-25 00:00:00,7933,7511,422,47151,3290,2042,1248,10285,-18940,29225,3189,3189,0
2006-08-01 00:00:00,8991,8503,488,52927,3253,2047,1206,12290,-19839,32129,3164,3164,0
2006-08-08 00:00:00,9718,8927,791,52252,2677,1280,1397,13467,-17839,31306,3157,3157,0
2006-08-15 00:00:00,10172,9742,430,53705,2401,685,1716,14753,-17620,32373,3222,3222,0
2006-08-22 00:00:00,9415,9349,66,54494,2493,1562,931,17562,-18563,36125,3244,3244,0
2006-08-29 00:00:00,10347,10221,126,55120,2546,1580,966,17036,-18806,35842,3155,3155,0
2006-09-05 00:00:00,9530,9390,140,51707,2534,1706,828,16038,-17149,33187,2976,2976,0
2006-09-12 00:00:00,9162,8931,231,53905,2301,1238,1063,18476,-15434,33910,2968,2968,0
2006-09-19 00:00:00,7533,6963,570,52302,1809,498,1311,19966,-11986,31952,2889,2889,0
2006-09-26 00:00:00,6618,5925,693,52695,2043,893,1150,19656,-11293,30949,2820,2820,0
2006-10-03 00:00:00,6732,6232,500,54628,2259,1325,934,20324,-12602,32926,2784,2784,0
2006-10-10 00:00:00,5769,3987,1782,53805,2542,1817,725,21993,-8778,30771,2772,2370,402
2006-10-17 00:00:00,7298,7158,140,58777,2863,1436,1427,21401,-14195,35596,2692,2692,0
2006-10-24 00:00:00,7830,7830,0,48412,2766,1540,1226,18246,-15104,33350,2664,2664,0
2006-10-31 00:00:00,9075,9075,0,48942,2463,1188,1275,17596,-15740,33336,2607,2521,86
2006-11-07 00:00:00,9628,9520,108,49115,2483,853,1630,16874,-15441,32315,2432,2346,86
2006-11-14 00:00:00,8654,8580,74,49008,2214,711,1503,17509,-14062,31571,2424,2338,86
2006-11-21 00:00:00,9489,9488,1,49132,2025,448,1577,16881,-14294,31175,2440,2354,86
2006-11-28 00:00:00,9576,9576,0,49796,1732,-31,1763,16625,-13486,30111,2432,2346,86
2006-12-05 00:00:00,10546,10538,8,47941,1898,375,1523,15099,-14820,29919,2514,2428,86
2006-12-12 00:00:00,9357,9330,27,42974,2052,456,1596,10534,-13153,23687,2565,2431,134
2006-12-19 00:00:00,8842,8812,30,35498,1676,304,1372,8844,-11962,20806,2586,2452,134
2006-12-26 00:00:00,8397,8364,33,36170,2028,845,1183,9919,-11635,21554,2605,2471,134
2007-01-03 00:00:00,9715,9633,82,36561,2694,1609,1085,8881,-13909,22790,2438,2304,134
2007-01-09 00:00:00,9188,9017,171,37045,2499,1470,1029,10087,-12633,22720,2433,2299,134
2007-01-16 00:00:00,9963,9733,230,38836,2594,1319,1275,10082,-14115,24197,2567,2433,134
2007-01-23 00:00:00,13727,13340,387,43113,2793,1615,1178,9370,-18575,27945,2663,2529,134
2007-01-30 00:00:00,9770,9359,411,42538,3064,544,2520,12336,-12958,25294,2668,2534,134
2007-02-06 00:00:00,7458,6887,571,41408,2653,615,2038,12468,-10979,23447,2703,2569,134
2007-02-13 00:00:00,6907,6364,543,39633,2585,1024,1561,12028,-11159,23187,2731,2597,134
2007-02-20 00:00:00,7415,6965,450,35056,2708,1168,1540,10776,-11726,22502,2715,2581,134
2007-02-27 00:00:00,10757,10488,269,39302,2852,1085,1767,9416,-16416,25832,2627,2433,194
2007-03-06 00:00:00,12567,12263,304,43955,2772,1366,1406,10815,-17912,28727,2424,2230,194
2007-03-13 00:00:00,13388,12743,645,44045,2792,1222,1570,11114,-17216,28330,1873,1675,198
2007-03-20 00:00:00,13493,12956,537,44355,2846,1048,1798,11188,-17895,29083,1923,1725,198
2007-03-27 00:00:00,12122,11609,513,46447,3091,1237,1854,13348,-16210,29558,1946,1738,208
2007-04-03 00:00:00,9053,8400,653,45599,2787,1738,1049,14685,-13351,28036,1778,1600,178
2007-04-10 00:00:00,8063,7098,965,46372,3050,1827,1223,16512,-10572,27084,1687,1549,138
