date,mm_long,mm_net,mm_short,oi,other_long,other_net,other_short,pm_long,pm_net,pm_short,sd_long,sd_net,sd_short
2006-06-13 00:00:00,5375,3689,1686,14355,2435,1906,529,891,-6192,7083,1658,-1557,3215
2006-06-20 00:00:00,5138,3593,1545,13681,2232,1769,463,955,-6403,7358,1810,-591,2401
2006-06-27 00:00:00,5360,3360,2000,13149,2020,1485,535,881,-6229,7110,1951,-341,2292
2006-07-03 00:00:00,5734,3694,2040,13423,1901,1207,694,871,-6238,7109,1857,-478,2335
2006-07-11 00:00:00,6219,4177,2042,13895,1950,1247,703,848,-6565,7413,1833,-736,2569
2006-07-18 00:00:00,6617,4553,2064,14132,2054,1421,633,1034,-6504,7538,1545,-1257,2802
2006-07-25 00:00:00,6643,4579,2064,14535,2020,1394,626,1071,-6433,7504,1566,-1292,2858
2006-08-01 00:00:00,5876,3812,2064,13587,1976,1382,594,934,-6468,7402,1805,-551,2356
2006-08-08 00:00:00,4419,2832,1587,12388,1980,1416,564,988,-5728,6716,1924,-426,2350
2006-08-15 00:00:00,4497,3410,1087,12911,2038,1440,598,1077,-6417,7494,2020,-308,2328
2006-08-22 00:00:00,4706,3825,881,13074,1957,1377,580,1021,-6676,7697,1798,-499,2297
2006-08-29 00:00:00,4583,3702,881,14073,1760,1248,512,1900,-6873,8773,2295,43,2252
2006-09-05 00:00:00,4851,3562,1289,11444,1604,988,616,1045,-6558,7603,1741,33,1708
2006-09-12 00:00:00,4327,2881,1446,11489,1552,751,801,1027,-6356,7383,2574,1102,1472
2006-09-19 00:00:00,3586,2066,1520,10823,1525,664,861,1121,-5551,6672,2750,1407,1343
2006-09-26 00:00:00,3334,2236,1098,10884,1505,730,775,1273,-5780,7053,2876,1477,1399
2006-10-03 00:00:00,3510,2377,1133,11344,1584,611,973,1330,-5787,7117,2799,1494,1305
2006-10-10 00:00:00,3607,2141,1466,11681,1580,678,902,1266,-5694,6960,3088,1616,1472
2006-10-17 00:00:00,3767,2430,1337,11498,1427,360,1067,1254,-5672,6926,3018,1521,1497
2006-10-24 00:00:00,2907,1482,1425,12139,2685,1641,1044,1295,-5690,6985,2887,972,1915
2006-10-31 00:00:00,4521,3062,1459,12707,1282,222,1060,1252,-6027,7279,3008,1003,2005
2006-11-07 00:00:00,4904,3508,1396,12963,1354,167,1187,1173,-6682,7855,2986,1011,1975
2006-11-14 00:00:00,4500,3199,1301,12931,1416,345,1071,1028,-6620,7648,2837,1077,1760
2006-11-21 00:00:00,3762,2526,1236,12632,1375,421,954,1329,-5902,7231,2841,1418,1423
2006-11-28 00:00:00,3180,1908,1272,11506,1537,583,954,1120,-5773,6893,2749,1408,1341
2006-12-05 00:00:00,3221,1790,1431,11042,1377,312,1065,1086,-5727,6813,3032,1567,1465
2006-12-12 00:00:00,3289,1759,1530,11196,1396,328,1068,1040,-5672,6712,3042,1500,1542
2006-12-19 00:00:00,3093,1503,1590,11185,1411,401,1010,854,-5761,6615,3374,1879,1495
2006-12-26 00:00:00,3144,1557,1587,11332,1401,304,1097,922,-5797,6719,3409,1914,1495
2007-01-03 00:00:00,4224,2673,1551,12459,1512,225,1287,1105,-6354,7459,3162,1434,1728
2007-01-09 00:00:00,4717,3182,1535,12873,1658,312,1346,924,-6745,7669,2988,1105,1883
2007-01-16 00:00:00,4660,3160,1500,12924,1819,550,1269,852,-6940,7792,2926,919,2007
2007-01-23 00:00:00,5961,4504,1457,14479,2364,916,1448,897,-8055,8952,2717,398,2319
2007-01-30 00:00:00,6068,4957,1111,15607,3057,1553,1504,873,-8881,9754,2555,-51,2606
2007-02-06 00:00:00,5950,4874,1076,15654,3204,1737,1467,929,-8938,9867,2468,-190,2658
2007-02-13 00:00:00,5610,4359,1251,16358,3320,1905,1415,961,-8983,9944,2809,162,2647
2007-02-20 00:00:00,4782,3657,1125,15572,3478,2128,1350,999,-8383,9382,2890,91,2799
2007-02-27 00:00:00,5392,4057,1335,17344,3755,2590,1165,1868,-9055,10923,3096,165,2931
2007-03-06 00:00:00,5193,3973,1220,15612,3548,2817,731,984,-9479,10463,3259,702,2557
2007-03-13 00:00:00,5568,4320,1248,15502,3405,2700,705,888,-9732,10620,3365,760,2605
2007-03-20 00:00:00,5367,4118,1249,15320,3348,2669,679,950,-9586,10536,3385,777,2608
