date,mm_long,mm_net,mm_short,oi,other_long,other_net,other_short,pm_long,pm_net,pm_short,sd_long,sd_net,sd_short
2006-06-13 00:00:00,3257,93,3164,8616,361,361,0,1297,-1762,3059,1176,209,967
2006-06-20 00:00:00,2964,946,2018,7380,260,260,0,932,-2387,3319,1100,225,875
2006-06-27 00:00:00,3036,1128,1908,8093,300,240,60,1046,-2576,3622,1317,224,1093
2006-07-03 00:00:00,3058,1880,1178,7338,367,307,60,656,-3249,3905,1185,-81,1266
2006-07-11 00:00:00,3897,3064,833,8213,492,379,113,423,-3913,4336,1044,-1008,2052
2006-07-18 00:00:00,4471,3638,833,9022,478,418,60,438,-4487,4925,1043,-957,2000
2006-07-25 00:00:00,4145,3562,583,8567,478,413,65,432,-4471,4903,1137,-809,1946
2006-08-01 00:00:00,4789,4406,383,9272,526,397,129,404,-4815,5219,1175,-1276,2451
2006-08-08 00:00:00,5083,4700,383,10176,702,557,145,394,-5123,5517,1260,-1634,2894
2006-08-15 00:00:00,4901,4518,383,9948,751,691,60,420,-4749,5169,1174,-1822,2996
2006-08-22 00:00:00,4588,4205,383,9877,945,945,0,455,-4680,5135,1121,-1791,2912
2006-08-29 00:00:00,4612,4087,525,9665,756,756,0,537,-4499,5036,1125,-1518,2643
2006-09-05 00:00:00,5203,4628,575,10269,687,617,70,601,-4770,5371,1176,-1970,3146
2006-09-12 00:00:00,4359,3759,600,9399,1288,1288,0,461,-4343,4804,1165,-1506,2671
2006-09-19 00:00:00,3433,2883,550,8528,1338,1338,0,739,-3335,4074,1081,-1359,2440
2006-09-26 00:00:00,3422,2751,671,8451,1189,1116,73,682,-3311,3993,1143,-1104,2247
2006-10-03 00:00:00,3389,2526,863,7682,914,813,101,521,-3312,3833,1254,-610,1864
2006-10-10 00:00:00,2716,1215,1501,6968,696,554,142,543,-2634,3177,1299,373,926
2006-10-17 00:00:00,2700,1128,1572,7288,620,620,0,532,-2904,3436,1716,656,1060
2006-10-24 00:00:00,2530,1104,1426,7046,934,692,242,653,-2485,3138,1182,334,848
2006-10-31 00:00:00,2744,1005,1739,7648,612,477,135,853,-2374,3227,1537,368,1169
2006-11-07 00:00:00,3125,1771,1354,9085,987,793,194,995,-3256,4251,2013,-56,2069
2006-11-14 00:00:00,2942,1606,1336,8258,1142,1142,0,702,-3650,4352,1403,-173,1576
2006-11-21 00:00:00,2797,1993,804,7580,845,845,0,480,-3638,4118,1227,-229,1456
2006-11-28 00:00:00,2748,1931,817,8099,567,493,74,543,-3797,4340,1320,-429,1749
2006-12-05 00:00:00,2405,1595,810,8034,497,327,170,775,-3498,4273,1435,-422,1857
2006-12-12 00:00:00,2312,1537,775,8162,558,333,225,826,-2976,3802,1350,-572,1922
2006-12-19 00:00:00,2410,1667,743,8167,567,362,205,770,-3006,3776,1435,-408,1843
2006-12-26 00:00:00,2575,1794,781,8549,168,-82,250,1226,-2833,4059,1355,-545,1900
2007-01-03 00:00:00,3370,2565,805,8383,345,7,338,1036,-3259,4295,1310,-610,1920
2007-01-09 00:00:00,2958,1983,975,8058,399,79,320,1074,-2977,4051,1284,-188,1472
2007-01-16 00:00:00,3247,2471,776,8504,399,34,365,1230,-3027,4257,1310,-773,2083
2007-01-23 00:00:00,3946,3221,725,9102,581,188,393,803,-3933,4736,1335,-952,2287
2007-01-30 00:00:00,4416,3582,834,9855,771,320,451,951,-4174,5125,1324,-1205,2529
2007-02-06 00:00:00,4264,3345,919,10390,854,538,316,1117,-3599,4716,1234,-1825,3059
2007-02-13 00:00:00,4705,3556,1149,10596,894,614,280,1129,-3649,4778,1216,-1843,3059
2007-02-20 00:00:00,5120,4244,876,10924,791,284,507,1265,-3828,5093,1209,-1976,3185
2007-02-27 00:00:00,5950,5136,814,12293,831,206,625,1139,-4605,5744,1299,-2138,3437
2007-03-06 00:00:00,5067,4610,457,11025,454,75,379,1243,-4175,5418,1240,-1934,3174
2007-03-13 00:00:00,5300,4865,435,10719,424,134,290,1251,-4005,5256,1086,-2278,3364
2007-03-20 00:00:00,5818,5097,721,11340,474,88,386,1054,-4255,5309,1133,-2334,3467
2007-03-27 00:00:00,6010,5290,720,11320,505,263,242,1074,-4586,5660,1160,-2430,3590
2007-04-03 00:00:00,6622,5554,1068,11787,593,152,441,762,-4998,5760,1255,-2315,3570
2007-04-10 00:00:00,7113,5914,1199,12684,954,427,527,735,-5621,6356,1247,-2501,3748
2007-04-17 00:00:00,7827,6802,1025,13788,1558,1174,384,679,-5948,6627,1284,-3720,5004
2007-04-24 00:00:00,8316,7291,1025,14767,1437,972,465,776,-6773,7549,1232,-3776,5008
2007-05-01 00:00:00,8524,7638,886,14652,1138,920,218,636,-7223,7859,1235,-3787,5022
2007-05-08 00:00:00,9129,8434,695,15130,1011,688,323,690,-7370,8060,1138,-3874,5012
2007-05-15 00:00:00,9992,9240,752,16081,1126,879,247,781,-7704,8485,1150,-4429,5579
2007-05-22 00:00:00,9388,8404,984,15141,860,561,299,924,-6846,7770,1138,-4073,5211
2007-05-29 00:00:00,8770,8058,712,14738,713,402,311,1028,-6630,7658,860,-3924,4784
2007-06-05 00:00:00,8726,8196,530,14730,909,516,393,970,-6652,7622,872,-3855,4727
2007-06-12 00:00:00,9444,8855,589,15187,752,403,349,976,-6971,7947,777,-4038,4815
2007-06-19 00:00:00,9402,8867,535,15231,749,357,392,910,-6707,7617,851,-4373,5224
2007-06-26 00:00:00,8316,7572,744,15288,973,531,442,1550,-5509,7059,902,-4716,5618
2007-07-03 00:00:00,8602,8077,525,14533,1027,464,563,1232,-5632,6864,905,-4797,5702
2007-07-10 00:00:00,9681,8923,758,15801,1208,611,597,784,-6822,7606,877,-5176,6053
2007-07-17 00:00:00,10564,9874,690,17001,1568,935,633,880,-7090,7970,841,-5952,6793
2007-07-24 00:00:00,11771,11164,607,18768,1914,1112,802,893,-8073,8966,852,-6652,7504
2007-07-31 00:00:00,7637,7262,375,14773,1400,897,503,1863,-5335,7198,905,-5036,5941
2007-08-07 00:00:00,7546,7113,433,14573,1400,839,561,1656,-5566,7222,874,-4670,5544
2007-08-14 00:00:00,5695,5305,390,12933,1455,1077,378,1987,-4040,6027,1058,-4229,5287
2007-08-21 00:00:00,4371,3370,1001,11119,1369,1019,350,1973,-2994,4967,1114,-2146,3260
2007-08-28 00:00:00,4128,3300,828,10529,1350,1072,278,1844,-2954,4798,1113,-2342,3455
2007-09-04 00:00:00,3834,3124,710,10881,1439,1170,269,2032,-3028,5060,993,-2271,3264
2007-09-11 00:00:00,4456,3823,633,11352,1610,1272,338,2030,-3734,5764,918,-2830,3748
2007-09-18 00:00:00,5576,4892,684,12205,1527,1063,464,1627,-4314,5941,927,-3295,4222
2007-09-25 00:00:00,6933,6587,346,13729,1839,1344,495,823,-5355,6178,916,-4162,5078
2007-10-02 00:00:00,7992,6975,1017,14621,1577,880,697,757,-5630,6387,918,-4672,5590
2007-10-09 00:00:00,8221,7311,910,14894,1271,550,721,1330,-5413,6743,872,-4615,5487
2007-10-16 00:00:00,8602,7653,949,14968,1407,585,822,683,-6746,7429,918,-3824,4742
2007-10-23 00:00:00,9044,8124,920,15504,1540,686,854,812,-7313,8125,954,-3611,4565
