date,mm_long,mm_net,mm_short,oi,other_long,other_net,other_short,pm_long,pm_net,pm_short,sd_long,sd_net,sd_short
2006-06-13 00:00:00,7682,7682,0,48363,1090,1090,0,21321,-18748,40069,10471,9751,720
2006-06-20 00:00:00,8338,8338,0,49860,1000,305,695,22487,-17640,40127,10330,9610,720
2006-06-27 00:00:00,8264,8264,0,50591,1074,875,199,22786,-17456,40242,10041,9312,729
2006-07-03 00:00:00,7492,7491,1,50886,950,377,573,23909,-16734,40643,10590,9556,1034
2006-07-11 00:00:00,7113,6780,333,51535,1092,1074,18,23142,-17784,40926,10865,9728,1137
2006-07-18 00:00:00,6843,5952,891,53697,950,950,0,25187,-17881,43068,11200,10531,669
2006-07-25 00:00:00,7238,6032,1206,54004,1100,1067,33,24669,-17941,42610,11022,10735,287
2006-08-01 00:00:00,8452,7252,1200,52556,1697,1547,150,19850,-19024,38874,11878,11401,477
2006-08-08 00:00:00,9099,8508,591,58142,2777,2328,449,19202,-23897,43099,13629,13138,491
2006-08-15 00:00:00,10301,10301,0,63625,1715,1513,202,21544,-29035,50579,17417,17235,182
2006-08-22 00:00:00,9830,9830,0,68696,1657,1217,440,25641,-28754,54395,17963,17464,499
2006-08-29 00:00:00,8760,8019,741,69973,1667,1443,224,26727,-29301,56028,18277,17682,595
2006-09-05 00:00:00,9437,9164,273,75227,2256,1577,679,29276,-31300,60576,19581,18810,771
2006-09-12 00:00:00,10649,9976,673,82510,1728,1328,400,33122,-33041,66163,19954,19205,749
2006-09-19 00:00:00,10286,8719,1567,88521,1654,1328,326,40510,-31723,72233,20225,19478,747
2006-09-26 00:00:00,7810,5709,2101,90970,1859,890,969,41019,-29520,70539,21783,21038,745
2006-10-03 00:00:00,7243,4348,2895,96006,2519,2160,359,43457,-28987,72444,22891,21924,967
2006-10-10 00:00:00,7533,4625,2908,98659,1987,1918,69,46298,-28948,75246,21872,20955,917
2006-10-17 00:00:00,8593,4375,4218,104225,2002,2002,0,51048,-29645,80693,22607,21835,772
2006-10-24 00:00:00,9163,3085,6078,107080,2341,2130,211,50555,-29130,79685,22986,22380,606
2006-10-31 00:00:00,10249,157,10092,110928,3260,2933,327,53462,-25679,79141,23893,23321,572
2006-11-07 00:00:00,10619,-100,10719,118997,3081,2574,507,57623,-26627,84250,24655,23717,938
2006-11-14 00:00:00,12046,3705,8341,126065,3409,2879,530,61939,-29157,91096,24492,22743,1749
2006-11-21 00:00:00,14731,6427,8304,131287,3836,3372,464,64231,-31997,96228,23984,22225,1759
2006-11-28 00:00:00,15209,6993,8216,128887,3618,2025,1593,61701,-33440,95141,24624,22848,1776
2006-12-05 00:00:00,16622,8298,8324,131137,4331,3818,513,58525,-38284,96809,25158,23523,1635
2006-12-12 00:00:00,20386,9111,11275,138730,4593,3993,600,59755,-40741,100496,26214,24060,2154
2006-12-19 00:00:00,20127,11192,8935,148303,5376,5019,357,62598,-47279,109877,26873,24760,2113
2006-12-26 00:00:00,19827,5669,14158,154602,5551,5259,292,68734,-42501,111235,28750,26348,2402
2007-01-03 00:00:00,23168,5226,17942,159760,5136,4711,425,67261,-42542,109803,31040,29046,1994
2007-01-09 00:00:00,23981,3138,20843,173772,6466,5491,975,75917,-38870,114787,32794,30458,2336
2007-01-16 00:00:00,23863,1878,21985,183358,6944,6002,942,79957,-36785,116742,33405,30500,2905
2007-01-23 00:00:00,25304,1113,24191,187430,5859,4645,1214,81821,-35159,116980,32772,30172,2600
2007-01-30 00:00:00,27901,9243,18658,180484,5984,4494,1490,70618,-45052,115670,33010,30613,2397
2007-02-06 00:00:00,27707,11136,16571,178802,5357,3801,1556,67773,-45664,113437,32128,29670,2458
2007-02-13 00:00:00,26614,11754,14860,182886,6075,4181,1894,72025,-46384,118409,31680,29253,2427
2007-02-20 00:00:00,27282,13261,14021,187640,6183,4090,2093,75906,-43286,119192,27670,25039,2631
2007-02-27 00:00:00,26239,18023,8216,185477,5229,3154,2075,71773,-52319,124092,27457,25518,1939
2007-03-06 00:00:00,29622,22514,7108,192635,5298,3374,1924,73982,-54691,128673,27559,24356,3203
2007-03-13 00:00:00,30729,24941,5788,197403,4954,2086,2868,74127,-54586,128713,27517,22959,4558
2007-03-20 00:00:00,29716,25288,4428,199005,5206,3017,2189,75974,-53833,129807,25940,20582,5358
2007-03-27 00:00:00,35274,30768,4506,198061,5138,2073,3065,62695,-58096,120791,26566,20935,5631
2007-04-03 00:00:00,36513,31478,5035,203834,5690,2566,3124,62976,-60579,123555,26426,21110,5316
