date,mm_long,mm_net,mm_short,oi,other_long,other_net,other_short,pm_long,pm_net,pm_short,sd_long,sd_net,sd_short
2006-06-13 00:00:00,2926,2757,169,15900,1929,1832,97,3632,-7893,11525,1220,1220,0
2006-06-20 00:00:00,2299,2146,153,15514,1954,1722,232,3605,-7293,10898,1221,1221,0
2006-06-27 00:00:00,2217,2134,83,14574,1777,1567,210,3760,-7003,10763,1250,1250,0
2006-07-03 00:00:00,2522,2363,159,14925,2085,1853,232,3408,-7868,11276,1279,1279,0
2006-07-11 00:00:00,2779,2626,153,14342,1691,1400,291,3355,-7642,10997,1279,1279,0
2006-07-18 00:00:00,2959,2843,116,14532,1531,1236,295,3405,-7851,11256,1285,1285,0
2006-07-25 00:00:00,2926,2811,115,14640,1447,1157,290,3626,-7708,11334,1295,1295,0
2006-08-01 00:00:00,2380,2286,94,14882,1429,1128,301,4164,-6724,10888,1285,1285,0
2006-08-08 00:00:00,2209,2166,43,14838,1236,865,371,4576,-6096,10672,1311,1311,0
2006-08-15 00:00:00,2821,2794,27,16864,2078,1653,425,4591,-7770,12361,1309,1309,0
2006-08-22 00:00:00,2552,2415,137,17438,1676,1151,525,5201,-6654,11855,1309,1309,0
2006-08-29 00:00:00,2330,2160,170,16379,1433,835,598,5386,-5837,11223,1312,1312,0
2006-09-05 00:00:00,1859,1271,588,16500,1195,-85,1280,6454,-3956,10410,1347,1347,0
2006-09-12 00:00:00,1740,1246,494,15592,1305,262,1043,6087,-4059,10146,1359,1359,0
2006-09-19 00:00:00,2061,1688,373,15418,1288,539,749,5789,-5092,10881,1405,1405,0
2006-09-26 00:00:00,2131,1760,371,14904,1286,550,736,5367,-5027,10394,1350,1350,0
2006-10-03 00:00:00,1901,1538,363,15189,1338,659,679,5431,-5289,10720,1223,1223,0
2006-10-10 00:00:00,2041,1683,358,15933,1318,645,673,5349,-5452,10801,1224,1224,0
2006-10-17 00:00:00,1945,1504,441,15064,935,182,753,5845,-4688,10533,1461,1461,0
2006-10-24 00:00:00,1777,1297,480,15555,914,-201,1115,6085,-3959,10044,1460,1460,0
2006-10-31 00:00:00,1808,1361,447,15403,790,-485,1275,6118,-3758,9876,1514,1514,0
2006-11-07 00:00:00,1944,1579,365,15550,895,119,776,5803,-5334,11137,1532,1532,0
2006-11-14 00:00:00,2086,1700,386,15612,855,87,768,5930,-5299,11229,1524,1524,0
2006-11-21 00:00:00,2083,1695,388,15840,938,161,777,6087,-5457,11544,1586,1586,0
2006-11-28 00:00:00,2143,1753,390,16057,969,157,812,6066,-5459,11525,1582,1582,0
2006-12-05 00:00:00,2153,1754,399,15461,975,137,838,5987,-5622,11609,1590,1590,0
2006-12-12 00:00:00,2142,1729,413,15385,906,191,715,6009,-5464,11473,1589,1589,0
2006-12-19 00:00:00,2156,1716,440,14975,824,123,701,5757,-5435,11192,1541,1541,0
2006-12-26 00:00:00,2280,1960,320,14875,1039,232,807,5525,-6063,11588,1559,1559,0
2007-01-03 00:00:00,2852,2532,320,15367,1202,357,845,5439,-6573,12012,1510,1510,0
2007-01-09 00:00:00,3042,2827,215,16202,1525,978,547,5613,-7845,13458,1480,1480,0
2007-01-16 00:00:00,4401,4350,51,18159,1690,1296,394,5541,-9867,15408,1478,1478,0
2007-01-23 00:00:00,3677,3642,35,18415,1772,1465,307,6109,-9103,15212,1486,1486,0
2007-01-30 00:00:00,3352,3327,25,18146,1575,1084,491,6428,-8268,14696,1503,1503,0
2007-02-06 00:00:00,2854,2680,174,17619,1529,1014,515,6430,-7575,14005,1470,1470,0
2007-02-13 00:00:00,2729,2580,149,18310,1806,1306,500,6634,-7694,14328,1515,1515,0
2007-02-20 00:00:00,2730,2547,183,18713,1508,1003,505,6968,-7029,13997,1519,1519,0
2007-02-27 00:00:00,3613,3464,149,18543,1766,1244,522,6017,-8170,14187,1525,1525,0
2007-03-06 00:00:00,3920,3771,149,19048,2011,1211,800,5873,-8976,14849,1539,1539,0
2007-03-13 00:00:00,4205,4205,0,19186,2005,1307,698,5787,-9573,15360,1534,1534,0
2007-03-20 00:00:00,3246,3246,0,17821,1420,731,689,6295,-8042,14337,1526,1526,0
2007-03-27 00:00:00,2962,2425,537,17288,866,48,818,6740,-6171,12911,1473,1473,0
2007-04-03 00:00:00,3069,2457,612,17272,1031,265,766,6165,-6032,12197,1449,1449,0
2007-04-10 00:00:00,3134,2519,615,17090,1039,283,756,6078,-6104,12182,1461,1461,0
2007-04-17 00:00:00,3050,2424,626,17692,1061,302,759,6052,-5916,11968,1460,1460,0
2007-04-24 00:00:00,2974,2136,838,17013,1076,180,896,5995,-5387,11382,1456,1456,0
2007-05-01 00:00:00,2744,1651,1093,16217,1199,210,989,6048,-4869,10917,1460,1460,0
2007-05-08 00:00:00,3261,2482,779,16425,1167,168,999,5702,-5738,11440,1447,1447,0
2007-05-15 00:00:00,3380,2601,779,16400,1272,306,966,5646,-5899,11545,1447,1447,0
2007-05-22 00:00:00,2992,2072,920,16229,1292,77,1215,6016,-5045,11061,1393,1393,0
2007-05-29 00:00:00,3002,1870,1132,16688,1276,84,1192,6168,-4901,11069,1385,1385,0
2007-06-05 00:00:00,3078,1945,1133,17392,1140,-211,1351,7163,-4544,11707,1361,1361,0
2007-06-12 00:00:00,2783,1582,1201,18032,1471,284,1187,7427,-4545,11972,1361,1361,0
2007-06-19 00:00:00,3352,2664,688,17483,2042,986,1056,6368,-6239,12607,1356,1356,0
2007-06-26 00:00:00,3136,2321,815,17546,2029,943,1086,6724,-5994,12718,1356,1356,0
2007-07-03 00:00:00,3087,2215,872,16075,1706,645,1061,5950,-5500,11450,1362,1362,0
2007-07-10 00:00:00,3017,1987,1030,16442,1519,441,1078,6071,-5214,11285,1392,1392,0
2007-07-17 00:00:00,3031,1507,1524,17304,806,-390,1196,6907,-3713,10620,1457,1457,0
2007-07-24 00:00:00,3043,1333,1710,16679,680,-372,1052,6938,-3576,10514,1435,1435,0
2007-07-31 00:00:00,3066,1280,1786,16946,716,-418,1134,7102,-3578,10680,1442,1442,0
2007-08-07 00:00:00,3189,1974,1215,17211,743,-486,1229,6735,-4328,11063,1471,1471,0
2007-08-14 00:00:00,3302,2140,1162,16391,828,-473,1301,5920,-4331,10251,1471,1471,0
2007-08-21 00:00:00,3104,1673,1431,16297,878,-425,1303,6229,-3721,9950,1435,1435,0
2007-08-28 00:00:00,2978,1857,1121,15210,851,-508,1359,5885,-4059,9944,1448,1448,0
2007-09-04 00:00:00,3181,2362,819,15236,1122,-119,1241,5329,-5117,10446,1447,1447,0
2007-09-11 00:00:00,3303,2587,716,15735,1128,-150,1278,5098,-5649,10747,1466,1466,0
2007-09-18 00:00:00,3472,2819,653,16076,1172,-53,1225,5128,-6066,11194,1470,1470,0
2007-09-25 00:00:00,3375,3109,266,16101,1267,311,956,5284,-6716,12000,1479,1479,0
2007-10-02 00:00:00,3658,3537,121,17799,1357,703,654,5415,-7967,13382,1494,1494,0
2007-10-09 00:00:00,3972,3851,121,19849,1599,1213,386,5678,-8830,14508,1493,1493,0
2007-10-16 00:00:00,3685,3385,300,19503,1233,839,394,6730,-8018,14748,1508,1508,0
2007-10-23 00:00:00,3642,3461,181,18928,1359,1029,330,6010,-8345,14355,1495,1495,0
2007-10-30 00:00:00,3802,3464,338,18646,1298,1195,103,6350,-8389,14739,1487,1487,0
2007-11-06 00:00:00,4880,4880,0,19167,1947,1929,18,5114,-10618,15732,1555,1555,0
2007-11-13 00:00:00,5569,5569,0,19780,1998,1993,5,4913,-11240,16153,1575,1575,0
2007-11-20 00:00:00,5612,5612,0,20419,2459,2406,53,4902,-11593,16495,1556,1556,0
2007-11-27 00:00:00,5638,5638,0,20857,2485,2475,10,5046,-11836,16882,1547,1547,0
2007-12-04 00:00:00,5546,5546,0,20854,2593,2592,1,4997,-11772,16769,1561,1561,0
2007-12-11 00:00:00,5441,5441,0,22918,2502,2501,1,5246,-11794,17040,1574,1574,0
2007-12-18 00:00:00,5116,5116,0,19449,2432,2420,12,4967,-11791,16758,1590,1590,0
2007-12-24 00:00:00,5359,5359,0,19139,2399,2399,0,4795,-11928,16723,1624,1624,0
2007-12-31 00:00:00,5400,5400,0,18685,2398,1954,444,4646,-11563,16209,1640,1640,0
2008-01-08 00:00:00,5361,5361,0,18743,2622,2350,272,4040,-12338,16378,1697,1697,0
2008-01-15 00:00:00,5754,5754,0,19203,2399,2035,364,4260,-12398,16658,1737,1737,0
2008-01-22 00:00:00,4760,4760,0,18034,1751,1341,410,4498,-10689,15187,1789,1789,0
2008-01-29 00:00:00,5506,5506,0,18577,1821,1534,287,4362,-11371,15733,1897,1897,0
2008-02-05 00:00:00,5805,5805,0,20682,2036,1661,375,5045,-12277,17322,1858,1858,0
2008-02-12 00:00:00,5652,5652,0,21286,2440,2095,345,5509,-12642,18151,1935,1935,0
2008-02-19 00:00:00,5640,5640,0,22005,2629,2316,313,5415,-13184,18599,1967,1967,0
2008-02-26 00:00:00,5565,5565,0,21961,2492,2214,278,6117,-13207,19324,2081,2081,0
2008-03-04 00:00:00,5470,5470,0,20568,2330,2169,161,4924,-13400,18324,2213,2213,0
2008-03-11 00:00:00,5018,5018,0,20513,2552,2351,201,5605,-12569,18174,2176,2176,0
2008-03-18 00:00:00,4465,4465,0,21012,2709,2344,365,6012,-12325,18337,2209,2209,0
2008-03-25 00:00:00,4438,4373,65,21370,3046,2664,382,6130,-12057,18187,2183,2183,0
2008-04-01 00:00:00,3615,3615,0,22228,3379,2986,393,6735,-11864,18599,2018,2018,0
2008-04-08 00:00:00,3595,3595,0,23261,3667,3329,338,7010,-12925,19935,2787,2787,0
2008-04-15 00:00:00,3744,3684,60,23595,3620,3312,308,7224,-12916,20140,2874,2874,0
2008-04-22 00:00:00,3222,3221,1,23695,3793,3462,331,7146,-12758,19904,3161,3161,0
2008-04-29 00:00:00,3393,3389,4,23892,3487,2578,909,7441,-11291,18732,3220,3220,0
2008-05-06 00:00:00,2100,2096,4,20540,2574,1845,729,7883,-8036,15919,2021,2021,0
2008-05-13 00:00:00,2194,2045,149,20525,2608,1820,788,7848,-8069,15917,2064,2064,0
2008-05-20 00:00:00,2316,2168,148,20303,2344,1669,675,7949,-7800,15749,2012,2012,0
2008-05-27 00:00:00,2267,2117,150,20537,2369,1529,840,7932,-7777,15709,2014,2014,0
2008-06-03 00:00:00,2303,2154,149,20473,1933,1281,652,8549,-7365,15914,2176,2176,0
2008-06-10 00:00:00,2125,1978,147,19885,1711,1072,639,8101,-7210,15311,2286,2286,0
2008-06-17 00:00:00,2529,2383,146,19595,1401,703,698,7576,-7427,15003,2289,2289,0
2008-06-24 00:00:00,2653,2442,211,17064,1280,647,633,6012,-7189,13201,2089,2089,0
2008-07-01 00:00:00,2322,2023,299,15260,854,259,595,5817,-6482,12299,2193,2193,0
2008-07-08 00:00:00,1896,1575,321,14684,893,306,587,5767,-5639,11406,2195,2195,0
2008-07-15 00:00:00,1823,1501,322,13753,720,154,566,5375,-5309,10684,2249,2249,0
2008-07-22 00:00:00,1766,1445,321,13689,680,36,644,5886,-4585,10471,2188,2188,0
2008-07-29 00:00:00,1822,1514,308,13743,445,-475,920,6188,-3940,10128,2131,2131,0
2008-08-05 00:00:00,1695,1576,119,13749,356,-738,1094,6399,-3307,9706,2046,2046,0
2008-08-12 00:00:00,1652,1250,402,13476,378,-730,1108,6356,-2779,9135,1975,1975,0
2008-08-19 00:00:00,1981,1616,365,12829,255,-695,950,5437,-3182,8619,1920,1920,0
