am_long,am_short,date,dealer_long,dealer_short,lev_long,lev_short,mm_long,mm_net,mm_short,oi,other_long,other_net,other_short,pm_long,pm_net,pm_short,sd_long,sd_net,sd_short
22886,98577,2006-06-13 00:00:00,322952,174840,56677,99632,79563,-118646,198209,646106,17347,-3969,21316,322952,148112,174840,56677,-42955,99632
24068,115348,2006-06-20 00:00:00,256930,124326,62342,103301,86410,-132239,218649,422954,13527,-6207,19734,256930,132604,124326,62342,-40959,103301
29552,125244,2006-06-27 00:00:00,264402,138639,57793,85783,87345,-123682,211027,428568,10549,-5606,16155,264402,125763,138639,57793,-27990,85783
34195,125066,2006-07-03 00:00:00,269335,142099,57946,86334,92141,-119259,211400,433982,6332,-9390,15722,269335,127236,142099,57946,-28388,86334
29989,124648,2006-07-11 00:00:00,267263,142328,56994,80665,86983,-118330,205313,426573,4487,-9877,14364,267263,124935,142328,56994,-23671,80665
26834,129477,2006-07-18 00:00:00,277834,151075,53975,76552,80809,-125220,206029,442058,7738,-7375,15113,277834,126759,151075,53975,-22577,76552
26152,131355,2006-07-25 00:00:00,273623,151772,57840,76324,83992,-123687,207679,453375,11708,-820,12528,273623,121851,151772,57840,-18484,76324
24508,129033,2006-08-01 00:00:00,274812,158991,57184,78737,81692,-126078,207770,459812,13881,1324,12557,274812,115821,158991,57184,-21553,78737
24436,126772,2006-08-08 00:00:00,278302,157544,55225,84831,79661,-131942,211603,464644,12463,-2983,15446,278302,120758,157544,55225,-29606,84831
25963,131241,2006-08-15 00:00:00,283844,159617,62531,89783,88494,-132530,221024,472493,9656,-5161,14817,283844,124227,159617,62531,-27252,89783
26507,130925,2006-08-22 00:00:00,286564,161286,67535,88558,94042,-125441,219483,473930,6551,-8247,14798,286564,125278,161286,67535,-21023,88558
29453,130411,2006-08-29 00:00:00,281896,152964,69779,93742,99232,-124921,224153,466862,7572,-10159,17731,281896,128932,152964,69779,-23963,93742
29442,125383,2006-09-05 00:00:00,266593,149153,73673,96966,103115,-119234,222349,464784,7409,-9322,16731,266593,117440,149153,73673,-23293,96966
31478,121091,2006-09-12 00:00:00,270541,146020,66255,100500,97733,-123858,221591,525769,8394,-7218,15612,270541,124521,146020,66255,-34245,100500
29922,119344,2006-09-19 00:00:00,253214,124005,47947,90514,77869,-131989,209858,406452,37,-20136,20173,253214,129209,124005,47947,-42567,90514
32848,119443,2006-09-26 00:00:00,253507,117267,54728,115461,87576,-147328,234904,424967,298,-18828,19126,253507,136240,117267,54728,-60733,115461
33216,121932,2006-10-03 00:00:00,256276,107881,50727,120124,83943,-158113,242056,428583,126,-20679,20805,256276,148395,107881,50727,-69397,120124
36254,120757,2006-10-10 00:00:00,261399,110735,57392,125394,93646,-152505,246151,433292,347,-18365,18712,261399,150664,110735,57392,-68002,125394
38629,107474,2006-10-17 00:00:00,242580,128406,53802,106911,92431,-121954,214385,426252,12,-23313,23325,242580,114174,128406,53802,-53109,106911
39754,100477,2006-10-24 00:00:00,220988,136224,64933,105623,104687,-101413,206100,419037,55,-21867,21922,220988,84764,136224,64933,-40690,105623
38751,96138,2006-10-31 00:00:00,217652,140580,72132,110374,110883,-95629,206512,424357,333,-22120,22453,217652,77072,140580,72132,-38242,110374
41473,97076,2006-11-07 00:00:00,222329,116208,59992,129102,101465,-124713,226178,415052,394,-21771,22165,222329,106121,116208,59992,-69110,129102
47138,97591,2006-11-14 00:00:00,222433,114287,66124,136650,113262,-120979,234241,424826,824,-23548,24372,222433,108146,114287,66124,-70526,136650
55277,94716,2006-11-21 00:00:00,205942,123160,63876,120324,119153,-95887,215040,415142,1015,-24597,25612,205942,82782,123160,63876,-56448,120324
54530,94612,2006-11-28 00:00:00,202194,109819,61325,124514,115855,-103271,219126,408211,1399,-27767,29166,202194,92375,109819,61325,-63189,124514
58528,96143,2006-12-05 00:00:00,206630,112342,63796,127131,122324,-100950,223274,438016,1039,-29026,30065,206630,94288,112342,63796,-63335,127131
60054,93498,2006-12-12 00:00:00,204225,108047,60546,129197,120600,-102095,222695,477420,698,-29364,30062,204225,96178,108047,60546,-68651,129197
56220,90208,2006-12-19 00:00:00,153478,91639,73521,108732,129741,-69199,198940,348845,2350,-9671,12021,153478,61839,91639,73521,-35211,108732
57441,90017,2006-12-26 00:00:00,156405,96581,75473,107336,132914,-64439,197353,355662,3459,-9662,13121,156405,59824,96581,75473,-31863,107336
58859,91203,2007-01-03 00:00:00,158499,92759,75429,111421,134288,-68336,202624,355683,2806,-11040,13846,158499,65740,92759,75429,-35992,111421
50981,94261,2007-01-09 00:00:00,162288,90808,73771,109976,124752,-79485,204237,360890,5584,-6902,12486,162288,71480,90808,73771,-36205,109976
47127,103620,2007-01-16 00:00:00,169431,96068,80159,107339,127286,-83673,210959,372680,4861,-8215,13076,169431,73363,96068,80159,-27180,107339
48177,107581,2007-01-23 00:00:00,180766,93830,76097,109915,124274,-93222,217496,373294,4860,-8292,13152,180766,86936,93830,76097,-33818,109915
46659,107869,2007-01-30 00:00:00,182672,89276,80584,111547,127243,-92173,219416,380202,2940,-12183,15123,182672,93396,89276,80584,-30963,111547
39105,107179,2007-02-06 00:00:00,183200,85994,92116,116777,131221,-92735,223956,390047,2059,-15451,17510,183200,97206,85994,92116,-24661,116777
