date,mm_long,mm_net,mm_short,oi,other_long,other_net,other_short,pm_long,pm_net,pm_short,sd_long,sd_net,sd_short
2006-06-13 00:00:00,21445,15786,5659,163132,8721,6535,2186,20386,-22168,42554,4276,-22147,26423
2006-06-20 00:00:00,20212,13628,6584,161702,8778,6501,2277,22672,-21232,43904,5739,-19559,25298
2006-06-27 00:00:00,19131,12780,6351,141778,8047,3322,4725,21210,-16518,37728,5479,-19376,24855
2006-07-03 00:00:00,19253,16554,2699,131659,7805,3250,4555,17188,-22406,39594,7627,-16836,24463
2006-07-11 00:00:00,20355,18063,2292,135926,7085,1895,5190,17402,-23014,40416,7162,-16156,23318
2006-07-18 00:00:00,19678,15685,3993,135165,7578,3022,4556,15498,-24950,40448,9919,-13261,23180
2006-07-25 00:00:00,19518,15958,3560,132941,7462,3259,4203,14678,-24833,39511,9412,-14079,23491
2006-08-01 00:00:00,22655,18723,3932,133573,6004,1530,4474,14914,-25281,40195,8586,-16676,25262
2006-08-08 00:00:00,27083,23739,3344,146644,6309,1468,4841,14215,-28046,42261,9410,-18043,27453
2006-08-15 00:00:00,27005,23711,3294,149122,5791,820,4971,15603,-27124,42727,8961,-18287,27248
2006-08-22 00:00:00,28126,25520,2606,156771,6461,611,5850,15782,-28450,44232,8665,-18869,27534
2006-08-29 00:00:00,27654,23677,3977,144938,6217,1163,5054,14636,-27350,41986,8240,-19011,27251
2006-09-05 00:00:00,29447,24798,4649,145645,6289,321,5968,13571,-29271,42842,9148,-18634,27782
2006-09-12 00:00:00,22128,15769,6359,135528,7214,1855,5359,14935,-24129,39064,11140,-13875,25015
2006-09-19 00:00:00,18202,9757,8445,134640,7182,4190,2992,15939,-22492,38431,12439,-11002,23441
2006-09-26 00:00:00,19458,11546,7912,134036,6050,3846,2204,16817,-21597,38414,11614,-13072,24686
2006-10-03 00:00:00,18545,11242,7303,132231,5784,4453,1331,16755,-21670,38425,11609,-12795,24404
2006-10-10 00:00:00,19115,11652,7463,134365,5721,4368,1353,18061,-20900,38961,11391,-13571,24962
2006-10-17 00:00:00,22446,15791,6655,142505,6020,3492,2528,18431,-22681,41112,10869,-16205,27074
2006-10-24 00:00:00,23268,16675,6593,145379,7731,5836,1895,18608,-23901,42509,10206,-17222,27428
2006-10-31 00:00:00,26792,20903,5889,146743,5845,3634,2211,16477,-26123,42600,10158,-18873,29031
2006-11-07 00:00:00,29509,23405,6104,151596,6180,3926,2254,16633,-28465,45098,9610,-19884,29494
2006-11-14 00:00:00,33759,28075,5684,156613,6924,4308,2616,15202,-31971,47173,9183,-21006,30189
2006-11-21 00:00:00,34880,29496,5384,156551,6822,4959,1863,16804,-33678,50482,9213,-21812,31025
2006-11-28 00:00:00,36335,31394,4941,136194,7258,5674,1584,12700,-36559,49259,9784,-21394,31178
2006-12-05 00:00:00,39679,35310,4369,136023,6475,4222,2253,11318,-39499,50817,11629,-20624,32253
2006-12-12 00:00:00,41213,36834,4379,139533,7725,4540,3185,11932,-40950,52882,11694,-21247,32941
2006-12-19 00:00:00,28303,23430,4873,133716,11711,10133,1578,13493,-36137,49630,12064,-17296,29360
2006-12-26 00:00:00,26658,21797,4861,127538,10760,8803,1957,13076,-34522,47598,13661,-14904,28565
2007-01-03 00:00:00,26342,20234,6108,130632,9635,7634,2001,14951,-31972,46923,11743,-16666,28409
2007-01-09 00:00:00,27557,22194,5363,129245,9497,7412,2085,14035,-30585,44620,11095,-16886,27981
2007-01-16 00:00:00,27159,22162,4997,128950,9230,6832,2398,14743,-29318,44061,9079,-19170,28249
2007-01-23 00:00:00,29390,24531,4859,138587,9841,7571,2270,17406,-31218,48624,8893,-21499,30392
2007-01-30 00:00:00,32980,27564,5416,141480,9936,7659,2277,16869,-33846,50715,8618,-22932,31550
2007-02-06 00:00:00,35687,29862,5825,147958,9872,7313,2559,17917,-34777,52694,8498,-23950,32448
2007-02-13 00:00:00,39606,33111,6495,157834,10102,7032,3070,18807,-36355,55162,8446,-25343,33789
2007-02-20 00:00:00,41650,34627,7023,160547,10866,8157,2709,18770,-37091,55861,8178,-25132,33310
2007-02-27 00:00:00,50800,45057,5743,154686,9271,6617,2654,16633,-46878,63511,7394,-25008,32402
2007-03-06 00:00:00,29780,23107,6673,140844,10501,9644,857,17013,-35852,52865,10596,-18873,29469
2007-03-13 00:00:00,24424,17766,6658,137688,11656,11014,642,18159,-31541,49700,10973,-18037,29010
2007-03-20 00:00:00,23024,16590,6434,140501,11418,10731,687,18147,-31350,49497,11156,-17576,28732
2007-03-27 00:00:00,23048,16822,6226,136408,12681,12081,600,15341,-33949,49290,11735,-17141,28876
2007-04-03 00:00:00,24389,16792,7597,137916,12590,12079,511,12530,-32724,45254,11348,-18070,29418
2007-04-10 00:00:00,28073,19960,8113,147885,12668,11779,889,12779,-36170,48949,11729,-19615,31344
2007-04-17 00:00:00,31232,23094,8138,153283,13847,12409,1438,12133,-39130,51263,11306,-19491,30797
2007-04-24 00:00:00,32402,23410,8992,154004,14703,13483,1220,12721,-39986,52707,11236,-19311,30547
2007-05-01 00:00:00,28294,17420,10874,132297,13385,12598,787,8861,-37224,46085,12221,-17003,29224
2007-05-08 00:00:00,26632,15143,11489,132804,13770,12998,772,9436,-35128,44564,12896,-16340,29236
2007-05-15 00:00:00,26061,14665,11396,132019,14273,13459,814,8860,-35646,44506,13364,-15487,28851
2007-05-22 00:00:00,24034,10469,13565,133402,14831,13924,907,8330,-32516,40846,14152,-13415,27567
2007-05-29 00:00:00,25800,12525,13275,134942,14879,14551,328,8034,-34951,42985,13712,-13798,27510
2007-06-05 00:00:00,29876,19369,10507,141695,14313,13219,1094,7596,-37616,45212,11999,-17834,29833
2007-06-12 00:00:00,28468,16823,11645,144674,15245,14102,1143,7550,-37090,44640,13939,-15278,29217
2007-06-19 00:00:00,28425,18581,9844,151279,15438,15438,0,8186,-40934,49120,14087,-15528,29615
2007-06-26 00:00:00,24368,12161,12207,143650,14394,12768,1626,10213,-35523,45736,16559,-10801,27360
2007-07-03 00:00:00,24411,9521,14890,141312,13149,11899,1250,10840,-31417,42257,17754,-9595,27349
2007-07-10 00:00:00,24498,11088,13410,141360,14468,13347,1121,9594,-34812,44406,17773,-9700,27473
2007-07-17 00:00:00,24464,13711,10753,140322,13960,12518,1442,9899,-36243,46142,17770,-10812,28582
2007-07-24 00:00:00,29040,19987,9053,147323,13767,12160,1607,10010,-40425,50435,16198,-13141,29339
2007-07-31 00:00:00,24733,14402,10331,143544,13229,12199,1030,11707,-35500,47207,17238,-12222,29460
2007-08-07 00:00:00,25617,16450,9167,148151,13499,12286,1213,13132,-36989,50121,17040,-11865,28905
2007-08-14 00:00:00,19632,10943,8689,148045,15468,14588,880,14498,-35814,50312,18189,-10871,29060
2007-08-21 00:00:00,15978,3242,12736,150179,14125,12786,1339,15752,-32456,48208,20714,-840,21554
2007-08-28 00:00:00,14408,339,14069,135059,11534,10659,875,13630,-30659,44289,20449,1143,19306
2007-09-04 00:00:00,14451,168,14283,132025,11930,10834,1096,14232,-28207,42439,18395,289,18106
2007-09-11 00:00:00,15637,1289,14348,135725,12074,10853,1221,13292,-30917,44209,17467,1912,15555
2007-09-18 00:00:00,17086,4696,12390,139669,10914,8980,1934,14184,-32580,46764,18274,1611,16663
2007-09-25 00:00:00,26119,15385,10734,149867,11029,9588,1441,10601,-41649,52250,17439,-1695,19134
2007-10-02 00:00:00,28024,16971,11053,149720,10487,9546,941,9846,-41070,50916,17174,-5098,22272
2007-10-09 00:00:00,29615,19773,9842,153803,10937,8921,2016,10836,-43177,54013,17123,-5648,22771
2007-10-16 00:00:00,29383,19551,9832,161068,11741,9853,1888,12107,-43660,55767,16595,-6847,23442
2007-10-23 00:00:00,30300,20761,9539,160043,9956,8368,1588,12638,-43404,56042,17209,-5848,23057
2007-10-30 00:00:00,33498,23507,9991,174092,9783,7342,2441,13649,-45496,59145,16908,-7812,24720
2007-11-06 00:00:00,36994,27287,9707,202422,10716,8136,2580,18770,-50319,69089,17201,-7729,24930
2007-11-13 00:00:00,34548,24981,9567,194623,11136,9013,2123,18104,-50121,68225,15189,-8840,24029
2007-11-20 00:00:00,32224,22008,10216,193720,11535,9990,1545,21438,-47723,69161,13795,-9265,23060
2007-11-27 00:00:00,28420,18251,10169,179254,14216,13448,768,22015,-44885,66900,13315,-9278,22593
2007-12-04 00:00:00,25903,16781,9122,174713,13016,11487,1529,23678,-41688,65366,13257,-9774,23031
2007-12-11 00:00:00,27982,19109,8873,187510,13503,11682,1821,26878,-45461,72339,13786,-9293,23079
2007-12-18 00:00:00,23986,13191,10795,184158,13054,11761,1293,28824,-40012,68836,13010,-8664,21674
2007-12-24 00:00:00,26682,19109,7573,187916,12756,11805,951,29128,-43804,72932,12675,-9999,22674
2007-12-31 00:00:00,29581,22794,6787,191024,12811,11868,943,27829,-45321,73150,11395,-12552,23947
2008-01-08 00:00:00,38014,30068,7946,213535,12337,10363,1974,28965,-50211,79176,10767,-14619,25386
2008-01-15 00:00:00,41348,32645,8703,226925,13027,10184,2843,28297,-53963,82260,12991,-12568,25559
2008-01-22 00:00:00,45197,37417,7780,228778,11464,8725,2739,29490,-54982,84472,10551,-15092,25643
2008-01-29 00:00:00,44438,38334,6104,234250,11679,8200,3479,29126,-57046,86172,11007,-14561,25568
2008-02-05 00:00:00,45611,40438,5173,234465,11421,9172,2249,30124,-58377,88501,11443,-13428,24871
2008-02-12 00:00:00,49190,43995,5195,242449,12048,7999,4049,30262,-61611,91873,12903,-11804,24707
2008-02-19 00:00:00,48892,43397,5495,245791,12592,9022,3570,30356,-64981,95337,12749,-11506,24255
2008-02-26 00:00:00,48348,44493,3855,219587,11584,8097,3487,24206,-65613,89819,16742,-7614,24356
2008-03-04 00:00:00,44141,40776,3365,221282,13283,8501,4782,24362,-63907,88269,17981,-6709,24690
2008-03-11 00:00:00,41260,37537,3723,218459,14244,12237,2007,24271,-62720,86991,17566,-8182,25748
2008-03-18 00:00:00,42261,38179,4082,219284,13669,11283,2386,24012,-62485,86497,16770,-8893,25663
2008-03-25 00:00:00,31183,25902,5281,204456,14589,12720,1869,24857,-54909,79766,19051,-4883,23934
