date,mm_long,mm_net,mm_short,oi,other_long,other_net,other_short,pm_long,pm_net,pm_short,sd_long,sd_net,sd_short
2006-06-13 00:00:00,18205,-6029,24234,201077,11760,2337,9423,98194,-4870,103064,1854,190,1664
2006-06-20 00:00:00,14897,-7432,22329,191263,11742,3114,8628,95515,-1950,97465,2030,992,1038
2006-06-27 00:00:00,12064,-19352,31416,197286,11520,-250,11770,106425,16347,90078,1734,29,1705
2006-07-03 00:00:00,14444,-14846,29290,198744,10544,-86,10630,105547,11239,94308,1203,-1059,2262
2006-07-11 00:00:00,15692,-16894,32586,201955,12171,2171,10000,105584,7845,97739,1878,-533,2411
2006-07-18 00:00:00,15573,-31070,46643,224584,15891,7795,8096,123718,17545,106173,1631,-1784,3415
2006-07-25 00:00:00,16447,-32986,49433,223029,15859,7816,8043,122804,20509,102295,1687,-2610,4297
2006-08-01 00:00:00,14315,-41714,56029,236932,15857,6610,9247,131749,27701,104048,4480,78,4402
2006-08-08 00:00:00,15596,-45135,60731,246157,16417,6974,9443,138474,34833,103641,1820,-3784,5604
2006-08-15 00:00:00,14437,-46325,60762,253540,16084,7300,8784,140026,36026,104000,1792,-5210,7002
2006-08-22 00:00:00,13884,-50721,64605,264917,16099,7475,8624,144465,39308,105157,1611,-6053,7664
2006-08-29 00:00:00,13353,-49003,62356,257179,15417,5451,9966,141237,41986,99251,1963,-6163,8126
2006-09-05 00:00:00,14865,-44291,59156,260297,15604,5215,10389,142819,37349,105470,2035,-7239,9274
2006-09-12 00:00:00,12911,-55215,68126,274243,17422,7322,10100,152522,45603,106919,1890,-6246,8136
2006-09-19 00:00:00,14239,-43369,57608,265883,16877,7801,9076,142881,31622,111259,1760,-5581,7341
2006-09-26 00:00:00,13284,-36663,49947,242971,12792,4200,8592,134923,27131,107792,1503,-4487,5990
2006-10-03 00:00:00,12348,-37981,50329,236995,12629,5111,7518,125600,24922,100678,1516,-4036,5552
2006-10-10 00:00:00,14075,-30043,44118,229892,12236,6995,5241,120049,15220,104829,1628,-3246,4874
2006-10-17 00:00:00,17723,-10759,28482,222487,14074,9825,4249,105344,-13923,119267,1823,121,1702
2006-10-24 00:00:00,20550,-4040,24590,225422,13356,8988,4368,102781,-24693,127474,2895,1866,1029
2006-10-31 00:00:00,30976,12385,18591,233442,11823,9420,2403,95655,-45305,140960,4598,3681,917
2006-11-07 00:00:00,35489,22327,13162,245096,11620,8469,3151,98505,-57485,155990,5707,5354,353
2006-11-14 00:00:00,37321,23461,13860,241080,12938,9406,3532,98597,-59890,158487,6057,5760,297
2006-11-21 00:00:00,35305,21273,14032,227001,14155,11863,2292,96557,-56544,153101,6289,5637,652
2006-11-28 00:00:00,36111,21694,14417,233777,11281,8492,2789,99340,-56727,156067,6743,6464,279
2006-12-05 00:00:00,28358,10735,17623,226476,8811,4678,4133,108210,-35242,143452,5437,4929,508
2006-12-12 00:00:00,26679,11740,14939,226162,9469,4518,4951,109251,-36630,145881,6201,5800,401
2006-12-19 00:00:00,22568,6044,16524,225546,10235,4964,5271,111135,-29965,141100,6500,6112,388
2006-12-26 00:00:00,23773,7436,16337,212641,9479,4405,5074,102297,-33044,135341,6935,6582,353
2007-01-03 00:00:00,26112,7931,18181,206889,9605,4380,5225,98228,-31548,129776,7281,6898,383
2007-01-09 00:00:00,23049,4951,18098,206766,8340,2694,5646,100062,-26989,127051,8263,7984,279
2007-01-16 00:00:00,31123,15740,15383,215860,9342,2387,6955,98890,-40577,139467,6936,6567,369
2007-01-23 00:00:00,40587,27031,13556,228105,9414,3700,5714,96072,-54496,150568,9018,7341,1677
2007-01-30 00:00:00,43254,27382,15872,237717,9963,6185,3778,97424,-60139,157563,9772,8094,1678
2007-02-06 00:00:00,46501,34172,12329,242641,10093,5178,4915,96034,-67835,163869,10038,8376,1662
2007-02-13 00:00:00,59490,50380,9110,253793,10209,4880,5329,86961,-86234,173195,10902,9177,1725
2007-02-20 00:00:00,65260,56348,8912,263665,10908,7045,3863,86973,-92356,179329,9451,7724,1727
2007-02-27 00:00:00,60168,52014,8154,253982,11572,-3548,15120,83853,-77356,161209,9784,8056,1728
2007-03-06 00:00:00,47983,38073,9910,238098,10683,-3720,14403,87240,-60790,148030,7349,5617,1732
2007-03-13 00:00:00,44089,32622,11467,236946,10416,5819,4597,87888,-65168,153056,6978,5044,1934
2007-03-20 00:00:00,41414,29616,11798,237675,10670,5672,4998,86513,-61147,147660,6161,4222,1939
2007-03-27 00:00:00,36836,22826,14010,231854,13108,8517,4591,87223,-53898,141121,5527,3208,2319
2007-04-03 00:00:00,33328,18981,14347,237773,14227,8930,5297,92942,-49286,142228,4556,2161,2395
2007-04-10 00:00:00,30255,14855,15400,246790,14519,7831,6688,105290,-41409,146699,3736,2346,1390
2007-04-17 00:00:00,27096,10637,16459,247257,12662,6184,6478,113232,-34309,147541,3293,1621,1672
2007-04-24 00:00:00,23485,9374,14111,234577,11785,4204,7581,111765,-30213,141978,2823,1379,1444
2007-05-01 00:00:00,29937,13854,16083,234024,10145,2034,8111,106024,-29087,135111,2969,415,2554
2007-05-08 00:00:00,28426,9646,18780,238972,10488,2182,8306,111320,-25975,137295,3210,283,2927
2007-05-15 00:00:00,29303,10213,19090,239517,13177,5305,7872,108254,-32528,140782,3347,-489,3836
2007-05-22 00:00:00,33242,16900,16342,232978,11617,3753,7864,99484,-41759,141243,3508,-73,3581
2007-05-29 00:00:00,35295,20417,14878,233781,11814,4938,6876,96966,-48931,145897,2580,722,1858
2007-06-05 00:00:00,44018,30947,13071,245743,9906,4328,5578,98937,-61330,160267,5352,3063,2289
