date,mm_long,mm_net,mm_short,oi,other_long,other_net,other_short,pm_long,pm_net,pm_short,sd_long,sd_net,sd_short
2006-06-13 00:00:00,56074,41552,14522,283576,9495,4832,4663,59814,-120270,180084,63906,61804,2102
2006-06-20 00:00:00,39927,19831,20096,274033,9234,2511,6723,76280,-88702,164982,61695,60110,1585
2006-06-27 00:00:00,39994,26091,13903,249213,9263,3906,5357,63966,-98274,162240,62112,61656,456
2006-07-03 00:00:00,53249,40935,12314,268341,11652,6791,4861,59509,-122080,181589,63248,62692,556
2006-07-11 00:00:00,76595,64102,12493,301281,12716,6356,6360,55126,-151533,206659,67026,66470,556
2006-07-18 00:00:00,79255,63878,15377,313126,14833,9345,5488,70238,-151796,222034,66919,66473,446
2006-07-25 00:00:00,72804,58800,14004,305727,14062,9409,4653,72245,-146630,218875,66720,66114,606
2006-08-01 00:00:00,68863,57857,11006,308851,12596,8708,3888,70439,-146967,217406,66463,65807,656
2006-08-08 00:00:00,68192,58850,9342,299780,10739,6297,4442,66863,-143316,210179,65620,64764,856
2006-08-15 00:00:00,49830,34374,15456,287874,12026,8464,3562,75666,-113766,189432,64496,64046,450
2006-08-22 00:00:00,43995,28078,15917,289585,13544,9024,4520,76550,-105119,181669,65598,65598,0
2006-08-29 00:00:00,39609,15331,24278,285727,14095,6708,7387,79735,-90997,170732,66114,65182,932
2006-09-05 00:00:00,37851,11963,25888,279157,14168,6124,8044,75683,-89001,164684,67938,66513,1425
2006-09-12 00:00:00,33443,-1097,34540,286750,11994,5006,6988,80220,-75075,155295,69407,66345,3062
2006-09-19 00:00:00,33875,-5274,39149,295106,13020,6135,6885,81285,-71636,152921,70040,66681,3359
2006-09-26 00:00:00,27581,-11862,39443,287221,12139,3389,8750,88077,-53407,141484,66552,62330,4222
2006-10-03 00:00:00,25809,-18404,44213,283318,9680,1472,8208,86330,-48354,134684,67304,62302,5002
2006-10-10 00:00:00,24596,-13648,38244,281871,10254,3509,6745,91918,-53851,145769,65851,60752,5099
2006-10-17 00:00:00,28108,817,27291,288196,11861,5888,5973,91831,-72426,164257,64913,60081,4832
2006-10-24 00:00:00,31879,24989,6890,284082,14916,8304,6612,74563,-106873,181436,63206,60805,2401
