date,mm_long,mm_net,mm_short,oi,other_long,other_net,other_short,pm_long,pm_net,pm_short,sd_long,sd_net,sd_short
2006-06-13 00:00:00,40085,-2523,42608,484407,17912,-2422,20334,96365,-56880,153245,104543,98127,6416
2006-06-20 00:00:00,36917,-15275,52192,470526,17600,-2003,19603,104691,-47077,151768,108102,100982,7120
2006-06-27 00:00:00,34717,-33335,68052,414948,18244,1059,17185,97195,-28845,126040,102948,95532,7416
2006-07-03 00:00:00,39376,-5156,44532,410024,18790,-1183,19973,77386,-53760,131146,103145,96487,6658
2006-07-11 00:00:00,45254,6146,39108,427561,17609,-3173,20782,81268,-72417,153685,104578,98628,5950
2006-07-18 00:00:00,41314,1993,39321,416774,15911,-8283,24194,91294,-60580,151874,103656,97232,6424
2006-07-25 00:00:00,42451,-6123,48574,398164,15772,-8628,24400,83129,-55588,138717,105723,98748,6975
2006-08-01 00:00:00,43505,-25706,69211,414997,16854,-9415,26269,87199,-40539,127738,110808,103398,7410
2006-08-08 00:00:00,42194,-38802,80996,418437,17533,-6398,23931,90368,-30127,120495,108436,101829,6607
2006-08-15 00:00:00,38006,-43774,81780,426421,17706,-5117,22823,101718,-21410,123128,106615,99322,7293
2006-08-22 00:00:00,37595,-45715,83310,443178,17906,-424,18330,106939,-26438,133377,108183,101209,6974
2006-08-29 00:00:00,35858,-47249,83107,433571,19181,2002,17179,103898,-24324,128222,108539,100971,7568
2006-09-05 00:00:00,37300,-45724,83024,435205,20153,500,19653,102379,-24147,126526,111451,102814,8637
2006-09-12 00:00:00,36913,-51149,88062,442040,20281,1186,19095,110298,-18624,128922,111375,102681,8694
2006-09-19 00:00:00,35464,-52071,87535,446428,19862,2593,17269,111134,-19717,130851,111204,102319,8885
2006-09-26 00:00:00,31348,-53520,84868,450924,19638,3503,16135,115524,-19780,135304,111492,103253,8239
2006-10-03 00:00:00,29847,-55265,85112,470218,22068,6529,15539,123431,-20165,143596,112542,103375,9167
2006-10-10 00:00:00,36698,-28703,65401,472253,17258,3421,13837,122567,-51985,174552,111498,104872,6626
2006-10-17 00:00:00,45970,-205,46175,506020,16630,2656,13974,122228,-81025,203253,108186,103756,4430
2006-10-24 00:00:00,48737,20494,28243,495308,21077,6346,14731,115002,-105934,220936,108942,106236,2706
2006-10-31 00:00:00,58666,36818,21848,456696,9390,-4465,13855,102442,-113306,215748,111867,110451,1416
