am_long,am_short,date,dealer_long,dealer_short,lev_long,lev_short,mm_long,mm_net,mm_short,oi,other_long,other_net,other_short,pm_long,pm_net,pm_short,sd_long,sd_net,sd_short
370566,169268,2006-06-13 00:00:00,296155,688428,231590,406333,602156,26555,575601,2152246,18543,-33569,52112,296155,-392273,688428,231590,-174743,406333
411550,170024,2006-06-20 00:00:00,165069,431246,110673,350575,522223,1624,520599,1349820,27214,-6455,33669,165069,-266177,431246,110673,-239902,350575
392565,168491,2006-06-27 00:00:00,188495,400272,115681,368792,508246,-29037,537283,1363863,25296,-6756,32052,188495,-211777,400272,115681,-253111,368792
392527,158639,2006-07-03 00:00:00,212010,444487,132055,353469,524582,12474,512108,1405684,19712,-19746,39458,212010,-232477,444487,132055,-221414,353469
395993,153125,2006-07-11 00:00:00,232079,429243,138884,386456,534877,-4704,539581,1421327,14201,-28415,42616,232079,-197164,429243,138884,-247572,386456
391481,170529,2006-07-18 00:00:00,293277,418780,125204,436545,516685,-90389,607074,1500369,24306,-15385,39691,293277,-125503,418780,125204,-311341,436545
392016,148134,2006-07-25 00:00:00,283908,437268,123822,394390,515838,-26686,542524,1434853,18636,-24270,42906,283908,-153360,437268,123822,-270568,394390
381184,147495,2006-08-01 00:00:00,325233,432367,97025,387654,478209,-56940,535149,1455623,21727,-27698,49425,325233,-107134,432367,97025,-290629,387654
385521,142260,2006-08-08 00:00:00,341323,453951,126161,454412,511682,-84990,596672,1545328,23189,-18220,41409,341323,-112628,453951,126161,-328251,454412
399801,138861,2006-08-15 00:00:00,293743,500254,167821,458542,567622,-29781,597403,1600884,21693,-24597,46290,293743,-206511,500254,167821,-290721,458542
413560,132619,2006-08-22 00:00:00,306977,518387,174109,488729,587669,-33679,621348,1609490,17330,-28575,45905,306977,-211410,518387,174109,-314620,488729
413535,130258,2006-08-29 00:00:00,286483,563847,190071,463912,603606,9436,594170,1655101,20048,-26154,46202,286483,-277364,563847,190071,-273841,463912
437978,123748,2006-09-05 00:00:00,326843,587979,221622,534307,659600,1545,658055,1761712,17763,-41248,59011,326843,-261136,587979,221622,-312685,534307
440489,110332,2006-09-12 00:00:00,307189,575779,201517,517177,642006,14497,627509,2096832,20527,-24273,44800,307189,-268590,575779,201517,-315660,517177
494270,92648,2006-09-19 00:00:00,121650,530065,129196,338484,623466,192334,431132,1370272,18269,-16918,35187,121650,-408415,530065,129196,-209288,338484
500258,95179,2006-09-26 00:00:00,128197,604669,203399,362321,703657,246157,457500,1522094,18446,-21465,39911,128197,-476472,604669,203399,-158922,362321
484128,93701,2006-10-03 00:00:00,121273,632514,258164,381509,742292,267082,475210,1549192,16947,-20905,37852,121273,-511241,632514,258164,-123345,381509
481844,89362,2006-10-10 00:00:00,118650,670922,252033,362145,733877,282370,451507,1618149,17347,-22414,39761,118650,-552272,670922,252033,-110112,362145
484989,93491,2006-10-17 00:00:00,139784,705423,283027,365113,768016,309412,458604,1703226,20612,-18629,39241,139784,-565639,705423,283027,-82086,365113
486578,108582,2006-10-24 00:00:00,141944,700044,321321,401285,807899,298032,509867,1702703,22092,-12856,34948,141944,-558100,700044,321321,-79964,401285
471874,148870,2006-10-31 00:00:00,162322,736813,351955,370091,823829,304868,518961,1759719,22070,-8303,30373,162322,-574491,736813,351955,-18136,370091
465642,135205,2006-11-07 00:00:00,167483,756750,362595,382997,828237,310035,518202,1818635,19710,-19241,38951,167483,-589267,756750,362595,-20402,382997
467256,134182,2006-11-14 00:00:00,164434,789408,400678,389870,867934,343882,524052,1872607,21992,-22998,44990,164434,-624974,789408,400678,10808,389870
496354,131757,2006-11-21 00:00:00,181857,838222,389017,359083,885371,394531,490840,1871531,23046,-18314,41360,181857,-656365,838222,389017,29934,359083
503950,124140,2006-11-28 00:00:00,206536,839176,395221,369029,899171,406002,493169,1903268,23328,-12845,36173,206536,-632640,839176,395221,26192,369029
