am_long,am_short,date,dealer_long,dealer_short,lev_long,lev_short,mm_long,mm_net,mm_short,oi,other_long,other_net,other_short,pm_long,pm_net,pm_short,sd_long,sd_net,sd_short
224897,200610,2006-06-13 00:00:00,86728,69973,142685,92381,367582,74591,292991,1029967,10426,-52090,62516,86728,16755,69973,142685,50304,92381
232602,187248,2006-06-20 00:00:00,109545,51024,118183,103497,350785,60040,290745,987549,13989,-41838,55827,109545,58521,51024,118183,14686,103497
242496,190604,2006-06-27 00:00:00,133483,53511,116511,130885,359007,37518,321489,996884,14236,-48358,62594,133483,79972,53511,116511,-14374,130885
248341,186933,2006-07-03 00:00:00,102321,59128,108538,104684,356879,65262,291617,983962,21799,-35871,57670,102321,43193,59128,108538,3854,104684
257166,204869,2006-07-11 00:00:00,87592,85588,102817,82953,359983,72161,287822,1008588,22743,-25542,48285,87592,2004,85588,102817,19864,82953
259228,215398,2006-07-18 00:00:00,98633,55315,102061,94876,361289,51015,310274,1022197,22617,-30889,53506,98633,43318,55315,102061,7185,94876
256757,228599,2006-07-25 00:00:00,83297,80289,117700,76420,374457,69438,305019,987296,28723,-21164,49887,83297,3008,80289,117700,41280,76420
254504,234913,2006-08-01 00:00:00,76579,71886,126613,78883,381117,67321,313796,1034381,25588,-23309,48897,76579,4693,71886,126613,47730,78883
241408,252706,2006-08-08 00:00:00,82323,75245,127456,73411,368864,42747,326117,1098973,28434,-6942,35376,82323,7078,75245,127456,54045,73411
252667,248748,2006-08-15 00:00:00,75511,92413,111607,72418,364274,43108,321166,1115917,26194,-11380,37574,75511,-16902,92413,111607,39189,72418
251038,254141,2006-08-22 00:00:00,76803,78202,132836,84147,383874,45586,338288,1156404,26400,-10726,37126,76803,-1399,78202,132836,48689,84147
229567,246846,2006-08-29 00:00:00,75642,77595,143715,75824,373282,50612,322670,1031591,21994,-13517,35511,75642,-1953,77595,143715,67891,75824
221861,253472,2006-09-05 00:00:00,67182,62197,146876,87655,368737,27610,341127,993017,25320,-7576,32896,67182,4985,62197,146876,59221,87655
231077,256974,2006-09-12 00:00:00,53362,63006,145750,83202,376827,36651,340176,980088,22621,-14156,36777,53362,-9644,63006,145750,62548,83202
231200,271409,2006-09-19 00:00:00,52424,51392,140366,90004,371566,10153,361413,965665,25672,-2570,28242,52424,1032,51392,140366,50362,90004
243493,291004,2006-09-26 00:00:00,65438,59089,155299,83689,398792,24099,374693,1032023,18937,-9500,28437,65438,6349,59089,155299,71610,83689
244917,281617,2006-10-03 00:00:00,57585,79650,149840,80795,394757,32345,362412,1048389,23154,-6553,29707,57585,-22065,79650,149840,69045,80795
249060,243055,2006-10-10 00:00:00,39650,65561,118963,93210,368023,31758,336265,988313,25317,-1274,26591,39650,-25911,65561,118963,25753,93210
264918,255993,2006-10-17 00:00:00,64125,47641,99773,92870,364691,15828,348863,985213,22447,-10875,33322,64125,16484,47641,99773,6903,92870
260536,246790,2006-10-24 00:00:00,86635,36051,75842,99437,336378,-9849,346227,989023,20492,-11370,31862,86635,50584,36051,75842,-23595,99437
272717,296401,2006-10-31 00:00:00,93850,54246,109415,77249,382132,8482,373650,1028414,23133,-17635,40768,93850,39604,54246,109415,32166,77249
273099,292715,2006-11-07 00:00:00,79820,62553,111567,94470,384666,-2519,387185,1049849,24201,-12608,36809,79820,17267,62553,111567,17097,94470
274671,320680,2006-11-14 00:00:00,86829,64869,125655,89932,400326,-10286,410612,1122018,29745,-19120,48865,86829,21960,64869,125655,35723,89932
268818,266766,2006-11-21 00:00:00,82596,63954,137133,134978,405951,4207,401744,901882,39152,-11759,50911,82596,18642,63954,137133,2155,134978
274709,331914,2006-11-28 00:00:00,82483,75579,131776,90156,406485,-15585,422070,1057368,35904,-10122,46026,82483,6904,75579,131776,41620,90156
303444,335439,2006-12-05 00:00:00,74088,81970,142197,103687,445641,6515,439126,1049628,34505,-3199,37704,74088,-7882,81970,142197,38510,103687
311112,337865,2006-12-12 00:00:00,65510,69166,142622,103673,453734,12196,441538,1037914,31493,-7598,39091,65510,-3656,69166,142622,38949,103673
314019,323922,2006-12-19 00:00:00,80365,44745,103450,110025,417469,-16478,433947,968569,25224,-12141,37365,80365,35620,44745,103450,-6575,110025
322935,325877,2006-12-26 00:00:00,89040,41245,87603,104054,410538,-19393,429931,907149,25210,-13796,39006,89040,47795,41245,87603,-16451,104054
337387,319570,2007-01-03 00:00:00,96647,47124,77917,101036,415304,-5302,420606,936608,28390,-8890,37280,96647,49523,47124,77917,-23119,101036
324991,333114,2007-01-09 00:00:00,97156,47140,93593,84893,418584,577,418007,945487,27794,-11073,38867,97156,50016,47140,93593,8700,84893
339812,316898,2007-01-16 00:00:00,107487,44460,84869,105665,424681,2118,422563,977935,25318,-14627,39945,107487,63027,44460,84869,-20796,105665
344763,317765,2007-01-23 00:00:00,114715,40671,98641,134012,443404,-8373,451777,1032373,27972,-4795,32767,114715,74044,40671,98641,-35371,134012
345838,322685,2007-01-30 00:00:00,124880,63022,116838,141729,462676,-1738,464414,1095029,29919,-2858,32777,124880,61858,63022,116838,-24891,141729
329687,339974,2007-02-06 00:00:00,116950,48869,144784,123795,474471,10702,463769,1105736,18047,-15097,33144,116950,68081,48869,144784,20989,123795
333520,334779,2007-02-13 00:00:00,112888,53712,133837,120257,467357,12321,455036,1119691,20201,-14543,34744,112888,59176,53712,133837,13580,120257
331654,350329,2007-02-20 00:00:00,111255,65404,140316,110777,471970,10864,461106,1105647,17671,-15738,33409,111255,45851,65404,140316,29539,110777
331585,341553,2007-02-27 00:00:00,86048,68952,149590,86014,481175,53608,427567,1132953,14648,-31241,45889,86048,17096,68952,149590,63576,86014
317971,350975,2007-03-06 00:00:00,90884,68752,149008,81360,466979,34644,432335,1119912,15648,-32362,48010,90884,22132,68752,149008,67648,81360
286994,349989,2007-03-13 00:00:00,91684,62495,162432,77475,449426,21962,427464,1077627,15014,-30581,45595,91684,29189,62495,162432,84957,77475
263821,326124,2007-03-20 00:00:00,87628,55021,155643,88561,419464,4779,414685,1047141,17902,-20368,38270,87628,32607,55021,155643,67082,88561
269175,304891,2007-03-27 00:00:00,118407,50897,120744,81668,389919,3360,386559,973124,15757,-26568,42325,118407,67510,50897,120744,39076,81668
293170,288315,2007-04-03 00:00:00,127680,52242,89711,97065,382881,-2499,385380,994415,14130,-26464,40594,127680,75438,52242,89711,-7354,97065
364435,268498,2007-04-10 00:00:00,122339,75559,79633,124123,444068,51447,392621,1047586,12784,-24462,37246,122339,46780,75559,79633,-44490,124123
373652,260301,2007-04-17 00:00:00,121567,63257,74082,143281,447734,44152,403582,1050699,8823,-30236,39059,121567,58310,63257,74082,-69199,143281
375161,262233,2007-04-24 00:00:00,75969,65698,74128,120857,449289,66199,383090,1000527,8945,-32295,41240,75969,10271,65698,74128,-46729,120857
398789,256114,2007-05-01 00:00:00,71806,70733,77685,135062,476474,85298,391176,1038680,8723,-35795,44518,71806,1073,70733,77685,-57377,135062
386786,284538,2007-05-08 00:00:00,63718,68092,100818,123552,487604,79514,408090,1028828,9166,-29313,38479,63718,-4374,68092,100818,-22734,123552
391806,278928,2007-05-15 00:00:00,74855,56914,90709,149779,482515,53808,428707,1068840,11274,-29489,40763,74855,17941,56914,90709,-59070,149779
388309,280333,2007-05-22 00:00:00,109473,41602,92482,179077,480791,21381,459410,1157294,6588,-30118,36706,109473,67871,41602,92482,-86595,179077
386057,260699,2007-05-29 00:00:00,126605,36163,86969,196796,473026,15531,457495,1132816,9149,-27708,36857,126605,90442,36163,86969,-109827,196796
390258,288768,2007-06-05 00:00:00,125649,30033,112435,219074,502693,-5149,507842,1056235,9162,-34430,43592,125649,95616,30033,112435,-106639,219074
419522,306087,2007-06-12 00:00:00,122469,83751,140975,207317,560497,47093,513404,1203576,20830,-30682,51512,122469,38718,83751,140975,-66342,207317
439973,342398,2007-06-19 00:00:00,136921,79481,142709,211901,582682,28383,554299,1213521,16814,-34680,51494,136921,57440,79481,142709,-69192,211901
431070,337072,2007-06-26 00:00:00,149330,89836,138079,206466,569149,25611,543538,1165991,20286,-29356,49642,149330,59494,89836,138079,-68387,206466
427542,373676,2007-07-03 00:00:00,167433,65986,140290,191655,567832,2501,565331,1160183,20108,-16732,36840,167433,101447,65986,140290,-51365,191655
396288,401935,2007-07-10 00:00:00,163283,42199,144676,184036,540964,-45007,585971,1174365,22577,-13332,35909,163283,121084,42199,144676,-39360,184036
356603,405444,2007-07-17 00:00:00,185556,36816,152219,170092,508822,-66714,575536,1156532,18231,-21441,39672,185556,148740,36816,152219,-17873,170092
336157,447461,2007-07-24 00:00:00,202277,35436,170055,146678,506212,-87927,594139,1169847,15809,-37807,53616,202277,166841,35436,170055,23377,146678
354832,439206,2007-07-31 00:00:00,168075,64588,184879,119925,539711,-19420,559131,1188367,16365,-43968,60333,168075,103487,64588,184879,64954,119925
332825,441939,2007-08-07 00:00:00,192736,40172,191489,149192,524314,-66817,591131,1203146,18479,-45951,64430,192736,152564,40172,191489,42297,149192
345264,439826,2007-08-14 00:00:00,164277,40561,179314,171368,524578,-86616,611194,1189460,26275,-24219,50494,164277,123716,40561,179314,7946,171368
342091,447568,2007-08-21 00:00:00,115452,40507,200942,138434,543033,-42969,586002,1190824,27922,-14225,42147,115452,74945,40507,200942,62508,138434
338513,417880,2007-08-28 00:00:00,91592,43805,190081,119882,528594,-9168,537762,1107149,24575,-9304,33879,91592,47787,43805,190081,70199,119882
317610,402277,2007-09-04 00:00:00,93719,30582,198992,137368,516602,-23043,539645,1069263,18437,-15622,34059,93719,63137,30582,198992,61624,137368
324351,381746,2007-09-11 00:00:00,75670,36682,195278,123809,519629,14074,505555,1098602,20994,-25359,46353,75670,38988,36682,195278,71469,123809
300173,386369,2007-09-18 00:00:00,72224,42900,181131,105967,481304,-11032,492336,1069266,23575,-9273,32848,72224,29324,42900,181131,75164,105967
296726,375750,2007-09-25 00:00:00,69853,15087,164835,99352,461561,-13541,475102,1029391,23063,-6989,30052,69853,54766,15087,164835,65483,99352
