am_long,am_short,date,dealer_long,dealer_short,lev_long,lev_short,mm_long,mm_net,mm_short,oi,other_long,other_net,other_short,pm_long,pm_net,pm_short,sd_long,sd_net,sd_short
5069,6759,2006-06-13 00:00:00,21963,67643,45106,15024,50175,28392,21783,139868,1904,-824,2728,21963,-45680,67643,45106,30082,15024
6204,6757,2006-06-20 00:00:00,20275,58190,35653,14228,41857,20872,20985,134567,2146,-968,3114,20275,-37915,58190,35653,21425,14228
6073,6759,2006-06-27 00:00:00,10147,52349,36412,12309,42485,23417,19068,102529,2266,-1345,3611,10147,-42202,52349,36412,24103,12309
6355,6771,2006-07-03 00:00:00,10762,55482,39695,13193,46050,26086,19964,106765,2195,-1069,3264,10762,-44720,55482,39695,26502,13193
5743,6293,2006-07-11 00:00:00,9681,43451,35328,20335,41071,14443,26628,104679,3860,-1121,4981,9681,-33770,43451,35328,14993,20335
5300,6294,2006-07-18 00:00:00,12760,42489,26177,10905,31477,14278,17199,95853,4307,-539,4846,12760,-29729,42489,26177,15272,10905
5136,6304,2006-07-25 00:00:00,17967,37296,28344,24003,33480,3173,30307,104708,3374,-1724,5098,17967,-19329,37296,28344,4341,24003
5204,6318,2006-08-01 00:00:00,20809,34911,19358,20941,24562,-2697,27259,97735,3502,-1162,4664,20809,-14102,34911,19358,-1583,20941
4693,6316,2006-08-08 00:00:00,14238,43598,21214,10871,25907,8720,17187,92511,3699,-599,4298,14238,-29360,43598,21214,10343,10871
4477,6316,2006-08-15 00:00:00,15239,41610,27717,13751,32194,12127,20067,96555,3836,-535,4371,15239,-26371,41610,27717,13966,13751
4510,6549,2006-08-22 00:00:00,15363,43087,26381,10016,30891,14326,16565,95238,2231,-2894,5125,15363,-27724,43087,26381,16365,10016
4861,7870,2006-08-29 00:00:00,15787,58920,44844,14697,49705,27138,22567,114350,2533,483,2050,15787,-43133,58920,44844,30147,14697
4960,7674,2006-09-05 00:00:00,17820,58431,46118,20192,51078,23212,27866,119906,3221,803,2418,17820,-40611,58431,46118,25926,20192
4907,8123,2006-09-12 00:00:00,26254,57901,37153,19991,42060,13946,28114,143557,4185,1866,2319,26254,-31647,57901,37153,17162,19991
4406,8115,2006-09-19 00:00:00,39390,51061,43809,37731,48215,2369,45846,144896,4392,2491,1901,39390,-11671,51061,43809,6078,37731
