am_long,am_short,date,dealer_long,dealer_short,lev_long,lev_short,mm_long,mm_net,mm_short,oi,other_long,other_net,other_short,pm_long,pm_net,pm_short,sd_long,sd_net,sd_short
29129,4178,2006-06-13 00:00:00,64903,112543,60808,49779,89937,35980,53957,292367,5863,5296,567,64903,-47640,112543,60808,11029,49779
24846,4252,2006-06-20 00:00:00,31216,64072,51264,49286,76110,22572,53538,210140,5385,5179,206,31216,-32856,64072,51264,1978,49286
27162,4939,2006-06-27 00:00:00,40959,61554,50156,58928,77318,13451,63867,223924,6124,4505,1619,40959,-20595,61554,50156,-8772,58928
27030,4169,2006-07-03 00:00:00,35420,70716,50587,49401,77617,24047,53570,219635,6491,4810,1681,35420,-35296,70716,50587,1186,49401
28754,1838,2006-07-11 00:00:00,33684,80176,52338,48973,81092,30281,50811,222175,7107,6101,1006,33684,-46492,80176,52338,3365,48973
30433,2421,2006-07-18 00:00:00,53555,47530,55502,93067,85935,-9553,95488,253725,6961,3386,3575,53555,6025,47530,55502,-37565,93067
29100,2610,2006-07-25 00:00:00,62903,47186,53030,98146,82130,-18626,100756,259161,6358,2407,3951,62903,15717,47186,53030,-45116,98146
28019,2611,2006-08-01 00:00:00,43458,71609,59651,65393,87670,19666,68004,246090,7210,4212,2998,43458,-28151,71609,59651,-5742,65393
30656,2363,2006-08-08 00:00:00,42915,73272,60239,71432,90895,17100,73795,247575,7124,5576,1548,42915,-30357,73272,60239,-11193,71432
33068,2377,2006-08-15 00:00:00,48063,64824,65005,89100,98073,6596,91477,265945,8135,6793,1342,48063,-16761,64824,65005,-24095,89100
32770,2569,2006-08-22 00:00:00,61659,61062,63586,100769,96356,-6982,103338,277702,7505,4719,2786,61659,597,61062,63586,-37183,100769
34058,3522,2006-08-29 00:00:00,74318,55573,62881,118540,96939,-25123,122062,295624,7490,5425,2065,74318,18745,55573,62881,-55659,118540
33755,4164,2006-09-05 00:00:00,60381,57116,59321,100512,93076,-11600,104676,279878,9099,6613,2486,60381,3265,57116,59321,-41191,100512
36217,6224,2006-09-12 00:00:00,87821,49720,73700,129773,109917,-26080,135997,315971,7286,4349,2937,87821,38101,49720,73700,-56073,129773
35135,6848,2006-09-19 00:00:00,86580,43929,52200,124622,87335,-44135,131470,267109,8285,4772,3513,86580,42651,43929,52200,-72422,124622
34325,6168,2006-09-26 00:00:00,92549,43267,49435,130173,83760,-52581,136341,263902,9603,7349,2254,92549,49282,43267,49435,-80738,130173
34308,6241,2006-10-03 00:00:00,108387,44724,53199,148978,87507,-67712,155219,287400,8761,5059,3702,108387,63663,44724,53199,-95779,148978
35054,6933,2006-10-10 00:00:00,126176,42473,58050,171508,93104,-85337,178441,307940,8542,6197,2345,126176,83703,42473,58050,-113458,171508
35731,6975,2006-10-17 00:00:00,120688,46928,54940,162274,90671,-78578,169249,303057,9898,6253,3645,120688,73760,46928,54940,-107334,162274
37011,6876,2006-10-24 00:00:00,132620,48341,61907,182008,98918,-89966,188884,326283,8687,5454,3233,132620,84279,48341,61907,-120101,182008
34728,5849,2006-10-31 00:00:00,76129,73305,58164,109131,92892,-22088,114980,273844,10795,9267,1528,76129,2824,73305,58164,-50967,109131
35598,5906,2006-11-07 00:00:00,70582,69547,62066,110048,97664,-18290,115954,272379,8954,7467,1487,70582,1035,69547,62066,-47982,110048
34516,5988,2006-11-14 00:00:00,70457,73102,61319,106786,95835,-16939,112774,277296,9812,7914,1898,70457,-2645,73102,61319,-45467,106786
34398,6148,2006-11-21 00:00:00,85969,72119,69197,126660,103595,-29213,132808,303220,9546,8250,1296,85969,13850,72119,69197,-57463,126660
32532,5483,2006-11-28 00:00:00,68219,96295,68727,92062,101259,3714,97545,299794,9415,7786,1629,68219,-28076,96295,68727,-23335,92062
