am_long,am_short,date,dealer_long,dealer_short,lev_long,lev_short,mm_long,mm_net,mm_short,oi,other_long,other_net,other_short,pm_long,pm_net,pm_short,sd_long,sd_net,sd_short
18000,0,2006-08-29 00:00:00,858,28584,17104,9928,35104,25176,9928,43376,0,-1535,1535,858,-27726,28584,17104,7176,9928
17150,0,2006-09-05 00:00:00,2274,29717,17252,9966,34402,24436,9966,45702,0,-1535,1535,2274,-27443,29717,17252,7286,9966
18202,0,2006-09-12 00:00:00,2474,30403,17228,9784,35430,25646,9784,46956,0,-1286,1286,2474,-27929,30403,17228,7444,9784
18504,0,2006-09-19 00:00:00,2539,31064,17767,10223,36271,26048,10223,49654,0,-1444,1444,2539,-28525,31064,17767,7544,10223
23555,0,2006-09-26 00:00:00,2447,34048,17042,11300,40597,29297,11300,53755,0,-1543,1543,2447,-31601,34048,17042,5742,11300
23700,0,2006-10-03 00:00:00,2442,34404,17811,11764,41511,29747,11764,55929,222,-1440,1662,2442,-31962,34404,17811,6047,11764
19800,0,2006-10-10 00:00:00,2503,31891,17665,11495,37465,25970,11495,57977,387,-1144,1531,2503,-29388,31891,17665,6170,11495
17674,0,2006-10-17 00:00:00,2581,30315,17233,10697,34907,24210,10697,54409,387,-1402,1789,2581,-27734,30315,17233,6536,10697
17900,0,2006-10-24 00:00:00,2601,29650,17472,10813,35372,24559,10813,50271,24,-1738,1762,2601,-27049,29650,17472,6659,10813
11788,0,2006-10-31 00:00:00,2726,26486,18806,9324,30594,21270,9324,47115,85,-1699,1784,2726,-23760,26486,18806,9482,9324
6767,0,2006-11-07 00:00:00,2654,25499,20050,9040,26817,17777,9040,45390,74,-1791,1865,2654,-22845,25499,20050,11010,9040
7910,0,2006-11-14 00:00:00,2914,25112,21290,10503,29200,18697,10503,49627,0,-1584,1584,2914,-22198,25112,21290,10787,10503
7300,0,2006-11-21 00:00:00,2225,14767,16462,12289,23762,11473,12289,34767,0,-1939,1939,2225,-12542,14767,16462,4173,12289
7300,0,2006-11-28 00:00:00,2275,15873,16610,12584,23910,11326,12584,37441,0,-1754,1754,2275,-13598,15873,16610,4026,12584
7108,0,2006-12-05 00:00:00,2234,16398,17027,13275,24135,10860,13275,39246,0,-1665,1665,2234,-14164,16398,17027,3752,13275
6031,0,2006-12-12 00:00:00,2055,17198,17906,12981,23937,10956,12981,40895,0,-1323,1323,2055,-15143,17198,17906,4925,12981
1807,0,2006-12-19 00:00:00,1257,14499,19254,10848,21061,10213,10848,36684,0,-988,988,1257,-13242,14499,19254,8406,10848
1161,0,2007-01-03 00:00:00,1957,15189,18752,10559,19913,9354,10559,34191,0,-918,918,1957,-13232,15189,18752,8193,10559
1313,0,2007-01-09 00:00:00,1771,15555,19307,10589,20620,10031,10589,34130,0,-883,883,1771,-13784,15555,19307,8718,10589
1398,0,2007-01-16 00:00:00,1416,16345,18909,10212,20307,10095,10212,38528,1452,242,1210,1416,-14929,16345,18909,8697,10212
1700,0,2007-01-23 00:00:00,1454,15646,18177,9540,19877,10337,9540,35584,1523,329,1194,1454,-14192,15646,18177,8637,9540
1700,0,2007-01-30 00:00:00,1431,14758,18541,8855,20241,11386,8855,34944,1438,267,1171,1431,-13327,14758,18541,9686,8855
1957,0,2007-02-06 00:00:00,2446,17704,19663,9672,21620,11948,9672,39150,1407,-124,1531,2446,-15258,17704,19663,9991,9672
1328,0,2007-02-13 00:00:00,1397,18132,21600,8523,22928,14405,8523,39866,254,-675,929,1397,-16735,18132,21600,13077,8523
1784,0,2007-02-20 00:00:00,1150,15692,18839,8206,20623,12417,8206,32486,517,-482,999,1150,-14542,15692,18839,10633,8206
1984,150,2007-02-27 00:00:00,768,16532,19432,7900,21416,13366,8050,36116,217,-528,745,768,-15764,16532,19432,11532,7900
1399,0,2007-03-06 00:00:00,612,17653,19102,5416,20501,15085,5416,38748,179,-320,499,612,-17041,17653,19102,13686,5416
1520,0,2007-03-13 00:00:00,837,18513,19821,5976,21341,15365,5976,37055,290,48,242,837,-17676,18513,19821,13845,5976
8975,0,2007-03-20 00:00:00,864,22942,19702,8956,28677,19721,8956,45055,241,6,235,864,-22078,22942,19702,10746,8956
9005,0,2007-03-27 00:00:00,801,21490,19536,9973,28541,18568,9973,41374,282,-165,447,801,-20689,21490,19536,9563,9973
9005,0,2007-04-03 00:00:00,740,22332,19387,9685,28392,18707,9685,42319,226,-87,313,740,-21592,22332,19387,9702,9685
8605,0,2007-04-10 00:00:00,358,20513,19078,10182,27683,17501,10182,45726,210,-107,317,358,-20155,20513,19078,8896,10182
2015,0,2007-04-17 00:00:00,1066,15469,19520,9827,21535,11708,9827,46313,210,-150,360,1066,-14403,15469,19520,9693,9827
1845,0,2007-04-24 00:00:00,200,14482,19385,9858,21230,11372,9858,37795,223,-480,703,200,-14282,14482,19385,9527,9858
1897,0,2007-05-01 00:00:00,1077,15507,19729,10646,21626,10980,10646,41002,445,-395,840,1077,-14430,15507,19729,9083,10646
1915,0,2007-05-08 00:00:00,1291,16559,19839,10998,21754,10756,10998,48453,1664,837,827,1291,-15268,16559,19839,8841,10998
2079,0,2007-05-15 00:00:00,2046,18157,19944,11201,22023,10822,11201,55705,2345,1560,785,2046,-16111,18157,19944,8743,11201
1850,0,2007-05-22 00:00:00,2044,16025,18141,11561,19991,8430,11561,51613,2288,1436,852,2044,-13981,16025,18141,6580,11561
1885,0,2007-05-29 00:00:00,2307,17666,19682,11345,21567,10222,11345,42577,2233,1432,801,2307,-15359,17666,19682,8337,11345
1867,0,2007-06-05 00:00:00,2497,19593,22297,11869,24164,12295,11869,42818,2211,1528,683,2497,-17096,19593,22297,10428,11869
1745,0,2007-06-12 00:00:00,2269,20112,24478,13309,26223,12914,13309,48002,1923,1417,506,2269,-17843,20112,24478,11169,13309
2921,0,2007-06-19 00:00:00,2167,20056,23478,12666,26399,13733,12666,49534,1933,1439,494,2167,-17889,20056,23478,10812,12666
1961,0,2007-06-26 00:00:00,1196,18653,23623,12231,25584,13353,12231,49542,969,766,203,1196,-17457,18653,23623,11392,12231
1961,0,2007-07-03 00:00:00,1665,17641,25070,14160,27031,12871,14160,49924,833,654,179,1665,-15976,17641,25070,10910,14160
2066,0,2007-07-10 00:00:00,1887,17837,26436,15466,28502,13036,15466,55619,532,363,169,1887,-15950,17837,26436,10970,15466
2297,0,2007-07-17 00:00:00,5608,20110,27416,17345,29713,12368,17345,61073,898,584,314,5608,-14502,20110,27416,10071,17345
1937,0,2007-07-24 00:00:00,1887,20511,32729,18133,34666,16533,18133,63478,906,503,403,1887,-18624,20511,32729,14596,18133
1925,226,2007-07-31 00:00:00,5721,20809,32787,19887,34712,14599,20113,70351,738,132,606,5721,-15088,20809,32787,12900,19887
1933,226,2007-08-07 00:00:00,15154,27557,30807,18378,32740,14136,18604,81959,477,-30,507,15154,-12403,27557,30807,12429,18378
1450,0,2007-08-14 00:00:00,16743,29337,32573,18604,34023,15419,18604,84569,478,-386,864,16743,-12594,29337,32573,13969,18604
869,0,2007-08-21 00:00:00,10702,28745,37186,18487,38055,19568,18487,84509,493,-268,761,10702,-18043,28745,37186,18699,18487
791,0,2007-08-28 00:00:00,4044,20284,30253,15195,31044,15849,15195,62933,488,-538,1026,4044,-16240,20284,30253,15058,15195
1029,0,2007-09-04 00:00:00,5947,21312,30001,15485,31030,15545,15485,64514,688,-365,1053,5947,-15365,21312,30001,14516,15485
1029,0,2007-09-11 00:00:00,7177,21861,30760,16484,31789,15305,16484,69634,706,-572,1278,7177,-14684,21861,30760,14276,16484
1029,0,2007-09-18 00:00:00,6930,23079,30604,14244,31633,17389,14244,71878,716,-1022,1738,6930,-16149,23079,30604,16360,14244
1023,0,2007-09-25 00:00:00,7758,30276,32781,13028,33804,20776,13028,68704,1024,18,1006,7758,-22518,30276,32781,19753,13028
