date,mm_long,mm_net,mm_short,oi,other_long,other_net,other_short,pm_long,pm_net,pm_short,sd_long,sd_net,sd_short
2006-06-13 00:00:00,73239,29046,44193,574241,15481,-4302,19783,76568,-182885,259453,193887,189217,4670
2006-06-20 00:00:00,59513,16445,43068,555313,13056,-3552,16608,83235,-169189,252424,187623,184285,3338
2006-06-27 00:00:00,56292,12292,44000,512823,14692,-2874,17566,72445,-161775,234220,184566,181696,2870
2006-07-03 00:00:00,57993,8516,49477,512860,14234,-4658,18892,71326,-160008,231334,186810,184129,2681
2006-07-11 00:00:00,64797,19870,44927,527642,14702,-5355,20057,74654,-173999,248653,189816,186386,3430
2006-07-18 00:00:00,69219,28927,40292,530072,13410,-9597,23007,76384,-177898,254282,189074,184717,4357
2006-07-25 00:00:00,69905,31636,38269,536928,13760,-7813,21573,79254,-178415,257669,187667,182263,5404
2006-08-01 00:00:00,64911,22970,41941,540095,14260,-8911,23171,77168,-168471,245639,189132,184148,4984
2006-08-08 00:00:00,65863,22770,43093,525146,15137,-8261,23398,74834,-165872,240706,187981,180174,7807
2006-08-15 00:00:00,59180,9312,49868,514412,15046,-5864,20910,78672,-149643,228315,183090,176884,6206
2006-08-22 00:00:00,49534,-14590,64124,512816,16758,-1233,17991,83778,-130537,214315,182711,177423,5288
2006-08-29 00:00:00,52349,-8210,60559,495137,13531,-4440,17971,83518,-126852,210370,178216,173631,4585
2006-09-05 00:00:00,50866,5372,45494,500500,12116,-4295,16411,75632,-143990,219622,180312,173962,6350
2006-09-12 00:00:00,54690,4822,49868,500192,9604,-5569,15173,73656,-141156,214812,179154,172639,6515
2006-09-19 00:00:00,49400,-2735,52135,507320,9080,-6600,15680,78678,-133197,211875,178510,172143,6367
2006-09-26 00:00:00,53315,5449,47866,524294,9708,-5995,15703,82427,-139412,221839,175959,170573,5386
2006-10-03 00:00:00,68935,27974,40961,571645,10956,-5230,16186,88914,-163716,252630,181629,174101,7528
2006-10-10 00:00:00,77293,42028,35265,585610,8170,-6916,15086,89518,-180500,270018,185136,177565,7571
2006-10-17 00:00:00,80174,47548,32626,612748,8651,-6213,14864,91100,-183332,274432,183295,170184,13111
2006-10-24 00:00:00,77745,45823,31922,601882,13315,-294,13609,90572,-184869,275441,181478,166889,14589
2006-10-31 00:00:00,74103,42503,31600,566127,9318,-4480,13798,83226,-175682,258908,179779,163974,15805
2006-11-07 00:00:00,71438,41696,29742,569489,10324,-3948,14272,79698,-178414,258112,181563,166008,15555
2006-11-14 00:00:00,66407,36423,29984,539737,12525,-549,13074,73265,-173952,247217,180247,163853,16394
2006-11-21 00:00:00,64362,32017,32345,479959,10773,-3456,14229,62198,-171198,233396,180300,164901,15399
2006-11-28 00:00:00,64664,30854,33810,479316,11687,-1759,13446,61106,-174141,235247,178463,166305,12158
2006-12-05 00:00:00,67188,35457,31731,488917,14752,632,14120,59732,-183270,243002,180902,169816,11086
2006-12-12 00:00:00,57862,22521,35341,478840,12665,720,11945,65873,-167899,233772,180284,167674,12610
2006-12-19 00:00:00,57535,19533,38002,488929,13160,183,12977,72346,-167873,240219,185294,172270,13024
2006-12-26 00:00:00,61850,28248,33602,509375,13778,83,13695,72992,-177434,250426,187656,175562,12094
2007-01-03 00:00:00,61748,20089,41659,513744,12903,-333,13236,74994,-169550,244544,188043,177217,10826
2007-01-09 00:00:00,55438,11203,44235,526032,13682,-96,13778,81918,-158673,240591,184569,173943,10626
2007-01-16 00:00:00,52993,7657,45336,527089,11256,-1470,12726,90229,-143546,233775,174097,165361,8736
2007-01-23 00:00:00,57272,12969,44303,537962,12127,-177,12304,88200,-148226,236426,173473,164497,8976
2007-01-30 00:00:00,55145,6052,49093,526759,13175,1435,11740,84944,-141446,226390,173024,162937,10087
2007-02-06 00:00:00,55446,3622,51824,532827,14409,1795,12614,85211,-140203,225414,175892,163262,12630
2007-02-13 00:00:00,56739,5896,50843,524970,16874,5409,11465,77094,-144091,221185,175058,158661,16397
2007-02-20 00:00:00,57369,5369,52000,515071,18218,6414,11804,74521,-140173,214694,172262,153113,19149
2007-02-27 00:00:00,72091,22289,49802,492314,14113,1952,12161,63573,-152527,216100,173899,153293,20606
2007-03-06 00:00:00,61373,11902,49471,474051,12561,-1453,14014,65038,-139333,204371,173518,152850,20668
2007-03-13 00:00:00,62287,11498,50789,478199,12170,-1285,13455,65934,-136907,202841,171409,152095,19314
2007-03-20 00:00:00,60320,-1095,61415,484551,12658,-1332,13990,67962,-122651,190613,170962,152469,18493
2007-03-27 00:00:00,63120,-1626,64746,489379,13468,-611,14079,69003,-122107,191110,170984,151615,19369
2007-04-03 00:00:00,54331,-15439,69770,495554,16178,3385,12793,70851,-113932,184783,170509,151800,18709
2007-04-10 00:00:00,59698,-3441,63139,480306,12647,-564,13211,61058,-121027,182085,169306,149570,19736
2007-04-17 00:00:00,62836,13589,49247,469860,12069,515,11554,50381,-135965,186346,165524,146643,18881
2007-04-24 00:00:00,67642,20357,47285,445887,11033,-474,11507,47406,-139750,187156,166719,147151,19568
2007-05-01 00:00:00,71841,20116,51725,452753,11550,-991,12541,49184,-142856,192040,165320,146438,18882
2007-05-08 00:00:00,67589,17016,50573,448225,12234,1087,11147,48629,-142077,190706,166464,147971,18493
2007-05-15 00:00:00,65602,14021,51581,461876,14010,1574,12436,53320,-136904,190224,164876,144868,20008
2007-05-22 00:00:00,59856,6629,53227,445752,13909,-1770,15679,53246,-121598,174844,162067,142383,19684
2007-05-29 00:00:00,61980,12142,49838,451853,14216,-1223,15439,52516,-125205,177721,161050,140597,20453
2007-06-05 00:00:00,76637,31311,45326,494312,15675,-1007,16682,48023,-144099,192122,160506,138728,21778
2007-06-12 00:00:00,83536,42059,41477,503339,13619,-2885,16504,51401,-148068,199469,159349,135439,23910
2007-06-19 00:00:00,92325,51409,40916,528433,11664,-5124,16788,54246,-156446,210692,160578,136892,23686
2007-06-26 00:00:00,96953,55889,41064,495176,12691,-4967,17658,45595,-164364,209959,161684,140602,21082
2007-07-03 00:00:00,87923,43024,44899,466463,9793,-11835,21628,44058,-145796,189854,162380,140072,22308
2007-07-10 00:00:00,89533,44792,44741,482873,9910,-12090,22000,44532,-149482,194014,164432,142084,22348
2007-07-17 00:00:00,91807,42865,48942,499203,10279,-14580,24859,43046,-150221,193267,169695,149848,19847
2007-07-24 00:00:00,91120,41955,49165,524336,10649,-13918,24567,47499,-151347,198846,171660,151243,20417
2007-07-31 00:00:00,92707,41318,51389,525529,10773,-13341,24114,48261,-152839,201100,172812,152643,20169
2007-08-07 00:00:00,97108,48530,48578,524539,11504,-15020,26524,47839,-155558,203397,174725,152648,22077
2007-08-14 00:00:00,95237,54909,40328,524094,10504,-17141,27645,48656,-153087,201743,171706,149563,22143
2007-08-21 00:00:00,89330,45902,43428,504474,9167,-19115,28282,45627,-144888,190515,170260,149951,20309
2007-08-28 00:00:00,86936,49153,37783,473334,9913,-15690,25603,34070,-154816,188886,174995,155812,19183
2007-09-04 00:00:00,83923,49715,34208,479068,11932,-15982,27914,38213,-152060,190273,172134,153905,18229
2007-09-11 00:00:00,80388,38918,41470,500032,10838,-16892,27730,45612,-146001,191613,176912,160336,16576
2007-09-18 00:00:00,78935,33672,45263,508987,12455,-12474,24929,44478,-142408,186886,170696,155141,15555
2007-09-25 00:00:00,78344,33841,44503,514428,14920,-8330,23250,44321,-143941,188262,170412,155279,15133
2007-10-02 00:00:00,78001,29841,48160,533578,11855,-10158,22013,41988,-140926,182914,173113,154963,18150
2007-10-09 00:00:00,74676,27949,46727,536739,11638,-12473,24111,47410,-131630,179040,170054,150165,19889
2007-10-16 00:00:00,72378,25961,46417,538132,11766,-10183,21949,49276,-129065,178341,170000,150552,19448
2007-10-23 00:00:00,71025,23680,47345,551037,16923,-6610,23533,49070,-129365,178435,173084,153402,19682
2007-10-30 00:00:00,72240,26708,45532,558330,13165,-12049,25214,48857,-130106,178963,169198,150412,18786
2007-11-06 00:00:00,71948,24440,47508,562246,13720,-12702,26422,46235,-131274,177509,171976,154650,17326
2007-11-13 00:00:00,68754,19972,48782,565082,16050,-11480,27530,54936,-124264,179200,169333,152102,17231
2007-11-20 00:00:00,69454,19531,49923,474922,13321,-12700,26021,36180,-126194,162374,169133,153748,15385
2007-11-27 00:00:00,70145,22995,47150,485252,16927,-8580,25507,35898,-145269,181167,176436,161285,15151
2007-12-04 00:00:00,75367,24486,50881,503958,16422,-10102,26524,36331,-149676,186007,179708,164088,15620
2007-12-11 00:00:00,78083,22765,55318,529374,18961,-10249,29210,40562,-156682,197244,183160,170870,12290
2007-12-18 00:00:00,76396,27146,49250,543158,15049,-14516,29565,45849,-157538,203387,184291,170918,13373
2007-12-24 00:00:00,76965,27282,49683,540934,14750,-14181,28931,44790,-161580,206370,185631,176960,8671
2007-12-31 00:00:00,73522,26538,46984,540679,17833,-10614,28447,46958,-160024,206982,182520,167799,14721
2008-01-08 00:00:00,74332,25403,48929,564118,20659,-6563,27222,48619,-162546,211165,181344,166961,14383
