date,mm_long,mm_net,mm_short,oi,other_long,other_net,other_short,pm_long,pm_net,pm_short,sd_long,sd_net,sd_short
2006-06-13 00:00:00,37379,35652,1727,172259,19224,16934,2290,27042,-73292,100334,22652,22652,0
2006-06-20 00:00:00,35791,34072,1719,174329,18799,15765,3034,32958,-71014,103972,22379,22379,0
2006-06-27 00:00:00,41290,39436,1854,172699,22883,20187,2696,29511,-81360,110871,20909,20909,0
2006-07-03 00:00:00,45485,43776,1709,180404,24252,20997,3255,27954,-89100,117054,21494,21494,0
2006-07-11 00:00:00,50717,48179,2538,192545,24436,22213,2223,32481,-93346,125827,22135,22135,0
2006-07-18 00:00:00,43193,38257,4936,187257,22985,21117,1868,34761,-83447,118208,22047,22047,0
2006-07-25 00:00:00,42180,36132,6048,187825,23039,20951,2088,35140,-80988,116128,22091,22091,0
2006-08-01 00:00:00,40659,34200,6459,191678,22544,20151,2393,33028,-78851,111879,22326,22326,0
2006-08-08 00:00:00,38561,32580,5981,190246,18505,16116,2389,33550,-73768,107318,21731,21731,0
2006-08-15 00:00:00,34623,25723,8900,183471,16924,14440,2484,34723,-61530,96253,21748,21748,0
2006-08-22 00:00:00,34039,24663,9376,189736,15437,13184,2253,35487,-59699,95186,21508,21508,0
2006-08-29 00:00:00,33611,26047,7564,174937,17028,14886,2142,34038,-60632,94670,21593,21372,221
2006-09-05 00:00:00,35100,26605,8495,177442,14722,12357,2365,34587,-59865,94452,22939,22760,179
2006-09-12 00:00:00,36087,27124,8963,175850,12486,10091,2395,33877,-58470,92347,23880,23880,0
2006-09-19 00:00:00,36027,29178,6849,174918,13251,11104,2147,31657,-60851,92508,24074,24074,0
2006-09-26 00:00:00,35328,27032,8296,171598,14605,12351,2254,29871,-59104,88975,23892,23892,0
2006-10-03 00:00:00,37762,30043,7719,175594,13536,11307,2229,27554,-61751,89305,25610,25610,0
2006-10-10 00:00:00,35389,28721,6668,171191,13590,11625,1965,26292,-59479,85771,26752,26752,0
2006-10-17 00:00:00,30171,24500,5671,157557,13998,12092,1906,28058,-53748,81806,27316,27316,0
2006-10-24 00:00:00,30841,27372,3469,155780,13928,11243,2685,27774,-56833,84607,29163,29163,0
2006-10-31 00:00:00,30328,25498,4830,151466,12765,10111,2654,26932,-54601,81533,30238,30238,0
2006-11-07 00:00:00,29605,25821,3784,152166,13553,10843,2710,23962,-56984,80946,30413,30413,0
2006-11-14 00:00:00,25913,22234,3679,143020,11819,8882,2937,20913,-54399,75312,30366,30366,0
2006-11-21 00:00:00,26429,22466,3963,140819,15026,13077,1949,18290,-58389,76679,29810,29810,0
2006-11-28 00:00:00,28871,24888,3983,126006,13177,11470,1707,16338,-57762,74100,29834,29834,0
2006-12-05 00:00:00,27826,23816,4010,129191,15254,13132,2122,16518,-60517,77035,30141,30141,0
2006-12-12 00:00:00,24881,20424,4457,122690,12886,11273,1613,16698,-52501,69199,29680,29680,0
2006-12-19 00:00:00,23229,18030,5199,122021,12408,10636,1772,17954,-49977,67931,29466,28803,663
2006-12-26 00:00:00,23671,18588,5083,123238,13776,10754,3022,18323,-48683,67006,28822,27694,1128
2007-01-03 00:00:00,24470,17554,6916,127957,12280,9354,2926,20820,-44933,65753,28123,26843,1280
2007-01-09 00:00:00,22121,14104,8017,126909,12105,8830,3275,25575,-37444,63019,27102,25179,1923
2007-01-16 00:00:00,23918,16620,7298,123747,12164,9315,2849,23529,-38886,62415,25319,23368,1951
2007-01-23 00:00:00,25951,18844,7107,126340,12245,9255,2990,23166,-40732,63898,25421,23432,1989
2007-01-30 00:00:00,25084,18213,6871,128163,11833,8051,3782,23926,-39361,63287,25436,23597,1839
2007-02-06 00:00:00,25190,18236,6954,130984,11669,7626,4043,25774,-40421,66195,26372,24933,1439
2007-02-13 00:00:00,25387,18293,7094,129482,10827,6770,4057,25746,-40512,66258,26232,24840,1392
2007-02-20 00:00:00,28002,20899,7103,127469,11267,6921,4346,22651,-44361,67012,26231,26231,0
2007-02-27 00:00:00,30563,24471,6092,127742,12512,8243,4269,21118,-48457,69575,25707,25707,0
2007-03-06 00:00:00,31077,25650,5427,123356,12629,8397,4232,20008,-48997,69005,25629,25629,0
2007-03-13 00:00:00,30180,24341,5839,125126,12186,7795,4391,21200,-46104,67304,25552,25552,0
2007-03-20 00:00:00,30580,22166,8414,130044,13010,8565,4445,25169,-43805,68974,23937,23937,0
2007-03-27 00:00:00,29267,18770,10497,140554,13887,9663,4224,29927,-42262,72189,24103,23942,161
2007-04-03 00:00:00,25888,10912,14976,150836,13350,9596,3754,39554,-34052,73606,22737,22427,310
2007-04-10 00:00:00,24886,10454,14432,149252,14707,11052,3655,35536,-37542,73078,22394,22084,310
2007-04-17 00:00:00,25472,8499,16973,146888,10307,7228,3079,34549,-37499,72048,22684,22237,447
2007-04-24 00:00:00,24842,9277,15565,142543,10565,9032,1533,30894,-40167,71061,28117,27534,583
2007-05-01 00:00:00,23982,5324,18658,137933,10158,8299,1859,33048,-36814,69862,28521,27944,577
2007-05-08 00:00:00,24238,5250,18988,135346,9603,8019,1584,31420,-35883,67303,28508,27991,517
2007-05-15 00:00:00,25057,4729,20328,133904,9952,7080,2872,31195,-32206,63401,28476,27937,539
2007-05-22 00:00:00,21237,2534,18703,137235,10529,8666,1863,32542,-30719,63261,29192,28797,395
2007-05-29 00:00:00,20107,2487,17620,131623,10928,8963,1965,32087,-31349,63436,29785,29372,413
2007-06-05 00:00:00,20172,5561,14611,135820,11633,9254,2379,32798,-34096,66894,29960,29568,392
2007-06-12 00:00:00,26013,16470,9543,141513,11365,9137,2228,28951,-45506,74457,28887,28512,375
2007-06-19 00:00:00,28907,25508,3399,136609,11910,9606,2304,24337,-57050,81387,28097,28097,0
2007-06-26 00:00:00,32607,30643,1964,131656,10955,8525,2430,22667,-63407,86074,29539,29539,0
2007-07-03 00:00:00,36937,32287,4650,136869,11789,9314,2475,21497,-67722,89219,31074,31074,0
2007-07-10 00:00:00,38987,34267,4720,142411,12068,9172,2896,22454,-70975,93429,31104,31104,0
2007-07-17 00:00:00,36388,29557,6831,149689,13615,10034,3581,27841,-71412,99253,32635,32467,168
2007-07-24 00:00:00,38745,32104,6641,158439,14722,10559,4163,31647,-74423,106070,32353,32175,178
2007-07-31 00:00:00,41653,35260,6393,160326,14059,9477,4582,33005,-75700,108705,32981,32856,125
2007-08-07 00:00:00,42492,37955,4537,164662,15153,7186,7967,33384,-75258,108642,32628,32500,128
2007-08-14 00:00:00,41610,38071,3539,169872,16176,7301,8875,36719,-75804,112523,31640,31490,150
2007-08-21 00:00:00,39160,36399,2761,167811,16171,7187,8984,39668,-72923,112591,30922,30779,143
2007-08-28 00:00:00,39765,37024,2741,164558,16119,7387,8732,38674,-76934,115608,33196,33000,196
2007-09-04 00:00:00,38520,35603,2917,151446,15735,6803,8932,38385,-75094,113479,33698,33540,158
2007-09-11 00:00:00,37738,34801,2937,171367,15937,6756,9181,40182,-72870,113052,33404,33389,15
2007-09-18 00:00:00,37701,34517,3184,163436,14016,4242,9774,38616,-67394,106010,32866,32825,41
2007-09-25 00:00:00,37573,34377,3196,161192,12191,2372,9819,39258,-64363,103621,32696,32489,207
2007-10-02 00:00:00,36492,35357,1135,160859,10605,692,9913,39520,-60576,100096,31519,31333,186
2007-10-09 00:00:00,32657,31770,887,153562,10954,1199,9755,34944,-55639,90583,30885,30338,547
2007-10-16 00:00:00,32650,32177,473,151464,10678,3160,7518,34890,-53347,88237,29260,28696,564
2007-10-23 00:00:00,32824,32309,515,156384,10125,2854,7271,37194,-53380,90574,30660,30181,479
2007-10-30 00:00:00,32081,31255,826,158048,10301,3825,6476,39506,-52454,91960,30567,30067,500
2007-11-06 00:00:00,31431,30753,678,160299,10679,4841,5838,38361,-51157,89518,29747,29312,435
2007-11-13 00:00:00,27323,26540,783,149112,10705,5579,5126,39733,-46139,85872,28530,27978,552
2007-11-20 00:00:00,30838,29223,1615,139953,11225,4796,6429,37717,-47907,85624,28750,28032,718
2007-11-27 00:00:00,29185,27630,1555,133917,10422,4577,5845,34727,-48677,83404,28797,28169,628
2007-12-04 00:00:00,32041,31385,656,132535,11085,4394,6691,31792,-52333,84125,28620,27786,834
2007-12-11 00:00:00,34490,33702,788,135701,11399,5276,6123,30828,-56353,87181,28799,28201,598
2007-12-18 00:00:00,33208,32428,780,133883,9663,3605,6058,31858,-52426,84284,28404,28052,352
2007-12-24 00:00:00,32776,31885,891,132810,8804,2847,5957,32448,-49457,81905,28227,27876,351
2007-12-31 00:00:00,31580,30608,972,135755,8400,2730,5670,34119,-48164,82283,27621,27221,400
2008-01-08 00:00:00,30588,29671,917,136005,8604,3345,5259,35910,-46394,82304,25879,25484,395
2008-01-15 00:00:00,30258,29335,923,135670,9119,4155,4964,35421,-43157,78578,22590,22390,200
2008-01-22 00:00:00,33595,32625,970,140338,9198,4354,4844,35790,-45521,81311,22452,22238,214
2008-01-29 00:00:00,32443,31820,623,139912,8642,4000,4642,36590,-43908,80498,21779,21513,266
2008-02-05 00:00:00,33846,32895,951,142036,8283,3777,4506,35960,-44800,80760,21689,21530,159
2008-02-12 00:00:00,35603,34063,1540,144114,9689,6614,3075,35409,-47974,83383,20914,20751,163
