date,mm_long,mm_net,mm_short,oi,other_long,other_net,other_short,pm_long,pm_net,pm_short,sd_long,sd_net,sd_short
2006-06-13 00:00:00,12479,12479,0,59242,4625,4277,348,26339,-12644,38983,0,0,0
2006-06-20 00:00:00,10553,10553,0,53411,3703,3402,301,24129,-10552,34681,0,0,0
2006-06-27 00:00:00,11486,11486,0,51892,5072,4325,747,18849,-14855,33704,0,0,0
2006-07-03 00:00:00,12474,12474,0,53723,4937,4124,813,19781,-15854,35635,0,0,0
2006-07-11 00:00:00,10744,10744,0,60100,4055,3233,822,22711,-16023,38734,0,0,0
2006-07-18 00:00:00,9260,9260,0,60491,3896,3328,568,24650,-12861,37511,0,0,0
2006-07-25 00:00:00,7763,7509,254,61122,4889,4367,522,26206,-10738,36944,0,0,0
2006-08-01 00:00:00,5246,5246,0,59799,4822,4287,535,26601,-6690,33291,0,0,0
2006-08-08 00:00:00,4973,4973,0,57964,4909,4061,848,26583,-7684,34267,0,0,0
2006-08-15 00:00:00,3787,3787,0,55622,3361,2649,712,27094,-5313,32407,0,0,0
2006-08-22 00:00:00,3258,3058,200,53420,2899,2327,572,27465,-3974,31439,0,0,0
2006-08-29 00:00:00,4543,4543,0,48617,2472,1889,583,25571,-5477,31048,0,0,0
2006-09-05 00:00:00,5625,5625,0,49681,2174,1628,546,25412,-5963,31375,0,0,0
2006-09-12 00:00:00,4930,4930,0,49273,2358,1901,457,25459,-5654,31113,0,0,0
2006-09-19 00:00:00,4407,3850,557,48593,2343,2269,74,24878,-5660,30538,0,0,0
2006-09-26 00:00:00,4371,3545,826,48665,2526,2526,0,24396,-5276,29672,0,0,0
2006-10-03 00:00:00,4636,4078,558,48012,2820,2803,17,22841,-5520,28361,0,0,0
2006-10-10 00:00:00,6356,6196,160,49620,3007,2863,144,23758,-5953,29711,0,0,0
2006-10-17 00:00:00,6579,6579,0,51253,2769,2694,75,25231,-6860,32091,0,0,0
2006-10-24 00:00:00,6666,6666,0,52584,2973,2746,227,26667,-6937,33604,0,0,0
2006-10-31 00:00:00,6939,6789,150,52188,2888,2597,291,25303,-7514,32817,0,0,0
2006-11-07 00:00:00,7936,7706,230,52257,3246,2953,293,24789,-8430,33219,0,0,0
2006-11-14 00:00:00,8267,8037,230,52726,3690,3277,413,23728,-9943,33671,0,0,0
2006-11-21 00:00:00,8573,8183,390,50033,2244,1742,502,24054,-7887,31941,0,0,0
2006-11-28 00:00:00,8743,8353,390,48863,2766,2417,349,24266,-8205,32471,0,0,0
2006-12-05 00:00:00,9577,9047,530,50585,2917,2516,401,25043,-8618,33661,0,0,0
2006-12-12 00:00:00,10441,9861,580,49476,2432,2184,248,23341,-9004,32345,0,0,0
2006-12-19 00:00:00,11575,11575,0,49224,2505,2399,106,22988,-10727,33715,0,0,0
2006-12-26 00:00:00,11421,11421,0,48795,2298,2283,15,22789,-10616,33405,0,0,0
2007-01-03 00:00:00,11108,11108,0,46146,1508,1436,72,20864,-9362,30226,0,0,0
2007-01-09 00:00:00,8498,8259,239,44202,925,649,276,21381,-5765,27146,0,0,0
2007-01-16 00:00:00,9080,8611,469,46409,1076,867,209,21373,-6507,27880,0,0,0
2007-01-23 00:00:00,9184,8716,468,45786,1835,1807,28,19264,-8517,27781,300,300,0
2007-01-30 00:00:00,9552,9084,468,45635,1650,1640,10,18391,-9038,27429,300,300,0
2007-02-06 00:00:00,10219,9715,504,45878,1738,1650,88,18156,-9518,27674,300,300,0
2007-02-13 00:00:00,11154,10605,549,46405,2090,2085,5,16548,-11595,28143,300,300,0
2007-02-20 00:00:00,13549,13032,517,51001,2346,2134,212,18525,-14045,32570,300,300,0
2007-02-27 00:00:00,16258,16051,207,55384,3086,2943,143,18822,-17145,35967,300,300,0
2007-03-06 00:00:00,17363,16876,487,53990,1566,1512,54,18415,-17893,36308,200,200,0
2007-03-13 00:00:00,17574,17117,457,54541,2214,2214,0,18167,-19404,37571,200,200,0
2007-03-20 00:00:00,16190,15695,495,54085,2235,2211,24,17909,-17753,35662,200,200,0
2007-03-27 00:00:00,15598,15340,258,51828,1849,1708,141,16606,-18172,34778,571,571,0
2007-04-03 00:00:00,12784,11770,1014,52576,1318,387,931,20559,-11867,32426,1856,1856,0
2007-04-10 00:00:00,13106,12350,756,56031,1488,997,491,22921,-12433,35354,2411,2411,0
2007-04-17 00:00:00,12733,12219,514,58588,1553,1528,25,24508,-12809,37317,2389,2389,0
2007-04-24 00:00:00,13010,12763,247,58287,381,160,221,26034,-12933,38967,2918,2918,0
2007-05-01 00:00:00,15512,15512,0,56800,970,497,473,23439,-15440,38879,3203,3203,0
2007-05-08 00:00:00,15430,15430,0,55903,1181,911,270,22798,-14830,37628,3188,3188,0
2007-05-15 00:00:00,14723,14723,0,52837,1556,1346,210,19896,-15500,35396,3372,3372,0
2007-05-22 00:00:00,13631,13631,0,51113,960,695,265,20328,-12941,33269,3237,3237,0
2007-05-29 00:00:00,13215,13215,0,50642,1176,937,239,20905,-12483,33388,3237,3237,0
2007-06-05 00:00:00,13580,13580,0,51255,1826,1476,350,19764,-13045,32809,3240,3240,0
2007-06-12 00:00:00,12407,12407,0,50828,2087,1824,263,19242,-12707,31949,2510,2510,0
2007-06-19 00:00:00,11243,11243,0,54645,2465,2430,35,22488,-12402,34890,2511,2511,0
2007-06-26 00:00:00,12394,12394,0,54437,2699,2387,312,22007,-13137,35144,1535,1535,0
2007-07-03 00:00:00,12311,12311,0,52193,3092,2738,354,19499,-13205,32704,1535,1535,0
2007-07-10 00:00:00,12528,12528,0,51261,2197,1787,410,20398,-12228,32626,1285,1285,0
2007-07-17 00:00:00,12461,12461,0,53088,2688,2405,283,22072,-12326,34398,1060,1060,0
2007-07-24 00:00:00,10145,10145,0,55311,2736,2486,250,26661,-10043,36704,956,956,0
2007-07-31 00:00:00,9544,9544,0,55250,3394,3116,278,26717,-9531,36248,475,475,0
2007-08-07 00:00:00,10339,10339,0,55839,4374,4098,276,25626,-11325,36951,0,0,0
2007-08-14 00:00:00,11097,11097,0,58340,5090,5066,24,28255,-11069,39324,0,0,0
2007-08-21 00:00:00,9237,9237,0,58151,4863,4498,365,29405,-11040,40445,0,0,0
2007-08-28 00:00:00,9498,9498,0,55919,3804,3246,558,31600,-10929,42529,0,0,0
2007-09-04 00:00:00,8645,8645,0,61079,3381,2815,566,35265,-10350,45615,1051,1051,0
2007-09-11 00:00:00,9864,9820,44,64640,3154,2166,988,35627,-13409,49036,3112,3112,0
2007-09-18 00:00:00,7460,7460,0,67328,3789,2682,1107,38594,-12161,50755,3608,3608,0
2007-09-25 00:00:00,7683,7683,0,70359,4190,3305,885,40574,-12500,53074,3615,3615,0
2007-10-02 00:00:00,11923,11923,0,72323,4887,3753,1134,37238,-17012,54250,3222,3222,0
