call_gex,call_oi,net_gex,put_gex,put_oi,strike
0.0,0.0,-3029.96,-3029.96,666.0,185.0
0.0,0.0,-9210.12,-9210.12,1928.0,190.0
0.0,0.0,-2930.1,-2930.1,573.0,195.0
0.0,0.0,-1819.42,-1819.42,358.0,200.0
0.0,0.0,-16.44,-16.44,3.0,205.0
0.0,0.0,-2023.33,-2023.33,268.0,210.0
214.91,8.0,-4975.79,-5190.69,381.0,215.0
376.09,14.0,-5796.02,-6172.11,332.0,220.0
0.0,0.0,-1031.4,-1031.4,60.0,225.0
268.63,5.0,-153700.31,-153968.94,2976.0,230.0
483.54,9.0,-6848.89,-7332.43,352.0,235.0
859.63,21.0,-41904.16,-42763.79,1925.0,240.0
188.04,6.0,-10919.54,-11107.58,458.0,245.0
2847.53,56.0,-45007.81,-47855.34,2856.0,250.0
644.72,22.0,-13969.01,-14613.74,285.0,255.0
1047.68,31.0,-42605.49,-43653.17,831.0,260.0
483.54,18.0,-36991.02,-37474.57,599.0,265.0
429.82,12.0,-13969.01,-14398.83,329.0,270.0
268.63,5.0,-14855.51,-15124.14,418.0,275.0
13136.25,191.0,-3599.71,-16735.95,626.0,280.0
644.72,11.0,-32182.46,-32827.18,932.0,285.0
1504.36,38.0,-46420.11,-47924.46,1475.0,290.0
402.95,6.0,-85909.44,-86312.39,1061.0,295.0
3814.62,122.0,-57649.05,-61463.66,1437.0,300.0
1128.27,83.0,-36292.57,-37420.84,553.0,305.0
7118.82,85.0,-68958.58,-76077.4,1180.0,310.0
3895.21,44.0,-39919.14,-43814.35,589.0,315.0
1289.45,15.0,-87816.75,-89106.19,1447.0,320.0
13243.7,193.0,-223850.62,-237094.32,4954.0,325.0
1047.68,12.0,-487689.85,-488737.53,5001.0,330.0
1316.31,13.0,-55770.68,-57086.99,3417.0,335.0
15607.69,171.0,-122000.67,-137608.36,2103.0,340.0
18347.76,188.0,-41057.89,-59405.65,525.0,345.0
78199.62,947.0,-380360.8,-458560.41,4104.0,350.0
4486.2,31.0,-83067.6,-87553.8,612.0,355.0
82847.0,729.0,-114073.33,-196920.33,1522.0,360.0
29737.88,224.0,-107823.2,-137561.09,959.0,365.0
50154.13,329.0,-340376.17,-390530.3,3388.0,370.0
117124.81,816.0,-197074.85,-314199.66,2523.0,375.0
83357.41,411.0,-896058.54,-979415.95,5863.0,380.0
