call_gex,call_oi,net_gex,put_gex,put_oi,strike
0.0,0.0,-35045.76,-35045.76,9552.0,204.78
7526.66,498.0,-76679.78,-84206.45,12206.0,205.0
0.0,0.0,-1834.01,-1834.01,514.0,209.78
472.68,31.0,-28419.88,-28892.56,5184.0,210.0
120.35,27.0,-756.54,-876.89,222.0,214.78
1964.42,119.0,-18674.35,-20638.77,2668.0,215.0
121.89,51.0,-708.51,-830.4,181.0,219.78
393.86,21.0,-22789.06,-23182.92,3575.0,220.0
0.0,0.0,-1455.37,-1455.37,306.0,224.78
1470.72,31.0,-57852.2,-59322.92,1852.0,225.0
0.0,0.0,-2323.84,-2323.84,428.0,229.78
1647.42,37.0,-20125.97,-21773.39,1706.0,230.0
0.0,0.0,-12747.43,-12747.43,2265.0,234.78
2551.54,60.0,-8441.02,-10992.56,574.0,235.0
0.0,0.0,-2994.46,-2994.46,492.0,239.78
2894.3,60.0,-24007.8,-26902.11,2248.0,240.0
0.0,0.0,-4923.24,-4923.24,722.0,244.78
13739.29,664.0,3959.0,-9780.29,1101.0,245.0
0.0,0.0,-5561.48,-5561.48,760.0,249.78
5314.06,228.0,-420770.24,-426084.29,18397.0,250.0
0.0,0.0,-5971.05,-5971.05,762.0,254.78
1595.18,42.0,-39183.55,-40778.72,2958.0,255.0
0.0,0.0,-12304.51,-12304.51,1424.0,259.78
883.24,34.0,-49914.06,-50797.3,3700.0,260.0
258.61,41.0,-7951.48,-8210.09,867.0,264.78
1976.7,74.0,-33610.65,-35587.35,2052.0,265.0
209.68,124.0,-37097.71,-37307.4,3606.0,269.78
1027.42,41.0,-29639.64,-30667.06,2570.0,270.0
152.75,52.0,-6354.24,-6506.99,579.0,274.78
1884.75,136.0,-71179.56,-73064.31,4700.0,275.0
157.19,44.0,-5004.97,-5162.16,435.0,279.78
942.65,31.0,-96521.27,-97463.92,4054.0,280.0
108.13,23.0,-50102.19,-50210.32,3839.0,284.78
3608.85,96.0,-174634.36,-178243.21,5114.0,285.0
236.54,19.0,-7059.16,-7295.7,539.0,289.78
2818.99,80.0,-167099.89,-169918.88,5036.0,290.0
342.41,57.0,-43022.93,-43365.34,2870.0,294.78
6132.31,228.0,-67553.46,-73685.77,2957.0,295.0
757.57,122.0,-38676.74,-39434.31,2438.0,299.78
43583.35,1053.0,-610425.8,-654009.15,22894.0,300.0
908.86,123.0,-6151.69,-7060.54,402.0,304.78
4701.61,107.0,-158181.45,-162883.06,4681.0,305.0
642.56,68.0,-8909.88,-9552.44,503.0,309.78
6745.14,157.0,-175518.79,-182263.93,5012.0,310.0
459.84,47.0,-9394.74,-9854.58,488.0,314.78
9593.0,190.0,-121963.6,-131556.61,6002.0,315.0
220.16,20.0,-49927.66,-50147.82,2280.0,319.78
30640.75,491.0,-141695.46,-172336.21,4871.0,320.0
454.3,37.0,-14322.85,-14777.15,626.0,324.78
19066.67,296.0,-201312.17,-220378.85,5157.0,325.0
366.73,27.0,-151673.29,-152040.02,6024.0,329.78
13934.48,208.0,-169468.42,-183402.9,5829.0,330.0
5368.11,108.0,-50698.78,-56066.89,1128.0,334.78
8748.02,141.0,-131734.26,-140482.29,3630.0,335.0
1093.5,22.0,-39465.52,-40559.02,816.0,339.78
10487.69,158.0,-480789.23,-491276.92,9464.0,340.0
9791.82,197.0,-396245.75,-406037.58,8169.0,344.78
6561.02,104.0,-244235.6,-250796.62,4332.0,345.0
21025.08,423.0,-103932.5,-124957.58,2514.0,349.78
36701.99,454.0,-5391564.41,-5428266.4,59409.0,350.0
1043.8,21.0,-37974.38,-39018.18,785.0,354.78
5020.17,56.0,-376709.16,-381729.33,5521.0,355.0
