call_gex,call_oi,net_gex,put_gex,put_oi,strike
0.0,0.0,-23875.55,-23875.55,68322.0,50.0
0.0,0.0,-1699.29,-1699.29,6347.0,55.0
0.0,0.0,-15789.63,-15789.63,43237.0,60.0
0.0,0.0,-11439.61,-11439.61,20100.0,65.0
0.0,0.0,-13880.12,-13880.12,26179.0,70.0
0.0,0.0,-4013.8,-4013.8,5850.0,75.0
0.0,0.0,-10288.48,-10288.48,13298.0,80.0
0.0,0.0,-199.99,-199.99,159.0,85.0
0.0,0.0,-617.04,-617.04,340.0,90.0
0.0,0.0,-3789.26,-3789.26,3371.0,95.0
0.0,2.0,-95115.01,-95115.01,35139.0,100.0
0.0,0.0,-1740.45,-1740.45,1120.0,105.0
0.0,0.0,-764.6,-764.6,325.0,110.0
0.0,0.0,-1343.66,-1343.66,661.0,115.0
0.0,1.0,-4367.28,-4367.28,1185.0,120.0
0.0,0.0,-9194.22,-9194.22,3760.0,125.0
0.0,0.0,-6528.41,-6528.41,1921.0,130.0
0.0,0.0,-9407.25,-9407.25,1733.0,135.0
0.0,0.0,-8206.02,-8206.02,1695.0,140.0
0.0,0.0,-6397.19,-6397.19,1024.0,145.0
0.0,0.0,-118199.31,-118199.31,33351.0,150.0
0.0,0.0,-5803.44,-5803.44,636.0,155.0
0.0,0.0,-30199.66,-30199.66,3410.0,160.0
0.0,0.0,-28313.44,-28313.44,2587.0,165.0
5.43,1.0,-6720.23,-6725.67,864.0,170.0
0.0,0.0,-1594.79,-1594.79,215.0,175.0
13.77,7.0,-10923.77,-10937.54,1139.0,180.0
0.0,0.0,-6407.71,-6407.71,829.0,185.0
19.07,3.0,-10073.4,-10092.47,748.0,190.0
7.16,1.0,-3184.35,-3191.51,306.0,195.0
1483.49,370.0,-527667.26,-529150.76,59060.0,200.0
0.0,0.0,-47959.77,-47959.77,2732.0,205.0
106.47,8.0,-22905.83,-23012.31,1696.0,210.0
0.0,0.0,-32072.29,-32072.29,1696.0,215.0
1067.19,22.0,-78215.51,-79282.7,5440.0,220.0
600.85,11.0,-28594.45,-29195.3,1511.0,225.0
981.84,31.0,-142476.93,-143458.76,9718.0,230.0
109.24,2.0,-78712.56,-78821.8,1921.0,235.0
1472.66,52.0,-698628.28,-700100.94,50572.0,240.0
361.29,25.0,-33995.89,-34357.18,1196.0,245.0
4257.06,209.0,-501676.33,-505933.39,19492.0,250.0
28720.08,530.0,-43733.39,-72453.47,2603.0,255.0
1886.75,53.0,-129583.4,-131470.14,6308.0,260.0
2069.46,135.0,-148062.51,-150131.97,3041.0,265.0
2008.56,89.0,-222696.25,-224704.81,7815.0,270.0
2251.92,144.0,-170521.12,-172773.04,6716.0,275.0
1983.99,127.0,-126571.45,-128555.44,3806.0,280.0
3302.66,263.0,-85248.86,-88551.52,2540.0,285.0
2416.68,60.0,-429603.03,-432019.71,15955.0,290.0
3296.75,111.0,-48546.94,-51843.69,1185.0,295.0
37600.95,839.0,-1282289.85,-1319890.8,46464.0,300.0
2027.17,38.0,-128903.37,-130930.54,5861.0,305.0
9231.19,169.0,-228027.19,-237258.38,7173.0,310.0
9176.57,168.0,-166984.06,-176160.64,7923.0,315.0
14037.97,257.0,-311851.47,-325889.44,8034.0,320.0
6395.36,196.0,-428422.45,-434817.8,10969.0,325.0
10542.13,179.0,-388457.77,-398999.9,9597.0,330.0
3222.72,50.0,-180071.48,-183294.21,4073.0,335.0
15158.04,195.0,-1105629.35,-1120787.39,15024.0,340.0
4369.8,58.0,-650848.26,-655218.05,8330.0,345.0
60653.77,658.0,-1820379.39,-1881033.16,27421.0,350.0
13983.35,148.0,-302856.89,-316840.24,8330.0,355.0
14471.09,179.0,-1380131.56,-1394602.65,58464.0,360.0
42405.94,452.0,-279136.2,-321542.14,9271.0,365.0
23760.76,336.0,-891424.21,-915184.97,26697.0,370.0
17042.2,199.0,-1567806.6,-1584848.81,35387.0,375.0
14147.21,199.0,-992336.0,-1006483.21,24651.0,380.0
27966.69,344.0,-1029673.14,-1057639.83,20726.0,385.0
15622.02,216.0,-703671.59,-719293.61,20268.0,390.0
12563.16,160.0,-1104480.95,-1117044.12,23524.0,395.0
1732951.74,15810.0,-9442122.76,-11175074.5,143613.0,400.0
48340.87,417.0,-652717.87,-701058.73,15843.0,405.0
56370.36,470.0,-3616212.24,-3672582.6,55428.0,410.0
53709.05,623.0,-1026387.24,-1080096.3,10082.0,415.0
68051.58,617.0,-6978744.39,-7046795.97,120972.0,420.0
62815.81,554.0,-1887510.61,-1950326.42,22692.0,425.0
88455.04,1129.0,-1196024.74,-1284479.78,25611.0,430.0
34794.5,282.0,-632830.98,-667625.48,14496.0,435.0
85156.39,639.0,-7112772.42,-7197928.82,119993.0,440.0
74832.75,495.0,-971786.96,-1046619.71,10658.0,445.0
280596.74,2474.0,-9153747.11,-9434343.85,70317.0,450.0
80895.84,566.0,-1824174.47,-1905070.32,13569.0,455.0
105877.62,637.0,-6634505.74,-6740383.36,131955.0,460.0
49243.36,279.0,-1636157.36,-1685400.73,15243.0,465.0
80992.16,458.0,-16695102.47,-16776094.63,273311.0,470.0
275458.74,1597.0,-3803259.29,-4078718.04,29887.0,475.0
113974.88,515.0,-11824417.0,-11938391.88,69629.0,480.0
306213.44,1386.0,-1926542.72,-2232756.15,18144.0,485.0
273658.46,1264.0,-9247929.37,-9521587.83,126644.0,490.0
516018.25,2385.0,-2390749.77,-2906768.02,20383.0,495.0
1225407.02,5162.0,-20531492.58,-21756899.6,107484.0,500.0
0.0,0.0,-3771.02,-3771.02,1464.0,501.0
0.0,0.0,-2620.07,-2620.07,1007.0,502.0
0.0,0.0,-1734.54,-1734.54,661.0,503.0
0.0,0.0,-6167.01,-6167.01,2327.0,504.0
587792.15,2150.0,-3285513.89,-3873306.04,224536.0,505.0
0.0,0.0,-1762.02,-1762.02,652.0,506.0
0.0,0.0,-2796.89,-2796.89,1025.0,507.0
0.0,0.0,-5556.61,-5556.61,2014.0,508.0
0.0,0.0,-4751.72,-4751.72,1706.0,509.0
1258828.9,4510.0,-4013796.52,-5272625.42,27477.0,510.0
0.0,0.0,-4858.58,-4858.58,1712.0,511.0
0.0,0.0,-4196.8,-4196.8,1463.0,512.0
0.0,0.0,-2824.03,-2824.03,974.0,513.0
0.0,0.0,-2539.65,-2539.65,868.0,514.0
1343384.45,6339.0,-4695196.17,-6038580.62,31472.0,515.0
0.0,0.0,-6594.28,-6594.28,2207.0,516.0
0.0,0.0,-6257.9,-6257.9,2076.0,517.0
0.0,0.0,-1611.12,-1611.12,529.0,518.0
0.0,0.0,-12956.79,-12956.79,4211.0,519.0
1137621.69,4060.0,-88112291.84,-89249913.53,534532.0,520.0
0.0,0.0,-13196.25,-13196.25,4203.0,521.0
0.0,0.0,-1257.8,-1257.8,396.0,522.0
0.0,0.0,-741.03,-741.03,231.0,523.0
0.0,0.0,-877.95,-877.95,271.0,524.0
910274.04,2906.0,-7924357.77,-8834631.81,37228.0,525.0
0.0,0.0,-919.79,-919.79,278.0,526.0
0.0,0.0,-1389.68,-1389.68,416.0,527.0
0.0,0.0,-415.5,-415.5,123.0,528.0
0.0,0.0,-9823.55,-9823.55,2876.0,529.0
1112386.12,3347.0,-20204367.87,-21316754.0,238858.0,530.0
0.0,0.0,-3816.99,-3816.99,1095.0,531.0
0.0,0.0,-4433.14,-4433.14,1258.0,532.0
0.0,0.0,-5371.88,-5371.88,1508.0,533.0
0.0,0.0,-4292.05,-4292.05,1192.0,534.0
2265465.97,6343.0,-11245842.52,-13511308.49,44728.0,535.0
0.0,0.0,-11438.89,-11438.89,3110.0,536.0
0.0,0.0,-5066.3,-5066.3,1363.0,537.0
0.0,0.0,-2389.17,-2389.17,635.0,538.0
0.0,0.0,-2041.55,-2041.55,537.0,539.0
2188502.94,7575.0,-32750629.52,-34939132.46,247855.0,540.0
0.0,0.0,-2149.75,-2149.75,553.0,541.0
0.0,0.0,-1295.97,-1295.97,330.0,542.0
0.0,0.0,-12804.18,-12804.18,3222.0,543.0
0.0,0.0,-12672.37,-12672.37,3157.0,544.0
2555893.52,7438.0,-7044205.69,-9600099.21,31479.0,545.0
0.0,0.0,-3813.13,-3813.13,928.0,546.0
0.0,0.0,-1222.13,-1222.13,294.0,547.0
0.0,0.0,-1026.05,-1026.05,244.0,548.0
0.0,0.0,-6848.38,-6848.38,1610.0,549.0
4404985.25,11789.0,-118668015.11,-123073000.35,592009.0,550.0
0.0,0.0,-6832.01,-6832.01,631.0,551.0
0.0,0.0,-4291.5,-4291.5,392.0,552.0
0.0,0.0,-12802.71,-12802.71,1155.0,553.0
0.0,0.0,-12966.45,-12966.45,1157.0,554.0
3072731.1,7460.0,-9497770.33,-12570501.43,237061.0,555.0
0.0,0.0,-16563.53,-16563.53,1444.0,556.0
0.0,0.0,-12616.12,-12616.12,1088.0,557.0
0.0,0.0,-2946.39,-2946.39,251.0,558.0
0.0,0.0,-3493.56,-3493.56,294.0,559.0
2378277.01,6096.0,-9829922.59,-12208199.6,37289.0,560.0
0.0,0.0,-23987.11,-23987.11,1973.0,561.0
0.0,0.0,-4762.35,-4762.35,387.0,562.0
0.0,0.0,-4085.34,-4085.34,328.0,563.0
0.0,0.0,-13778.6,-13778.6,1093.0,564.0
2409505.36,6202.0,-8856294.45,-11265799.81,232260.0,565.0
0.0,0.0,-5849.25,-5849.25,453.0,566.0
0.0,0.0,-5997.92,-5997.92,459.0,567.0
0.0,0.0,-3054.72,-3054.72,231.0,568.0
0.0,0.0,-9621.53,-9621.53,719.0,569.0
3935929.63,9087.0,-16595848.91,-20531778.53,55340.0,570.0
0.0,0.0,-14423.02,-14423.02,1051.0,571.0
0.0,0.0,-7748.22,-7748.22,558.0,572.0
0.0,0.0,-8597.77,-8597.77,611.0,573.0
0.0,0.0,-4306.46,-4306.46,302.0,574.0
2308726.95,4620.0,-22908694.42,-25217421.37,73601.0,575.0
0.0,0.0,-9957.25,-9957.25,572.0,576.0
0.0,0.0,-28150.33,-28150.33,1005.0,577.0
546.22,1.0,-4524.45,-5070.67,232.0,578.0
0.0,0.0,-20839.75,-20839.75,603.0,579.0
3574492.9,6991.0,-18331475.0,-21905967.9,53547.0,580.0
0.0,0.0,-19816.09,-19816.09,1196.0,581.0
0.0,0.0,-79257.17,-79257.17,1441.0,582.0
0.0,0.0,-46319.83,-46319.83,208.0,583.0
0.0,0.0,-4135301.56,-4135301.56,7727.0,584.0
4585882.12,8297.0,-15489918.89,-20075801.01,43855.0,585.0
0.0,0.0,-28676.78,-28676.78,435.0,586.0
0.0,0.0,-21575.87,-21575.87,345.0,587.0
0.0,0.0,-21575.87,-21575.87,185.0,588.0
0.0,0.0,-471555.58,-471555.58,8633.0,589.0
4563268.42,8469.0,-53006305.0,-57569573.42,183440.0,590.0
0.0,0.0,-33592.8,-33592.8,406.0,591.0
600.85,1.0,-18462.39,-19063.23,305.0,592.0
655.47,1.0,-13000.14,-13655.61,228.0,593.0
1111129.81,2034.0,950539.81,-160589.99,1082.0,594.0
5416307.17,9905.0,-15719437.76,-21135744.93,43474.0,595.0
1092.45,2.0,-67458.72,-68551.17,312.0,596.0
6336.2,11.0,-513232.51,-519568.71,3947.0,597.0
764878.12,1273.0,-3314216.94,-4079095.06,7246.0,598.0
973535.86,1620.0,727516.36,-246019.5,2472.0,599.0
17970402.54,35651.0,-185848671.56,-203819074.09,432111.0,600.0
445773.79,741.0,327406.94,-118366.84,413.0,601.0
26819.62,44.0,-216578.0,-243397.62,781.0,602.0
13874.1,23.0,-206418.23,-220292.33,846.0,603.0
3987.44,6.0,-105202.83,-109190.27,674.0,604.0
10398966.74,15633.0,-29400367.1,-39799333.84,162810.0,605.0
1055961.14,1611.0,964741.65,-91219.49,1305.0,606.0
2676.5,4.0,-79421.04,-82097.54,897.0,607.0
5353.0,8.0,-186317.16,-191670.16,1431.0,608.0
14529.57,23.0,-118639.95,-133169.52,865.0,609.0
5480379.3,8258.0,-25182278.72,-30662658.02,64694.0,610.0
585771.12,825.0,525631.8,-60139.31,549.0,611.0
19882.57,28.0,-280650.13,-300532.7,577.0,612.0
2130.28,3.0,-60685.54,-62815.81,507.0,613.0
2130.28,3.0,-140816.67,-142946.94,631.0,614.0
3942101.96,5603.0,-65928965.19,-69871067.15,140183.0,615.0
5243.75,7.0,-1066230.16,-1071473.91,18736.0,616.0
14529.57,19.0,-259948.22,-274477.79,683.0,617.0
6609.32,12.0,-291793.11,-298402.43,2561.0,618.0
4588.29,7.0,-1076990.78,-1081579.06,2615.0,619.0
7361248.62,9972.0,-134424966.85,-141786215.48,204001.0,620.0
36651.66,49.0,-843807.55,-880459.21,1645.0,621.0
14584.19,23.0,-801639.02,-816223.22,9357.0,622.0
72483.99,120.0,-463689.95,-536173.93,2061.0,623.0
692011.77,793.0,229742.01,-462269.76,1246.0,624.0
7883603.08,9801.0,-85505868.49,-93389471.57,217699.0,625.0
235313.5,271.0,-597842.68,-833156.18,1659.0,626.0
168401.0,196.0,-943548.14,-1111949.14,1694.0,627.0
165779.13,191.0,-588556.86,-754335.99,1797.0,628.0
1186126.43,1362.0,337075.12,-849051.31,1398.0,629.0
7429089.7,9385.0,-230686432.04,-238115521.74,368124.0,630.0
724075.15,783.0,-867622.94,-1591698.09,2776.0,631.0
68441.93,78.0,-650553.34,-718995.26,1579.0,632.0
229742.01,250.0,-418462.56,-648204.57,1497.0,633.0
190468.47,235.0,-867732.18,-1058200.66,1683.0,634.0
10055173.06,11156.0,-35331819.42,-45386992.48,58391.0,635.0
161900.93,174.0,-525959.54,-687860.47,1140.0,636.0
646565.9,853.0,-495917.19,-1142483.09,1967.0,637.0
575119.74,712.0,112631.48,-462488.25,1152.0,638.0
648750.8,636.0,-273767.7,-922518.5,1391.0,639.0
15730172.14,17400.0,-73668146.51,-89398318.65,113318.0,640.0
5454925.24,5375.0,2874724.74,-2580200.5,2952.0,641.0
1835095.71,1867.0,-218544.41,-2053640.12,2414.0,642.0
1848259.72,1882.0,-272183.65,-2120443.37,2634.0,643.0
1721754.14,1672.0,-410487.69,-2132241.82,2931.0,644.0
9452905.97,10701.0,-63857354.27,-73310260.24,85748.0,645.0
847084.9,821.0,-850526.11,-1697611.01,2012.0,646.0
1333989.39,1455.0,-154526.9,-1488516.29,2061.0,647.0
1211744.35,1111.0,-1144613.37,-2356357.72,2774.0,648.0
1153079.85,1057.0,-595166.18,-1748246.02,2224.0,649.0
30500518.65,30559.0,-132410873.38,-162911392.03,187591.0,650.0
524921.71,469.0,-1273959.32,-1798881.03,2545.0,651.0
474723.68,417.0,-1958924.8,-2433648.48,2746.0,652.0
515745.14,435.0,-2803333.2,-3319078.34,4166.0,653.0
447794.82,396.0,-1137457.83,-1585252.64,2617.0,654.0
11259488.76,11791.0,-80838052.7,-92097541.47,84835.0,655.0
282398.05,257.0,-1864537.21,-2146935.26,2416.0,656.0
369466.23,383.0,-2578288.72,-2947754.95,3312.0,657.0
191069.32,157.0,-3382822.73,-3573892.05,3594.0,658.0
319377.44,272.0,-3414503.75,-3733881.2,4016.0,659.0
28074134.96,24808.0,-239765720.47,-267839855.42,232878.0,660.0
469370.68,382.0,-2910775.55,-3380146.23,3177.0,661.0
310200.87,248.0,-1467213.54,-1777414.41,1582.0,662.0
494606.25,438.0,-1815923.23,-2310529.49,2137.0,663.0
460958.83,342.0,-3933471.62,-4394430.44,4192.0,664.0
22044581.58,17816.0,-185590413.33,-207634994.9,154610.0,665.0
507224.04,419.0,-5762995.84,-6270219.88,11666.0,666.0
870681.8,634.0,-2267487.0,-3138168.8,2591.0,667.0
682125.11,477.0,-2973973.72,-3656098.83,3340.0,668.0
1351140.84,1018.0,-2879039.91,-4230180.75,3427.0,669.0
30803946.34,23389.0,-251573454.73,-282377401.07,212671.0,670.0
1003468.96,743.0,-2442661.18,-3446130.15,2762.0,671.0
484009.5,368.0,-4414313.01,-4898322.51,3753.0,672.0
840093.23,674.0,-6307090.03,-7147183.26,5179.0,673.0
851837.05,522.0,-8606640.4,-9458477.46,7011.0,674.0
39247429.5,27270.0,-87288909.01,-126536338.51,96140.0,675.0
541308.44,353.0,-8501546.82,-9042855.26,7065.0,676.0
1418544.94,846.0,-5544943.03,-6963487.97,4826.0,677.0
1041704.68,630.0,-5111131.56,-6152836.24,4965.0,678.0
1361191.37,776.0,-4382741.24,-5743932.61,4000.0,679.0
49083184.19,34690.0,-144803450.18,-193886634.37,131679.0,680.0
1774355.55,970.0,-42902108.15,-44676463.7,24489.0,681.0
1330493.55,703.0,-41098802.7,-42429296.25,22620.0,682.0
1808603.83,941.0,-15866345.9,-17674949.73,9622.0,683.0
811197.95,455.0,-7427560.27,-8238758.23,5099.0,684.0
39971941.63,25618.0,-113467044.23,-153438985.85,97759.0,685.0
1139970.46,615.0,-8492752.6,-9632723.06,7509.0,686.0
1235778.23,657.0,-7935166.67,-9170944.9,5182.0,687.0
798907.9,426.0,-9989025.28,-10787933.18,6016.0,688.0
1180718.8,620.0,-7991263.92,-9171982.72,5224.0,689.0
65655252.1,37774.0,-215484349.71,-281139601.81,163831.0,690.0
2016660.72,1175.0,-15966031.86,-17982692.59,8941.0,691.0
2158679.09,1470.0,-23984770.88,-26143449.96,11956.0,692.0
1571105.43,780.0,-8329267.62,-9900373.05,4710.0,693.0
5330495.31,3990.0,-17347815.89,-22678311.2,9865.0,694.0
53902686.51,28793.0,-139058971.35,-192961657.86,100299.0,695.0
3825046.06,1915.0,-17706466.88,-21531512.94,9850.0,696.0
2357668.66,1136.0,-12928149.88,-15285818.54,7271.0,697.0
1319842.17,651.0,-44374510.81,-45694352.99,16678.0,698.0
3063445.29,1516.0,-11762725.36,-14826170.65,6034.0,699.0
145125667.99,72825.0,-512643076.4,-657768744.39,291167.0,700.0
4466750.56,2002.0,-17788127.43,-22254878.0,10854.0,701.0
3142538.59,1301.0,-72540083.74,-75682622.34,27051.0,702.0
3081306.83,1291.0,-77033380.82,-80114687.64,28146.0,703.0
4912087.37,1954.0,-54926802.76,-59838890.13,22216.0,704.0
62071364.14,27044.0,-190493924.97,-252565289.11,92639.0,705.0
3454760.5,1223.0,-103134662.25,-106589422.74,33460.0,706.0
4471011.11,1489.0,-24900461.57,-29371472.68,10598.0,707.0
4881280.31,1617.0,-85496528.05,-90377808.36,27173.0,708.0
7376706.78,2328.0,-79965622.99,-87342329.76,26724.0,709.0
103365824.44,39647.0,-565544806.58,-668910631.02,218136.0,710.0
10633242.41,3093.0,-43550749.7,-54183992.11,16691.0,711.0
6991727.77,1819.0,-133575041.59,-140566769.36,38419.0,712.0
9249382.73,2281.0,-30292680.24,-39542062.97,12358.0,713.0
10943224.8,2827.0,-139519056.21,-150462281.01,37606.0,714.0
126949939.67,40992.0,-256685023.27,-383634962.94,104100.0,715.0
8405465.93,2053.0,-131860388.37,-140265854.3,35801.0,716.0
11796536.66,2437.0,-108044346.23,-119840882.88,32140.0,717.0
10969552.82,2262.0,-284457369.21,-295426922.02,60053.0,718.0
9939264.23,2273.0,-78362945.79,-88302210.02,19549.0,719.0
258455500.63,71829.0,-775077931.5,-1033533432.13,216389.0,720.0
17143527.94,3003.0,-60421110.79,-77564638.73,17669.0,721.0
13513702.51,2345.0,-177222145.28,-190735847.79,32925.0,722.0
9752346.22,1525.0,-85427703.77,-95180049.99,15835.0,723.0
6841789.16,1337.0,-236180303.08,-243022092.24,37712.0,724.0
178436238.4,47619.0,-734198000.94,-912634239.34,158838.0,725.0
28897022.11,4510.0,-150797280.47,-179694302.59,23824.0,726.0
20051517.75,2880.0,-100699375.09,-120750892.84,17272.0,727.0
33802500.16,4985.0,-88624919.43,-122427419.59,15419.0,728.0
43328709.45,5559.0,-143233601.06,-186562310.52,21551.0,729.0
462611318.8,99141.0,-668298368.02,-1130909686.82,166709.0,730.0
48639540.68,5005.0,-144542027.15,-193181567.83,18984.0,731.0
64564933.45,6111.0,-149148775.04,-213713708.48,18239.0,732.0
