close,date
443.75,2024-06-17
450.0,2024-06-18
439.75,2024-06-20
435.0,2024-06-21
433.5,2024-06-24
425.5,2024-06-25
420.0,2024-06-26
413.75,2024-06-27
397.25,2024-06-28
398.25,2024-07-01
402.0,2024-07-02
403.5,2024-07-03
411.25,2024-07-05
395.75,2024-07-08
400.25,2024-07-09
403.25,2024-07-10
406.75,2024-07-11
400.0,2024-07-12
390.5,2024-07-15
395.75,2024-07-16
398.0,2024-07-17
391.25,2024-07-18
390.5,2024-07-19
400.25,2024-07-22
402.5,2024-07-23
403.75,2024-07-24
406.0,2024-07-25
394.5,2024-07-26
396.25,2024-07-29
388.75,2024-07-30
382.75,2024-07-31
382.0,2024-08-01
386.5,2024-08-02
390.75,2024-08-05
388.75,2024-08-06
383.25,2024-08-07
379.25,2024-08-08
376.75,2024-08-09
383.25,2024-08-12
377.75,2024-08-13
381.0,2024-08-14
375.0,2024-08-15
370.5,2024-08-16
378.0,2024-08-19
375.0,2024-08-20
375.5,2024-08-21
371.5,2024-08-22
367.75,2024-08-23
362.0,2024-08-26
367.25,2024-08-27
365.25,2024-08-28
371.75,2024-08-29
378.0,2024-08-30
386.5,2024-09-03
390.5,2024-09-04
390.0,2024-09-05
383.75,2024-09-06
384.25,2024-09-09
379.5,2024-09-10
380.5,2024-09-11
386.25,2024-09-12
390.75,2024-09-13
410.75,2024-09-16
412.5,2024-09-17
412.75,2024-09-18
405.75,2024-09-19
401.75,2024-09-20
413.5,2024-09-23
411.75,2024-09-24
415.25,2024-09-25
413.25,2024-09-26
418.0,2024-09-27
424.75,2024-09-30
429.0,2024-10-01
432.5,2024-10-02
428.25,2024-10-03
424.75,2024-10-04
426.0,2024-10-07
420.75,2024-10-08
421.0,2024-10-09
418.5,2024-10-10
415.75,2024-10-11
408.25,2024-10-14
401.25,2024-10-15
404.75,2024-10-16
406.75,2024-10-17
404.75,2024-10-18
409.5,2024-10-21
416.5,2024-10-22
419.0,2024-10-23
421.5,2024-10-24
415.25,2024-10-25
410.75,2024-10-28
413.75,2024-10-29
411.5,2024-10-30
