close,date
38859.0,2024-06-18
39147.0,2024-06-20
39261.94921875,2024-06-21
39844.0,2024-06-24
39526.0,2024-06-25
39540.0,2024-06-26
39550.0,2024-06-27
39469.0,2024-06-28
39511.0,2024-07-01
39688.0,2024-07-02
39636.0,2024-07-03
39695.0,2024-07-05
39650.0,2024-07-08
39596.0,2024-07-09
40049.0,2024-07-10
40089.0,2024-07-11
40301.0,2024-07-12
40514.0,2024-07-15
41255.0,2024-07-16
41497.0,2024-07-17
40958.0,2024-07-18
40562.0,2024-07-19
40693.0,2024-07-22
40615.0,2024-07-23
40110.0,2024-07-24
40192.0,2024-07-25
40831.0,2024-07-26
40771.0,2024-07-29
40959.0,2024-07-30
41073.0,2024-07-31
40514.0,2024-08-01
39879.0,2024-08-02
38848.0,2024-08-05
39143.0,2024-08-06
38905.0,2024-08-07
39601.0,2024-08-08
39640.0,2024-08-09
39480.0,2024-08-12
39889.0,2024-08-13
40119.0,2024-08-14
40683.0,2024-08-15
40794.0,2024-08-16
41020.0,2024-08-19
40949.0,2024-08-20
41006.0,2024-08-21
40828.0,2024-08-22
41270.0,2024-08-23
41335.0,2024-08-26
41356.0,2024-08-27
41178.0,2024-08-28
41439.0,2024-08-29
41653.0,2024-08-30
41018.0,2024-09-03
41051.0,2024-09-04
40829.0,2024-09-05
40407.0,2024-09-06
40882.0,2024-09-09
40798.0,2024-09-10
40906.0,2024-09-11
41146.0,2024-09-12
41427.0,2024-09-13
41660.0,2024-09-16
41639.0,2024-09-17
41526.0,2024-09-18
42057.0,2024-09-19
41946.08984375,2024-09-20
42501.0,2024-09-23
42597.0,2024-09-24
42276.0,2024-09-25
42555.0,2024-09-26
42656.0,2024-09-27
42643.0,2024-09-30
42479.0,2024-10-01
42510.0,2024-10-02
42317.0,2024-10-03
42646.0,2024-10-04
42245.0,2024-10-07
42375.0,2024-10-08
42813.0,2024-10-09
42746.0,2024-10-10
43143.0,2024-10-11
43363.0,2024-10-14
43015.0,2024-10-15
43342.0,2024-10-16
43511.0,2024-10-17
43518.0,2024-10-18
43177.0,2024-10-21
43169.0,2024-10-22
42738.0,2024-10-23
42605.0,2024-10-24
42321.0,2024-10-25
42606.0,2024-10-28
42447.0,2024-10-29
42363.0,2024-10-30
41947.0,2024-10-31
42209.0,2024-11-01
41956.0,2024-11-04
42381.0,2024-11-05
43901.0,2024-11-06
43910.0,2024-11-07
44141.0,2024-11-08
44441.0,2024-11-11
44074.0,2024-11-12
44108.0,2024-11-13
43901.0,2024-11-14
43568.0,2024-11-15
43540.0,2024-11-18
43400.0,2024-11-19
43516.0,2024-11-20
43989.0,2024-11-21
44395.0,2024-11-22
44826.0,2024-11-25
44951.0,2024-11-26
44828.0,2024-11-27
45055.0,2024-11-29
44905.0,2024-12-02
44808.0,2024-12-03
45106.0,2024-12-04
44867.0,2024-12-05
44706.0,2024-12-06
44479.0,2024-12-09
44335.0,2024-12-10
44222.0,2024-12-11
43977.0,2024-12-12
43866.0,2024-12-13
43768.0,2024-12-16
43474.0,2024-12-17
42323.0,2024-12-18
42358.0,2024-12-19
42197.66015625,2024-12-20
43319.0,2024-12-23
43645.0,2024-12-24
43702.0,2024-12-26
43344.0,2024-12-27
42927.0,2024-12-30
42873.0,2024-12-31
42694.0,2025-01-02
43021.0,2025-01-03
42982.0,2025-01-06
42803.0,2025-01-07
42878.0,2025-01-08
42822.0,2025-01-09
42160.0,2025-01-10
42523.0,2025-01-13
42752.0,2025-01-14
43466.0,2025-01-15
43372.0,2025-01-16
