close,date
20052.0,2024-07-01
20255.25,2024-07-02
20411.5,2024-07-03
20620.75,2024-07-05
20659.75,2024-07-08
20678.5,2024-07-09
20899.75,2024-07-10
20441.75,2024-07-11
20524.0,2024-07-12
20583.75,2024-07-15
20598.0,2024-07-16
19997.5,2024-07-17
19899.25,2024-07-18
19713.0,2024-07-19
20001.0,2024-07-22
19925.0,2024-07-23
19203.25,2024-07-24
18992.25,2024-07-25
19174.5,2024-07-26
19209.25,2024-07-29
18936.25,2024-07-30
19505.25,2024-07-31
19023.25,2024-08-01
18556.25,2024-08-02
18013.25,2024-08-05
18179.0,2024-08-06
17966.5,2024-08-07
18525.25,2024-08-08
18616.0,2024-08-09
18639.5,2024-08-12
19104.25,2024-08-13
19115.0,2024-08-14
19581.25,2024-08-15
19605.75,2024-08-16
19857.75,2024-08-19
19809.5,2024-08-20
19909.5,2024-08-21
19578.25,2024-08-22
19790.75,2024-08-23
19591.25,2024-08-26
19653.75,2024-08-27
19415.75,2024-08-28
19393.25,2024-08-29
19623.0,2024-08-30
19006.5,2024-09-03
18962.5,2024-09-04
18963.5,2024-09-05
18458.25,2024-09-06
18692.25,2024-09-09
18864.0,2024-09-10
19271.0,2024-09-11
19447.25,2024-09-12
19530.25,2024-09-13
19433.0,2024-09-16
19439.25,2024-09-17
19349.25,2024-09-18
19850.25,2024-09-19
19808.009765625,2024-09-20
20080.0,2024-09-23
20167.75,2024-09-24
20192.0,2024-09-25
20346.25,2024-09-26
20221.5,2024-09-27
20261.25,2024-09-30
19975.0,2024-10-01
20009.75,2024-10-02
19990.25,2024-10-03
20227.25,2024-10-04
19992.75,2024-10-07
20298.5,2024-10-08
20463.5,2024-10-09
20429.75,2024-10-10
20450.0,2024-10-11
20619.25,2024-10-14
20342.0,2024-10-15
20349.5,2024-10-16
20368.0,2024-10-17
20483.5,2024-10-18
20519.5,2024-10-21
20542.0,2024-10-22
20220.5,2024-10-23
20380.25,2024-10-24
20498.75,2024-10-25
20497.0,2024-10-28
20696.5,2024-10-29
20534.75,2024-10-30
20021.75,2024-10-31
20153.25,2024-11-01
20086.0,2024-11-04
20341.75,2024-11-05
20894.0,2024-11-06
21224.75,2024-11-07
21231.25,2024-11-08
21217.75,2024-11-11
21189.5,2024-11-12
21159.5,2024-11-13
21011.75,2024-11-14
20493.75,2024-11-15
20633.5,2024-11-18
20767.75,2024-11-19
20749.0,2024-11-20
20829.5,2024-11-21
20849.75,2024-11-22
20880.25,2024-11-25
20993.5,2024-11-26
20813.0,2024-11-27
20993.5,2024-11-29
21218.0,2024-12-02
21281.5,2024-12-03
21536.5,2024-12-04
21473.25,2024-12-05
21656.75,2024-12-06
21483.75,2024-12-09
21405.25,2024-12-10
21793.5,2024-12-11
21651.25,2024-12-12
21795.75,2024-12-13
22110.25,2024-12-16
22014.75,2024-12-17
21218.75,2024-12-18
21112.75,2024-12-19
20947.98046875,2024-12-20
21753.25,2024-12-23
22028.5,2024-12-24
22008.0,2024-12-26
21698.5,2024-12-27
21416.25,2024-12-30
21226.5,2024-12-31
21167.5,2025-01-02
21516.5,2025-01-03
21744.5,2025-01-06
21359.75,2025-01-07
21360.75,2025-01-08
21301.5,2025-01-09
21016.0,2025-01-10
20947.25,2025-01-13
20919.5,2025-01-14
21400.25,2025-01-15
21249.75,2025-01-16
21594.75,2025-01-17
21709.5,2025-01-21
22000.5,2025-01-22
22038.25,2025-01-23
21911.25,2025-01-24
21258.5,2025-01-27
21581.75,2025-01-28
21523.25,2025-01-29
21624.75,2025-01-30
21589.25,2025-01-31
21405.0,2025-02-03
21670.25,2025-02-04
21763.0,2025-02-05
21871.75,2025-02-06
21590.75,2025-02-07
21846.5,2025-02-10
21786.75,2025-02-11
21804.75,2025-02-12
22113.25,2025-02-13
22196.25,2025-02-14
22232.25,2025-02-18
22250.5,2025-02-19
22141.75,2025-02-20
21679.25,2025-02-21
21420.25,2025-02-24
21149.0,2025-02-25
21187.0,2025-02-26
20605.75,2025-02-27
20919.5,2025-02-28
20468.25,2025-03-03
20399.0,2025-03-04
20665.0,2025-03-05
20089.25,2025-03-06
20229.75,2025-03-07
19452.75,2025-03-10
19399.0,2025-03-11
19618.5,2025-03-12
19249.0,2025-03-13
19712.0,2025-03-14
19831.75,2025-03-17
19496.75,2025-03-18
19746.75,2025-03-19
19678.5,2025-03-20
19450.810546875,2025-03-21
20374.25,2025-03-24
20488.5,2025-03-25
20116.5,2025-03-26
19990.25,2025-03-27
19457.0,2025-03-28
19439.5,2025-03-31
19604.5,2025-04-01
19758.0,2025-04-02
18675.5,2025-04-03
