close,date
5533.75,2024-07-01
5568.75,2024-07-02
5590.25,2024-07-03
5621.5,2024-07-05
5625.25,2024-07-08
5631.25,2024-07-09
5688.0,2024-07-10
5639.75,2024-07-11
5664.75,2024-07-12
5683.0,2024-07-15
5717.25,2024-07-16
5639.0,2024-07-17
5594.5,2024-07-18
5553.75,2024-07-19
5610.75,2024-07-22
5599.25,2024-07-23
5472.0,2024-07-24
5441.25,2024-07-25
5499.0,2024-07-26
5503.0,2024-07-29
5472.5,2024-07-30
5558.0,2024-07-31
5480.25,2024-08-01
5376.0,2024-08-02
5217.5,2024-08-05
5266.25,2024-08-06
5227.5,2024-08-07
5348.25,2024-08-08
5370.25,2024-08-09
5369.75,2024-08-12
5459.0,2024-08-13
5477.0,2024-08-14
5567.5,2024-08-15
5578.25,2024-08-16
5630.0,2024-08-19
5619.75,2024-08-20
5641.5,2024-08-21
5594.0,2024-08-22
5652.5,2024-08-23
5637.0,2024-08-26
5644.75,2024-08-27
5610.25,2024-08-28
5610.0,2024-08-29
5661.0,2024-08-30
5541.75,2024-09-03
5530.0,2024-09-04
5512.25,2024-09-05
5419.5,2024-09-06
5479.5,2024-09-09
5504.0,2024-09-10
5561.25,2024-09-11
5602.25,2024-09-12
5629.75,2024-09-13
5638.0,2024-09-16
5639.0,2024-09-17
5620.75,2024-09-18
5717.75,2024-09-19
5699.990234375,2024-09-20
5776.75,2024-09-23
5792.0,2024-09-24
5779.0,2024-09-25
5804.5,2024-09-26
5791.25,2024-09-27
5814.25,2024-09-30
5759.75,2024-10-01
5760.25,2024-10-02
5749.5,2024-10-03
5800.0,2024-10-04
5744.75,2024-10-07
5800.5,2024-10-08
5841.25,2024-10-09
5829.0,2024-10-10
5859.75,2024-10-11
5908.25,2024-10-14
5862.75,2024-10-15
5887.0,2024-10-16
5887.0,2024-10-17
5906.0,2024-10-18
5896.25,2024-10-21
5892.5,2024-10-22
5837.75,2024-10-23
5849.0,2024-10-24
5846.0,2024-10-25
5861.5,2024-10-28
5871.0,2024-10-29
5852.0,2024-10-30
5738.5,2024-10-31
5758.25,2024-11-01
5743.25,2024-11-04
5812.25,2024-11-05
5958.25,2024-11-06
6003.75,2024-11-07
6025.25,2024-11-08
6031.75,2024-11-11
6013.0,2024-11-12
6016.0,2024-11-13
5978.25,2024-11-14
5896.5,2024-11-15
5920.0,2024-11-18
5938.75,2024-11-19
5937.75,2024-11-20
5970.5,2024-11-21
5987.0,2024-11-22
6006.5,2024-11-25
6038.25,2024-11-26
6015.0,2024-11-27
6051.5,2024-11-29
6061.75,2024-12-02
6063.25,2024-12-03
6098.5,2024-12-04
6088.75,2024-12-05
6099.0,2024-12-06
