close,date
102.05859375,2024-07-02
102.15234375,2024-07-03
102.33203125,2024-07-05
102.30078125,2024-07-08
102.2734375,2024-07-09
102.26171875,2024-07-10
102.50390625,2024-07-11
102.58203125,2024-07-12
102.58984375,2024-07-15
102.609375,2024-07-16
102.6328125,2024-07-17
102.56640625,2024-07-18
102.47265625,2024-07-19
102.4375,2024-07-22
102.5078125,2024-07-23
102.55859375,2024-07-24
102.5,2024-07-25
102.59765625,2024-07-26
102.59375,2024-07-29
102.6484375,2024-07-30
102.68359375,2024-07-31
103.02734375,2024-08-01
103.58203125,2024-08-02
103.5546875,2024-08-05
103.35546875,2024-08-06
103.3125,2024-08-07
103.2265625,2024-08-08
103.19140625,2024-08-09
103.26171875,2024-08-12
103.39453125,2024-08-13
103.37890625,2024-08-14
103.08203125,2024-08-15
103.12890625,2024-08-16
103.12890625,2024-08-19
103.24609375,2024-08-20
103.38671875,2024-08-21
103.20703125,2024-08-22
103.37109375,2024-08-23
103.3359375,2024-08-26
103.38671875,2024-08-27
103.375,2024-08-28
103.3203125,2024-08-29
103.2734375,2024-08-30
103.359375,2024-09-03
103.59375,2024-09-04
103.65234375,2024-09-05
103.8359375,2024-09-06
103.83984375,2024-09-09
103.9140625,2024-09-10
103.85546875,2024-09-11
103.83984375,2024-09-12
104.0,2024-09-13
104.08984375,2024-09-16
103.98828125,2024-09-17
103.9921875,2024-09-18
104.046875,2024-09-19
104.09375,2024-09-20
104.08984375,2024-09-23
104.140625,2024-09-24
103.92578125,2024-09-25
103.96875,2024-09-26
104.10546875,2024-09-27
104.03125,2024-09-30
104.1796875,2024-10-01
104.13671875,2024-10-02
103.98046875,2024-10-03
103.53515625,2024-10-04
103.390625,2024-10-07
103.43359375,2024-10-08
103.34765625,2024-10-09
103.37890625,2024-10-10
103.4765625,2024-10-11
103.359375,2024-10-14
103.453125,2024-10-15
103.48828125,2024-10-16
103.38671875,2024-10-17
103.4453125,2024-10-18
103.28125,2024-10-21
103.2421875,2024-10-22
103.14453125,2024-10-23
103.19921875,2024-10-24
103.12890625,2024-10-25
103.046875,2024-10-28
103.078125,2024-10-29
103.0078125,2024-10-30
102.97265625,2024-10-31
102.8984375,2024-11-01
102.94140625,2024-11-04
102.87109375,2024-11-05
102.74609375,2024-11-06
102.828125,2024-11-07
102.76953125,2024-11-08
102.66796875,2024-11-11
102.59765625,2024-11-12
102.69921875,2024-11-13
102.67578125,2024-11-14
102.65234375,2024-11-15
102.67578125,2024-11-18
102.6953125,2024-11-19
102.625,2024-11-20
102.5546875,2024-11-21
102.52734375,2024-11-22
102.69140625,2024-11-25
102.69140625,2024-11-26
102.765625,2024-11-27
102.84375,2024-11-29
102.80078125,2024-12-02
102.859375,2024-12-03
102.984375,2024-12-04
102.97265625,2024-12-05
103.0703125,2024-12-06
103.0625,2024-12-09
103.02734375,2024-12-10
103.0390625,2024-12-11
102.97265625,2024-12-12
102.890625,2024-12-13
102.90625,2024-12-16
102.9296875,2024-12-17
102.69140625,2024-12-18
102.83984375,2024-12-19
102.828125,2024-12-20
102.80078125,2024-12-23
102.82421875,2024-12-24
102.828125,2024-12-26
102.84375,2024-12-27
102.9765625,2024-12-30
102.97265625,2024-12-31
102.8046875,2025-01-02
102.74609375,2025-01-03
102.76171875,2025-01-06
102.71484375,2025-01-07
102.73046875,2025-01-08
102.78125,2025-01-09
102.51171875,2025-01-10
102.50390625,2025-01-13
102.56640625,2025-01-14
102.75390625,2025-01-15
102.8046875,2025-01-16
102.734375,2025-01-17
102.7265625,2025-01-21
102.69921875,2025-01-22
102.7265625,2025-01-23
102.75390625,2025-01-24
102.90625,2025-01-27
102.88671875,2025-01-28
102.84375,2025-01-29
102.89453125,2025-01-30
102.8125,2025-01-31
102.7578125,2025-02-03
102.84765625,2025-02-04
102.90234375,2025-02-05
102.86328125,2025-02-06
102.72265625,2025-02-07
102.73828125,2025-02-10
102.69921875,2025-02-11
102.5546875,2025-02-12
102.6640625,2025-02-13
102.76171875,2025-02-14
102.69140625,2025-02-18
102.73828125,2025-02-19
102.75,2025-02-20
102.88671875,2025-02-21
102.93359375,2025-02-24
103.05859375,2025-02-25
103.09375,2025-02-26
103.0625,2025-02-27
103.2265625,2025-02-28
103.25,2025-03-03
103.3046875,2025-03-04
103.26171875,2025-03-05
103.32421875,2025-03-06
103.25390625,2025-03-07
103.46484375,2025-03-10
103.3984375,2025-03-11
103.30859375,2025-03-12
103.38671875,2025-03-13
103.265625,2025-03-14
103.19921875,2025-03-17
103.24609375,2025-03-18
103.36328125,2025-03-19
103.41015625,2025-03-20
103.42578125,2025-03-21
103.3046875,2025-03-24
103.37109375,2025-03-25
103.31640625,2025-03-26
103.33984375,2025-03-27
103.47265625,2025-03-28
103.53515625,2025-03-31
103.67578125,2025-04-01
103.59765625,2025-04-02
103.94921875,2025-04-03
104.0703125,2025-04-04
103.94140625,2025-04-07
103.93359375,2025-04-08
103.5078125,2025-04-09
103.6953125,2025-04-10
103.4921875,2025-04-11
103.7265625,2025-04-14
103.734375,2025-04-15
103.8125,2025-04-16
103.79296875,2025-04-17
103.88671875,2025-04-21
103.76953125,2025-04-22
103.62890625,2025-04-23
103.7578125,2025-04-24
103.8125,2025-04-25
103.9609375,2025-04-28
104.00390625,2025-04-29
104.07421875,2025-04-30
103.91015625,2025-05-01
103.6328125,2025-05-02
103.6328125,2025-05-05
103.734375,2025-05-06
103.7265625,2025-05-07
103.52734375,2025-05-08
103.546875,2025-05-09
103.3203125,2025-05-12
103.2890625,2025-05-13
103.2109375,2025-05-14
103.35546875,2025-05-15
103.328125,2025-05-16
103.3359375,2025-05-19
103.359375,2025-05-20
103.27734375,2025-05-21
103.3046875,2025-05-22
103.3203125,2025-05-23
103.36328125,2025-05-27
103.28125,2025-05-28
103.3671875,2025-05-29
103.42578125,2025-05-30
103.37109375,2025-06-02
103.3515625,2025-06-03
103.5,2025-06-04
103.4296875,2025-06-05
103.21875,2025-06-06
103.3125,2025-06-09
103.2890625,2025-06-10
103.4375,2025-06-11
103.51171875,2025-06-12
103.4140625,2025-06-13
103.41796875,2025-06-16
103.453125,2025-06-17
103.421875,2025-06-18
103.4921875,2025-06-20
103.6171875,2025-06-23
103.68359375,2025-06-24
103.72265625,2025-06-25
103.80859375,2025-06-26
103.77734375,2025-06-27
103.796875,2025-06-30
103.89453125,2025-07-01
103.875,2025-07-02
103.6875,2025-07-03
103.73046875,2025-07-04
103.65234375,2025-07-07
103.640625,2025-07-08
103.7265625,2025-07-09
103.70703125,2025-07-10
103.61328125,2025-07-11
103.64453125,2025-07-14
103.5234375,2025-07-15
103.66015625,2025-07-16
103.59765625,2025-07-17
103.66796875,2025-07-18
103.71875,2025-07-21
103.7578125,2025-07-22
103.66015625,2025-07-23
103.57421875,2025-07-24
103.58984375,2025-07-25
103.5625,2025-07-28
103.65234375,2025-07-29
103.52734375,2025-07-30
103.4921875,2025-07-31
103.9609375,2025-08-01
104.0,2025-08-04
103.9296875,2025-08-05
103.95703125,2025-08-06
103.890625,2025-08-07
103.83984375,2025-08-08
103.84375,2025-08-11
103.890625,2025-08-12
103.96484375,2025-08-13
103.8671875,2025-08-14
103.8203125,2025-08-15
103.7890625,2025-08-18
103.8203125,2025-08-19
103.83984375,2025-08-20
103.7578125,2025-08-21
103.94140625,2025-08-22
103.85546875,2025-08-25
103.94921875,2025-08-26
103.984375,2025-08-27
103.9609375,2025-08-28
103.98828125,2025-08-29
103.9296875,2025-09-02
104.0078125,2025-09-03
104.046875,2025-09-04
104.19921875,2025-09-05
104.21875,2025-09-08
104.12890625,2025-09-09
104.140625,2025-09-10
104.16015625,2025-09-11
104.1015625,2025-09-12
104.1328125,2025-09-15
104.171875,2025-09-16
104.08984375,2025-09-17
104.0625,2025-09-18
104.0390625,2025-09-19
104.015625,2025-09-22
104.02734375,2025-09-23
103.98828125,2025-09-24
103.8671875,2025-09-25
103.8984375,2025-09-26
103.921875,2025-09-29
103.97265625,2025-09-30
104.30859375,2025-10-01
104.30078125,2025-10-02
104.25,2025-10-03
104.203125,2025-10-06
104.25390625,2025-10-07
104.22265625,2025-10-08
104.1875,2025-10-09
104.3359375,2025-10-10
104.37890625,2025-10-13
104.421875,2025-10-14
104.3671875,2025-10-15
104.515625,2025-10-16
104.4375,2025-10-17
104.4375,2025-10-20
104.453125,2025-10-21
104.46875,2025-10-22
104.390625,2025-10-23
104.3828125,2025-10-24
104.34765625,2025-10-27
104.34765625,2025-10-28
104.1796875,2025-10-29
104.12109375,2025-10-30
104.12109375,2025-10-31
104.13671875,2025-11-03
104.16796875,2025-11-04
104.0703125,2025-11-05
104.1953125,2025-11-06
104.2109375,2025-11-07
104.14453125,2025-11-10
104.21484375,2025-11-11
104.18359375,2025-11-12
104.13671875,2025-11-13
104.0859375,2025-11-14
104.09375,2025-11-17
