close,date,high,low,open,volume
59145.0,2024-06-24,64005.0,58410.0,64005.0,15686
62055.0,2024-06-25,62460.0,59890.0,59950.0,13612
60940.0,2024-06-26,62495.0,60690.0,61995.0,9045
61365.0,2024-06-27,62415.0,60605.0,61000.0,6717
61024.23046875,2024-06-28,62210.0,60895.0,61415.0,8336
63695.0,2024-07-01,64335.0,62085.0,62085.0,9316
62185.0,2024-07-02,63630.0,62035.0,63535.0,6486
59825.0,2024-07-03,62510.0,59740.0,62275.0,7862
56685.0,2024-07-05,60635.0,53635.0,60300.0,18530
56755.0,2024-07-08,58525.0,54580.0,56850.0,10642
58160.0,2024-07-09,58570.0,56540.0,56825.0,7065
57625.0,2024-07-10,59740.0,57365.0,58120.0,6654
57580.0,2024-07-11,59895.0,57235.0,57685.0,7909
57845.0,2024-07-12,58790.0,56685.0,57565.0,6811
63700.0,2024-07-15,64210.0,60845.0,60985.0,13383
65450.0,2024-07-16,65505.0,62680.0,63845.0,11092
64730.0,2024-07-17,66295.0,64015.0,64805.0,8505
63650.0,2024-07-18,65390.0,63340.0,64540.0,7890
67480.0,2024-07-19,67740.0,63430.0,64045.0,17385
68340.0,2024-07-22,68655.0,66670.0,68655.0,13300
65565.0,2024-07-23,68135.0,65495.0,68095.0,12316
65700.0,2024-07-24,67230.0,65535.0,65895.0,10505
64695.0,2024-07-25,65770.0,63440.0,65740.0,8955
67414.7890625,2024-07-26,68010.0,65620.0,65700.0,8446
67860.0,2024-07-29,70825.0,67035.0,68930.0,12489
66385.0,2024-07-30,68135.0,65800.0,67970.0,8097
65685.0,2024-07-31,67360.0,65030.0,66835.0,7240
63790.0,2024-08-01,65720.0,62615.0,65365.0,11015
62945.0,2024-08-02,66065.0,62470.0,65200.0,11759
53770.0,2024-08-05,59445.0,49365.0,58885.0,30884
57145.0,2024-08-06,57420.0,54230.0,54705.0,11490
55000.0,2024-08-07,58030.0,54870.0,56805.0,9708
59695.0,2024-08-08,60240.0,54790.0,55635.0,11456
60990.0,2024-08-09,62970.0,59810.0,60620.0,8408
59200.0,2024-08-12,60910.0,57945.0,59250.0,8516
61105.0,2024-08-13,61895.0,58600.0,59415.0,7446
59080.0,2024-08-14,62200.0,58855.0,61270.0,7782
57220.0,2024-08-15,60050.0,56295.0,59000.0,9285
59990.0,2024-08-16,60130.0,57270.0,57755.0,10524
59200.0,2024-08-19,59810.0,58000.0,59700.0,6577
59670.0,2024-08-20,61650.0,58690.0,59175.0,10871
61730.0,2024-08-21,61995.0,58900.0,59365.0,8981
60350.0,2024-08-22,61700.0,59840.0,61410.0,9974
63815.0,2024-08-23,64000.0,60365.0,60610.0,19987
63330.0,2024-08-26,65200.0,63120.0,64500.0,11300
62055.0,2024-08-27,63510.0,61445.0,63255.0,11849
58950.0,2024-08-28,60485.0,57885.0,60485.0,13769
59275.0,2024-08-29,61235.0,58825.0,59220.0,9497
59165.640625,2024-08-30,59900.0,58700.0,59020.0,9451
58240.0,2024-09-03,60185.0,57315.0,58645.0,11642
58355.0,2024-09-04,58840.0,55725.0,58365.0,10982
56215.0,2024-09-05,58665.0,55955.0,58485.0,10653
53695.0,2024-09-06,57270.0,52820.0,56375.0,14268
57410.0,2024-09-09,57480.0,54545.0,54565.0,14268
58195.0,2024-09-10,58265.0,56610.0,57500.0,6715
57860.0,2024-09-11,58210.0,55645.0,57765.0,12196
58580.0,2024-09-12,58755.0,57415.0,57545.0,7146
59935.0,2024-09-13,60245.0,57810.0,58180.0,9727
57985.0,2024-09-16,59920.0,57550.0,59920.0,9573
60105.0,2024-09-17,61560.0,57665.0,58020.0,14607
60140.0,2024-09-18,61495.0,59270.0,60395.0,10263
63415.0,2024-09-19,64045.0,60345.0,60420.0,11001
62935.0,2024-09-20,64200.0,62430.0,63000.0,10825
63360.0,2024-09-23,64835.0,62430.0,62935.0,10084
64460.0,2024-09-24,64720.0,62745.0,63360.0,12625
63200.0,2024-09-25,64975.0,63005.0,64205.0,10119
64735.0,2024-09-26,65920.0,62670.0,63440.0,11420
66196.90625,2024-09-27,66240.0,64860.0,65185.0,10156
63745.0,2024-09-30,66400.0,63340.0,66285.0,12426
61965.0,2024-10-01,64430.0,60450.0,64040.0,13503
60430.0,2024-10-02,62665.0,60265.0,61360.0,9309
61295.0,2024-10-03,61685.0,60070.0,61000.0,6977
62715.0,2024-10-04,63085.0,60635.0,61125.0,7563
63560.0,2024-10-07,64770.0,62615.0,62675.0,8352
62400.0,2024-10-08,63600.0,61995.0,63600.0,6539
61115.0,2024-10-09,62720.0,60440.0,62545.0,6181
59795.0,2024-10-10,61450.0,58945.0,60920.0,8549
63305.0,2024-10-11,63675.0,59990.0,60220.0,12263
66145.0,2024-10-14,66580.0,62645.0,63150.0,13384
67220.0,2024-10-15,68225.0,65005.0,65950.0,15057
67925.0,2024-10-16,68695.0,66665.0,66670.0,8332
66905.0,2024-10-17,68150.0,66765.0,67810.0,7484
68785.0,2024-10-18,69255.0,67245.0,67245.0,12552
67790.0,2024-10-21,69635.0,66855.0,69295.0,14146
67490.0,2024-10-22,67860.0,66565.0,67780.0,10746
66360.0,2024-10-23,67870.0,65210.0,67610.0,12272
68215.0,2024-10-24,68345.0,66330.0,66430.0,6809
68430.5078125,2024-10-25,68685.0,67315.0,68500.0,10944
70300.0,2024-10-28,70600.0,68070.0,68185.0,8448
73340.0,2024-10-29,74485.0,70460.0,70500.0,13100
72535.0,2024-10-30,73775.0,72135.0,73170.0,7999
70465.0,2024-10-31,73600.0,70080.0,73290.0,11205
69730.0,2024-11-01,72190.0,69230.0,70885.0,11898
67680.0,2024-11-04,69785.0,67140.0,69000.0,10301
69860.0,2024-11-05,70980.0,67740.0,68250.0,8871
76875.0,2024-11-06,77140.0,69645.0,70000.0,29081
77180.0,2024-11-07,77535.0,75070.0,76395.0,11723
77360.0,2024-11-08,77930.0,76225.0,76510.0,10585
87735.0,2024-11-11,89140.0,80670.0,81210.0,22345
90090.0,2024-11-12,90725.0,85890.0,88735.0,21811
90255.0,2024-11-13,94065.0,86925.0,89320.0,20471
87920.0,2024-11-14,92335.0,87345.0,89990.0,12045
91985.0,2024-11-15,92350.0,87005.0,87970.0,12201
92060.0,2024-11-18,93215.0,89755.0,90195.0,12505
93060.0,2024-11-19,94715.0,90770.0,91840.0,14591
94740.0,2024-11-20,95565.0,92005.0,92330.0,13156
98735.0,2024-11-21,99575.0,94290.0,94665.0,20641
99485.0,2024-11-22,100170.0,97430.0,98860.0,17264
94945.0,2024-11-25,99275.0,93490.0,98555.0,18093
90995.0,2024-11-26,95225.0,90785.0,94350.0,15780
96785.0,2024-11-27,97500.0,91475.0,91695.0,10755
98339.7578125,2024-11-29,98560.0,94760.0,96415.0,9278
96635.0,2024-12-02,99565.0,95270.0,98875.0,12122
96535.0,2024-12-03,97395.0,94435.0,96380.0,9601
99915.0,2024-12-04,100280.0,95390.0,97040.0,13087
99775.0,2024-12-05,105325.0,98610.0,99390.0,19550
102435.0,2024-12-06,102990.0,96155.0,97320.0,11218
96790.0,2024-12-09,102265.0,94640.0,101300.0,14138
96975.0,2024-12-10,98985.0,94785.0,97490.0,11149
102150.0,2024-12-11,102465.0,96290.0,97550.0,13648
100405.0,2024-12-12,103225.0,99775.0,102000.0,12579
102300.0,2024-12-13,102605.0,99620.0,100875.0,11146
106560.0,2024-12-16,108475.0,103670.0,103670.0,15357
107190.0,2024-12-17,108960.0,106000.0,106395.0,11429
100870.0,2024-12-18,106960.0,100325.0,106500.0,18669
96505.0,2024-12-19,103190.0,95765.0,101385.0,19910
96600.0,2024-12-20,98435.0,92355.0,98415.0,20236
93270.0,2024-12-23,96595.0,92460.0,95730.0,14664
99100.0,2024-12-24,99685.0,93545.0,95015.0,10649
95525.0,2024-12-26,99995.0,95095.0,98555.0,8202
94568.296875,2024-12-27,97045.0,94450.0,95785.0,7880
94955.0,2024-12-30,95580.0,91735.0,93995.0,8813
