close,date,high,low,open,volume
443.75,2024-06-17,450.0,443.25,448.0,172134
450.0,2024-06-18,452.0,443.75,444.25,191652
439.75,2024-06-20,449.5,439.25,448.25,229750
435.0,2024-06-21,442.5,434.25,440.0,217553
433.5,2024-06-24,436.0,425.0,435.0,203582
425.5,2024-06-25,434.5,423.5,433.5,172164
420.0,2024-06-26,430.0,418.75,425.0,161453
413.75,2024-06-27,421.25,413.5,420.0,142693
397.25,2024-06-28,419.0,390.5,414.0,15899
398.25,2024-07-01,401.25,391.75,397.25,1731
402.0,2024-07-02,403.75,398.25,398.25,764
403.5,2024-07-03,405.0,399.0,402.25,584
411.25,2024-07-05,412.0,405.5,406.0,398
395.75,2024-07-08,411.75,394.5,411.75,666
400.25,2024-07-09,406.75,397.0,400.25,585
403.25,2024-07-10,405.75,399.75,399.75,214
406.75,2024-07-11,411.0,406.75,411.0,65
400.0,2024-07-12,400.0,395.25,395.75,211323
390.5,2024-07-15,403.0,389.5,403.0,140155
395.75,2024-07-16,398.0,390.0,390.0,133849
398.0,2024-07-17,400.0,395.0,395.75,115086
391.25,2024-07-18,399.0,390.0,398.0,114790
390.5,2024-07-19,396.25,390.0,391.0,111883
400.25,2024-07-22,401.0,391.0,391.0,150907
402.5,2024-07-23,407.0,397.25,399.0,143835
403.75,2024-07-24,409.5,399.0,401.5,149625
406.0,2024-07-25,408.75,402.0,403.0,119013
394.5,2024-07-26,406.5,394.0,405.75,154397
396.25,2024-07-29,397.0,390.0,392.75,142225
388.75,2024-07-30,396.75,387.25,396.0,123321
382.75,2024-07-31,390.5,381.0,387.75,156261
382.0,2024-08-01,384.0,378.0,382.5,116742
386.5,2024-08-02,387.75,381.75,383.0,113751
390.75,2024-08-05,391.75,378.75,385.75,157029
388.75,2024-08-06,393.0,385.75,390.75,107227
383.25,2024-08-07,388.0,381.75,387.75,199142
379.25,2024-08-08,386.5,378.5,383.0,157714
376.75,2024-08-09,381.25,375.25,379.0,157231
383.25,2024-08-12,385.25,372.5,376.25,203695
377.75,2024-08-13,385.0,376.25,382.75,172577
381.0,2024-08-14,382.0,376.0,377.25,125031
375.0,2024-08-15,383.5,374.5,380.75,151990
370.5,2024-08-16,375.75,367.75,374.5,137465
378.0,2024-08-19,378.5,370.0,370.25,151084
375.0,2024-08-20,378.5,374.75,377.75,122507
375.5,2024-08-21,378.0,374.0,374.75,96191
371.5,2024-08-22,376.5,370.75,375.5,131932
367.75,2024-08-23,374.0,367.25,371.0,138358
362.0,2024-08-26,367.5,360.5,367.25,143588
367.25,2024-08-27,369.25,360.75,361.5,161618
365.25,2024-08-28,367.75,362.25,367.0,160784
371.75,2024-08-29,372.75,363.75,364.25,100531
378.0,2024-08-30,378.75,371.0,371.25,6393
386.5,2024-09-03,386.75,376.5,378.0,3017
390.5,2024-09-04,391.25,383.0,385.5,1519
390.0,2024-09-05,390.0,386.75,389.0,485
383.75,2024-09-06,395.25,383.0,389.75,504
384.25,2024-09-09,385.25,381.0,383.75,504
379.5,2024-09-10,382.75,379.5,382.75,296
380.5,2024-09-11,381.25,377.0,379.75,117
386.25,2024-09-12,387.5,380.5,380.5,123
390.75,2024-09-13,394.0,381.0,381.25,229028
410.75,2024-09-16,413.0,408.5,413.0,150818
412.5,2024-09-17,413.0,408.5,410.0,123973
412.75,2024-09-18,415.0,411.0,412.0,134644
405.75,2024-09-19,413.0,405.25,412.25,166204
401.75,2024-09-20,407.25,401.5,406.0,178231
413.5,2024-09-23,414.25,401.25,401.5,228072
411.75,2024-09-24,418.25,410.0,413.0,210496
415.25,2024-09-25,415.5,408.5,411.75,158957
413.25,2024-09-26,419.25,412.5,414.75,204872
418.0,2024-09-27,419.75,410.75,413.0,218578
424.75,2024-09-30,427.75,415.5,416.5,272926
429.0,2024-10-01,432.5,421.75,423.5,262757
432.5,2024-10-02,434.25,428.5,428.5,239747
428.25,2024-10-03,433.25,427.5,431.5,181331
424.75,2024-10-04,427.5,423.0,427.5,165354
426.0,2024-10-07,427.0,421.25,424.0,161439
420.75,2024-10-08,428.0,419.25,426.0,229659
421.0,2024-10-09,423.5,420.0,420.25,148815
418.5,2024-10-10,424.0,418.0,421.0,171360
415.75,2024-10-11,422.75,415.25,418.5,224069
408.25,2024-10-14,415.25,407.5,415.0,257782
401.25,2024-10-15,408.0,400.5,408.0,305403
404.75,2024-10-16,406.75,401.0,401.25,214285
406.75,2024-10-17,407.5,399.0,404.5,255482
404.75,2024-10-18,409.5,403.75,406.75,193538
409.5,2024-10-21,411.75,403.0,403.75,241760
416.5,2024-10-22,417.0,408.25,409.0,267224
419.0,2024-10-23,420.0,414.0,416.0,246005
421.5,2024-10-24,424.0,418.25,418.75,287987
415.25,2024-10-25,421.0,414.5,420.5,247609
410.75,2024-10-28,414.75,410.0,413.25,251359
413.75,2024-10-29,414.75,410.0,410.0,197431
411.5,2024-10-30,414.25,411.0,413.25,170092
410.75,2024-10-31,412.75,409.25,411.5,238814
414.5,2024-11-01,415.75,410.5,410.75,197406
416.5,2024-11-04,420.0,413.0,414.0,219138
418.5,2024-11-05,419.75,415.25,416.25,167928
426.25,2024-11-06,426.75,414.25,418.0,283193
427.5,2024-11-07,428.5,422.25,425.75,310584
