close,date,high,low,open,volume
1175.25,2024-06-24,1179.5,1156.25,1160.5,88889
1163.25,2024-06-25,1180.0,1157.75,1175.0,83116
1162.75,2024-06-26,1177.5,1160.0,1163.0,67870
1152.25,2024-06-27,1169.5,1150.75,1161.5,32512
1150.5,2024-06-28,1167.0,1146.25,1152.0,4183
1159.5,2024-07-01,1161.75,1148.25,1148.25,1313
1165.0,2024-07-02,1175.0,1159.25,1159.25,1375
1176.5,2024-07-03,1180.25,1162.0,1162.25,924
1188.5,2024-07-05,1191.5,1172.25,1172.25,812
1174.25,2024-07-08,1181.75,1167.25,1181.75,985
1161.5,2024-07-09,1185.0,1160.0,1177.0,839
1141.25,2024-07-10,1165.25,1135.75,1165.25,698
1142.75,2024-07-11,1145.0,1137.0,1145.0,108
1134.5,2024-07-12,1134.5,1134.5,1134.5,41399
1078.0,2024-07-15,1101.0,1075.75,1100.0,35655
1090.5,2024-07-16,1096.5,1076.75,1076.75,37408
1097.25,2024-07-17,1102.5,1090.0,1090.0,41677
1098.5,2024-07-18,1101.0,1089.0,1097.5,35569
1097.25,2024-07-19,1107.75,1095.0,1098.0,25658
1117.75,2024-07-22,1119.75,1100.5,1100.5,40798
1117.5,2024-07-23,1129.0,1111.0,1116.5,51623
1111.0,2024-07-24,1123.25,1104.5,1115.25,34547
1116.0,2024-07-25,1120.5,1103.5,1111.0,38157
1077.5,2024-07-26,1117.25,1071.5,1113.25,61437
1054.75,2024-07-29,1073.75,1030.75,1073.75,37618
1027.25,2024-07-30,1059.0,1023.75,1054.75,16709
1028.5,2024-07-31,1048.5,1020.5,1027.25,2651
1022.0,2024-08-01,1034.0,1019.5,1030.0,1384
1029.25,2024-08-02,1031.5,1019.0,1022.0,633
1044.25,2024-08-05,1045.0,1021.5,1040.0,64
1028.5,2024-08-06,1038.25,1028.5,1033.0,694
1020.25,2024-08-07,1023.25,1017.25,1020.75,195
1009.75,2024-08-08,1023.25,1009.75,1023.25,172
1028.0,2024-08-09,1028.0,1014.5,1018.0,24
1012.0,2024-08-12,1038.25,1012.0,1020.5,12
989.0,2024-08-13,1003.0,989.0,1003.0,19
979.75,2024-08-14,989.75,979.75,989.5,15972
951.5,2024-08-15,961.0,950.5,951.75,15039
938.75,2024-08-16,952.5,936.25,950.5,17420
956.25,2024-08-19,957.5,938.0,938.0,15833
957.25,2024-08-20,966.25,950.75,955.25,13630
963.0,2024-08-21,966.0,955.5,957.0,12788
941.25,2024-08-22,963.0,940.0,962.0,17660
952.0,2024-08-23,954.0,941.25,941.75,16814
959.75,2024-08-26,961.25,939.25,943.5,18427
967.5,2024-08-27,971.75,957.0,959.0,13636
958.5,2024-08-28,969.5,953.5,968.25,10273
973.75,2024-08-29,975.0,957.0,957.25,10556
982.0,2024-08-30,987.5,971.5,974.5,2055
997.0,2024-09-03,1007.5,978.75,978.75,518
1006.0,2024-09-04,1006.0,987.5,987.5,382
1008.25,2024-09-05,1008.25,999.5,999.5,309
989.25,2024-09-06,1008.0,989.25,1008.0,122
1000.0,2024-09-09,1000.25,1000.0,1000.25,122
977.5,2024-09-10,981.75,977.5,980.25,59
979.75,2024-09-11,979.75,978.25,978.25,25
991.5,2024-09-12,991.5,987.5,987.5,4
986.75,2024-09-13,986.75,986.75,986.75,120065
1004.5,2024-09-16,1012.0,999.0,1005.0,79098
1006.0,2024-09-17,1011.0,1002.0,1003.75,80303
1014.0,2024-09-18,1022.0,1006.25,1007.0,147447
1013.25,2024-09-19,1018.25,1006.75,1015.0,116585
1012.0,2024-09-20,1019.0,1001.25,1012.5,128091
1039.25,2024-09-23,1041.75,1012.0,1012.0,220319
1042.25,2024-09-24,1058.25,1032.75,1037.0,206134
1053.25,2024-09-25,1054.5,1031.25,1042.0,175631
1041.0,2024-09-26,1064.75,1039.75,1051.75,191090
1065.75,2024-09-27,1069.5,1034.25,1039.75,237043
1057.0,2024-09-30,1069.75,1052.0,1060.25,167653
1057.25,2024-10-01,1065.5,1045.0,1055.75,165015
1056.0,2024-10-02,1063.75,1042.5,1055.0,158797
1046.0,2024-10-03,1056.25,1041.75,1053.75,126126
1037.75,2024-10-04,1055.25,1036.25,1045.0,136658
1034.0,2024-10-07,1039.0,1026.5,1033.5,170260
1016.25,2024-10-08,1039.5,1011.5,1032.5,215735
1020.25,2024-10-09,1027.25,1011.5,1015.0,185293
1014.75,2024-10-10,1025.5,1011.75,1019.75,158953
1005.5,2024-10-11,1023.75,1004.0,1014.5,213825
996.0,2024-10-14,1008.5,995.5,1002.0,165943
991.0,2024-10-15,996.0,981.0,995.0,239187
980.0,2024-10-16,1001.5,978.25,991.0,247535
988.75,2024-10-17,991.25,968.25,978.75,236377
970.0,2024-10-18,995.5,969.25,989.5,229536
981.0,2024-10-21,983.75,969.0,970.0,184725
991.75,2024-10-22,997.0,976.75,980.5,185249
997.5,2024-10-23,999.75,985.0,992.0,157963
996.25,2024-10-24,1012.25,994.25,997.5,190684
987.75,2024-10-25,996.25,984.0,996.25,143812
974.0,2024-10-28,985.5,973.5,984.0,109011
965.25,2024-10-29,980.5,965.0,974.75,82001
976.5,2024-10-30,979.0,963.75,965.0,57700
982.5,2024-10-31,985.5,975.5,977.5,7820
982.5,2024-11-01,997.25,978.25,984.25,3051
987.25,2024-11-04,995.0,982.5,990.0,1524
993.75,2024-11-05,996.75,991.0,992.25,629
994.5,2024-11-06,997.5,973.0,991.75,391
1015.5,2024-11-07,1015.5,989.75,997.0,545
1016.75,2024-11-08,1030.0,1006.0,1015.0,427
1011.75,2024-11-11,1025.75,1011.0,1020.75,212
1003.5,2024-11-12,1011.75,998.75,1011.75,209
1004.25,2024-11-13,1004.25,999.0,1001.25,86
985.75,2024-11-14,990.25,985.75,990.25,152378
998.5,2024-11-15,1005.25,987.25,988.0,140153
1009.75,2024-11-18,1011.5,989.5,1002.5,107221
998.5,2024-11-19,1012.75,995.25,1009.75,114559
990.5,2024-11-20,1001.5,985.25,998.5,110520
977.75,2024-11-21,998.75,976.25,991.0,145233
983.5,2024-11-22,985.25,975.25,980.75,113875
985.75,2024-11-25,993.25,983.0,987.5,100522
983.5,2024-11-26,991.25,976.75,980.0,131739
988.75,2024-11-27,994.25,983.25,984.0,134095
989.5,2024-11-29,998.0,982.75,993.25,77392
985.25,2024-12-02,990.5,977.5,989.5,124010
991.75,2024-12-03,999.0,983.5,985.0,135065
983.75,2024-12-04,992.0,980.5,991.5,113543
993.75,2024-12-05,994.75,982.25,983.5,109222
993.75,2024-12-06,997.5,987.75,993.0,150604
990.0,2024-12-09,1003.5,985.75,992.25,155123
994.75,2024-12-10,1000.0,988.5,990.0,162231
995.5,2024-12-11,1001.0,988.0,994.0,177510
995.75,2024-12-12,998.25,988.5,995.0,178084
988.25,2024-12-13,995.0,986.0,994.25,97052
982.0,2024-12-16,993.5,981.0,987.5,126195
976.75,2024-12-17,986.25,970.5,982.5,170736
951.75,2024-12-18,977.5,950.25,976.75,171410
963.0,2024-12-19,964.75,945.25,950.25,170407
974.5,2024-12-20,977.5,960.0,962.5,110119
969.5,2024-12-23,979.25,968.0,974.5,73622
975.25,2024-12-24,975.75,966.0,968.25,28802
988.0,2024-12-26,989.75,975.0,979.0,70637
980.0,2024-12-27,989.25,979.25,986.5,56059
982.0,2024-12-30,994.75,974.75,983.5,39468
998.25,2024-12-31,999.5,980.0,980.5,5238
999.5,2025-01-02,1004.0,990.75,996.5,1299
981.0,2025-01-03,1002.25,978.75,1002.25,912
992.5,2025-01-06,997.5,982.75,982.75,598
992.25,2025-01-07,993.25,982.5,991.0,265
987.5,2025-01-08,994.0,985.75,994.0,308
992.25,2025-01-09,992.25,980.5,982.75,168
1013.5,2025-01-10,1018.5,992.0,992.0,435
1041.5,2025-01-13,1044.0,1021.5,1022.0,202
1043.0,2025-01-14,1049.0,1035.0,1043.0,220603
1042.75,2025-01-15,1054.0,1039.75,1046.0,139448
1019.0,2025-01-16,1042.75,1018.5,1042.0,162099
1034.0,2025-01-17,1039.0,1019.0,1019.0,189419
1067.25,2025-01-21,1068.0,1039.0,1045.0,215089
1056.0,2025-01-22,1073.5,1051.75,1066.0,214743
1065.5,2025-01-23,1076.25,1047.75,1055.0,148819
1055.75,2025-01-24,1063.0,1046.75,1051.0,177241
1045.0,2025-01-27,1051.0,1040.0,1050.0,127356
