close,date,high,low,open,volume
582.0,2024-06-18,595.25,580.0,590.0,59959
572.75,2024-06-20,582.75,565.5,582.0,66902
561.5,2024-06-21,579.25,557.75,571.25,67572
552.5,2024-06-24,563.0,546.5,562.0,36639
541.75,2024-06-25,556.0,539.75,552.5,29811
541.25,2024-06-26,552.75,538.0,539.75,19701
559.75,2024-06-27,562.5,539.5,540.5,18205
553.5,2024-06-28,565.0,547.0,559.25,1450
569.25,2024-07-01,569.25,552.75,556.5,339
561.5,2024-07-02,562.0,561.5,562.0,283
554.5,2024-07-03,563.75,554.5,563.75,193
572.25,2024-07-05,573.0,572.25,573.0,127
553.0,2024-07-08,553.0,552.25,552.25,73
554.25,2024-07-09,554.25,554.25,554.25,49
543.5,2024-07-10,547.25,542.0,542.0,84
554.25,2024-07-11,561.25,543.5,543.5,30
538.0,2024-07-12,538.0,538.0,538.0,79921
532.5,2024-07-15,552.5,531.0,551.0,76571
530.75,2024-07-16,537.5,525.25,531.25,63371
539.25,2024-07-17,546.5,528.0,530.5,52555
535.25,2024-07-18,546.5,533.0,540.75,50518
542.75,2024-07-19,556.25,530.5,534.75,67049
548.0,2024-07-22,553.5,540.25,545.25,48547
542.75,2024-07-23,552.0,540.5,547.75,41164
547.0,2024-07-24,555.5,537.25,542.5,51655
537.75,2024-07-25,549.75,536.25,546.75,44805
523.5,2024-07-26,541.25,522.0,537.0,56593
531.0,2024-07-29,532.75,514.25,523.5,53527
524.0,2024-07-30,529.5,517.0,528.75,50329
527.25,2024-07-31,534.0,515.5,523.0,60814
532.0,2024-08-01,534.75,519.75,526.75,56989
539.0,2024-08-02,540.5,528.5,532.0,51484
539.5,2024-08-05,541.5,519.75,540.25,60219
543.25,2024-08-06,548.75,531.5,540.0,59182
538.25,2024-08-07,548.75,534.75,544.0,79911
537.5,2024-08-08,544.5,532.5,537.75,67628
542.5,2024-08-09,552.0,536.25,537.25,82400
536.75,2024-08-12,547.0,528.0,542.75,84754
528.75,2024-08-13,538.25,525.0,538.0,67772
534.75,2024-08-14,537.25,524.0,529.25,84253
528.25,2024-08-15,547.75,527.0,535.75,69556
530.0,2024-08-16,533.5,523.25,527.25,52852
528.25,2024-08-19,531.25,521.75,530.5,46025
533.0,2024-08-20,535.5,525.75,528.0,43754
519.75,2024-08-21,536.5,519.0,533.75,35065
511.0,2024-08-22,524.0,502.5,521.25,44564
502.25,2024-08-23,513.75,501.25,512.0,48966
498.0,2024-08-26,506.0,495.5,505.25,39317
508.25,2024-08-27,510.75,493.5,497.25,31510
514.25,2024-08-28,516.0,505.5,507.0,19344
525.0,2024-08-29,525.0,508.25,513.0,12493
532.75,2024-08-30,534.75,522.5,522.5,830
552.0,2024-09-03,552.0,530.5,531.5,426
565.25,2024-09-04,568.75,551.5,551.5,156
561.0,2024-09-05,565.5,557.0,565.5,118
553.25,2024-09-06,565.75,552.25,565.75,429
555.5,2024-09-09,555.5,555.5,555.5,429
558.75,2024-09-10,558.75,554.75,554.75,7
563.75,2024-09-11,563.75,563.75,563.75,7
563.0,2024-09-12,563.0,563.0,563.0,2
571.25,2024-09-13,571.25,571.25,571.25,89761
578.5,2024-09-16,596.0,574.25,594.75,80580
575.75,2024-09-17,584.25,571.25,578.5,45713
575.75,2024-09-18,582.75,573.0,576.0,47041
565.5,2024-09-19,577.25,564.0,575.75,51648
568.5,2024-09-20,575.75,565.25,566.25,60486
582.5,2024-09-23,586.5,569.0,570.5,63331
578.0,2024-09-24,589.25,575.25,581.25,52268
589.25,2024-09-25,591.25,573.75,579.0,52959
584.25,2024-09-26,596.25,582.75,590.5,69058
580.0,2024-09-27,583.5,575.5,583.0,46189
584.0,2024-09-30,590.75,575.5,579.75,58874
599.0,2024-10-01,602.5,577.0,584.0,84582
615.25,2024-10-02,617.25,596.25,596.25,116431
603.5,2024-10-03,617.25,601.25,614.25,78992
589.75,2024-10-04,604.25,587.0,603.75,76333
592.5,2024-10-07,595.25,584.0,590.25,55580
594.75,2024-10-08,599.0,587.5,593.75,59037
599.0,2024-10-09,604.75,594.25,594.75,55193
